"","name","pos","team","vor","adp","pred","replace_value","experts","overall","href"
"1","Aaron Rodgers","QB","Packers",49.2762413111392,22,278.357073542372,229.080832231233,320.745,99,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/8439.png"
"2","Alex Smith","QB","Redskins",-6.42431084692362,118,222.656521384309,229.080832231233,282.8875,84,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/8416.png"
"3","Andrew Luck","QB","Colts",8.96643282043573,89,238.047265051669,229.080832231233,291.6575,87,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14874.png"
"4","Andy Dalton","QB","Bengals",-54.5369420232726,0,174.54389020796,229.080832231233,241.756666666667,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14012.png"
"5","Baker Mayfield","QB","Browns",-195.459908290842,0,33.6209239403905,229.080832231233,58.48,81,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18565.png"
"6","Ben Roethlisberger","QB","Steelers",7.55823628441499,75,236.639068515648,229.080832231233,286.525,88,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/5536.png"
"7","Blake Bortles","QB","Jaguars",-31.4795246362738,160,197.601307594959,229.080832231233,264.0725,80,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16724.png"
"8","Brock Osweiler","QB","Dolphins",-80.844888812906,0,148.235943418327,229.080832231233,213,72,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14879.png"
"9","Cam Newton","QB","Panthers",22.7512396402783,64,251.832071871511,229.080832231233,305.3225,88,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13994.png"
"10","Carson Wentz","QB","Eagles",-8.09059516015259,57,220.99023707108,229.080832231233,273.995,86,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17795.png"
"11","Case Keenum","QB","Broncos",-64.5786200385043,169,164.502212192729,229.080832231233,220.4125,81,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15168.png"
"12","Dak Prescott","QB","Cowboys",-30.3463864838623,132,198.734445747371,229.080832231233,259.7875,82,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17907.png"
"13","Derek Carr","QB","Raiders",-37.7502451014884,143,191.330587129745,229.080832231233,247.445,83,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16757.png"
"14","Deshaun Watson","QB","Texans",18.2473809992013,36,247.328213230434,229.080832231233,319.91,82,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18246.png"
"15","Drew Brees","QB","Saints",23.5879536979708,53,252.668785929204,229.080832231233,297.3325,91,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2580.png"
"16","Eli Manning","QB","Giants",-52.1471021041779,167,176.933730127055,229.080832231233,246.1375,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/5526.png"
"17","Jameis Winston","QB","Buccaneers",-54.6398125023337,150,174.441019728899,229.080832231233,235.4175,80,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17399.png"
"18","Jared Goff","QB","Rams",-54.4688126990961,111,174.612019532137,229.080832231233,226.76,83,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17794.png"
"19","Jimmy Garoppolo","QB","49ers",-55.7842329923089,76,173.296599238924,229.080832231233,225.1325,83,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16760.png"
