name,pos,pts,pts_ppr,year
demarco_murray,RB,294.0,351.1,2014
leveon_bell,RB,288.0,370.5,2014
marshawn_lynch,RB,265.0,302.3,2014
antonio_brown,WR,252.0,386.9,2014
matt_forte,RB,245.0,346.6,2014
arian_foster,RB,236.0,273.5,2014
eddie_lacy,RB,231.0,272.6,2014
jordy_nelson,WR,230.0,327.9,2014
demaryius_thomas,WR,230.0,340.9,2014
dez_bryant,WR,228.0,316.0,2014
rob_gronkowski,TE,184.0,266.4,2014
aaron_rodgers,QB,358.0,354.1,2014
jamaal_charles,RB,210.0,250.4,2014
andrew_luck,QB,356.0,351.7,2014
justin_forsett,RB,205.0,246.9,2014
odell_beckham,WR,204.0,295.0,2014
randall_cobb,WR,202.0,293.4,2014
emmanuel_sanders,WR,201.0,301.8,2014
julio_jones,WR,193.0,297.4,2014
jeremy_maclin,WR,192.0,276.8,2014
lamar_miller,RB,185.0,223.4,2014
russell_wilson,QB,332.0,330.6,2014
jeremy_hill,RB,184.0,210.9,2014
antonio_gates,TE,154.0,223.1,2014
cj_anderson,RB,177.0,211.3,2014
ty_hilton,WR,179.0,258.5,2014
jimmy_graham,TE,145.0,229.9,2014
mike_evans,WR,177.0,245.1,2014
alshon_jeffery,WR,177.0,261.6,2014
lesean_mccoy,RB,171.0,199.4,2014
alfred_morris,RB,171.0,187.9,2014
peyton_manning,QB,313.0,312.7,2014
joique_bell,RB,166.0,198.2,2014
greg_olsen,TE,137.0,220.8,2014
ben_roethlisberger,QB,310.0,306.2,2014
mark_ingram,RB,163.0,191.9,2014
martellus_bennett,TE,132.0,221.6,2014
drew_brees,QB,305.0,304.0,2014
golden_tate,WR,162.0,259.1,2014
coby_fleener,TE,125.0,176.4,2014
calvin_johnson,WR,156.0,226.7,2014
deandre_hopkins,WR,155.0,231.0,2014
kelvin_benjamin,WR,155.0,225.8,2014
matt_asiata,RB,150.0,194.2,2014
julius_thomas,TE,121.0,163.9,2014
desean_jackson,WR,154.0,209.6,2014
frank_gore,RB,148.0,158.7,2014
giovani_bernard,RB,145.0,187.9,2014
delanie_walker,TE,113.0,176.0,2014
mike_wallace,WR,146.0,212.8,2014
travis_kelce,TE,110.0,177.2,2014
torrey_smith,WR,143.0,191.7,2014
matt_ryan,QB,284.0,284.3,2014
steve_smith,WR,141.0,219.5,2014
chris_ivory,RB,134.0,152.4,2014
tom_brady,QB,280.0,278.1,2014
