key,name,pos,team,bye,std,half_ppr,ppr,rush_yds,df_points_allowed_per_game,rush_tds,df_sacks,pass_yds,reception_tds,reception_yds,kick_extra_points,pass_ints,kick_30_39,fumbles,kick_40_49,df_fumbles,df_ints,kick_20_29,kick_0_19,df_tds,receptions,pass_tds,df_safeties,kick_50,two_pts
mccaffrey_RB_CAR,Christian McCaffrey,RB,CAR,13,1.0,1.0,1.0,1064.4,,8.1,,,4.3,835.5,,0.0,,2.2,,,,,,,98.9,,,,0.5
elliott_RB_DAL,Ezekiel Elliott,RB,DAL,10,2.5,3.0,3.0,1250.6,,9.3,,,2.4,485.1,,0.0,,2.6,,,,,,,60.1,,,,
barkley_RB_NYG,Saquon Barkley,RB,NYG,11,2.5,2.0,2.0,1203.1,,8.7,,,2.4,506.8,,0.0,,3.0,,,,,,,62.2,,,,0.5
henry_RB_TEN,Derrick Henry,RB,TEN,7,5.0,6.0,7.3,1482.6,,11.1,,,0.9,174.2,,0.0,,2.4,,,,,,,20.6,,,,
cook_RB_MIN,Dalvin Cook,RB,MIN,7,5.0,6.0,4.7,1096.5,,9.6,,,1.3,509.1,,0.0,,2.7,,,,,,,58.1,,,,0.0
thomas_WR_NO,Michael Thomas,WR,NO,6,5.5,5.0,5.3,0.9,,0.0,,,9.2,1509.5,,0.0,,0.5,,,,,,,126.2,,,,
kamara_RB_NO,Alvin Kamara,RB,NO,6,6.5,5.0,5.0,901.8,,7.3,,,2.4,623.3,,0.0,,1.7,,,,,,0.1,84.7,,,,1.4
adams_WR_GB,Davante Adams,WR,GB,5,11.0,8.5,11.0,0.2,,0.0,,,9.3,1319.7,,0.0,,1.0,,,,,,,103.7,,,,
hill_WR_KC,Tyreek Hill,WR,KC,10,12.0,11.0,14.7,81.1,,0.8,,,8.5,1168.3,,0.0,,0.5,,,,,,1.0,82.7,,,,
chubb_RB_CLE,Nick Chubb,RB,CLE,9,12.0,13.0,14.3,1281.0,,9.1,,,1.0,185.3,,0.0,,2.1,,,,,,,23.0,,,,0.0
mixon_RB_CIN,Joe Mixon,RB,CIN,9,12.5,10.0,13.7,1166.2,,7.7,,,1.4,292.2,,0.0,,1.8,,,,,,,36.6,,,,
jacobs_RB_LV,Josh Jacobs,RB,LV,6,14.0,16.5,13.7,1203.5,,9.2,,,0.6,259.7,,0.0,,2.1,,,,,,,32.9,,,,0.1
jones_WR_ATL,Julio Jones,WR,ATL,10,14.0,12.5,15.7,7.7,,0.0,,,7.0,1406.1,,0.0,,1.0,,,,,,,100.6,,,,
edwardshelaire_RB_KC,Clyde Edwards-Helaire,RB,KC,10,15.0,16.5,16.0,890.8,,8.1,,,3.2,445.5,,0.0,,2.2,,,,,,,47.3,,,,0.2
jones_RB_GB,Aaron Jones,RB,GB,5,15.5,20.0,17.0,904.0,,9.3,,,2.0,350.8,,0.0,,1.6,,,,,,,41.5,,,,0.0
mahomes_QB_KC,Patrick Mahomes,QB,KC,10,17.0,18.5,20.3,355.1,,3.7,,4530.8,,,,11.0,,1.2,,,,,,,,33.4,,,1.0
hopkins_WR_ARI,DeAndre Hopkins,WR,ARI,8,17.0,15.5,14.0,11.7,,0.0,,,7.3,1155.6,,0.0,,0.5,,,,,,,92.5,,,,
jackson_QB_BAL,Lamar Jackson,QB,BAL,8,17.0,19.0,20.7,976.7,,5.3,,3533.4,,,,12.0,,2.4,,,,,,,,28.4,,,0.3
kelce_TE_KC,Travis Kelce,TE,KC,10,17.0,16.5,18.0,14.1,,0.1,,,8.3,1142.4,,0.0,,0.5,,,,,,,93.6,,,,
godwin_WR_TB,Chris Godwin,WR,TB,13,19.0,19.0,20.0,5.0,,0.0,,,7.7,1202.2,,0.0,,0.5,,,,,,,81.1,,,,
drake_RB_ARI,Kenyan Drake,RB,ARI,8,19.5,16.5,16.0,886.2,,7.8,,,2.1,407.7,,0.0,,1.7,,,,,,,55.6,,,,0.2
sanders_RB_PHI,Miles Sanders,RB,PHI,9,21.5,21.5,13.7,1021.0,,6.1,,,2.4,455.7,,0.0,,2.1,,,,,,0.1,49.6,,,,0.1
kittle_TE_SF,George Kittle,TE,SF,11,21.5,19.0,22.3,21.4,,0.6,,,5.8,1029.6,,0.0,,0.5,,,,,,,84.2,,,,
ekeler_RB_LAC,Austin Ekeler,RB,LAC,10,22.0,21.5,15.0,696.4,,4.0,,,4.2,673.8,,0.0,,1.3,,,,,,,63.5,,,,0.1
golladay_WR_DET,Kenny Golladay,WR,DET,5,23.0,23.5,25.3,2.7,,0.0,,,8.2,1122.3,,0.0,,1.0,,,,,,,66.9,,,,
