key,name,pos,team,bye,std,half_ppr,ppr,kick_extra_points,rush_yds,kick_40_49,df_fumbles,pass_ints,pass_yds,rush_tds,two_pts,reception_yds,kick_0_19,df_tds,kick_50,receptions,reception_tds,fumbles,pass_tds,df_ints,kick_20_29,df_points_allowed_per_game,df_safeties,df_sacks,kick_30_39
taylor_RB_IND,Jonathan Taylor,RB,IND,14.0,1,1,1,,1536.6,,,0.0,,13.7,0.0,339.4,,,,40.7,1.4,2.8,,,,,,,
mccaffrey_RB_CAR,Christian McCaffrey,RB,CAR,13.0,3,3,2,,976.7,,,0.0,,6.4,0.5,743.9,,,,86.5,3.6,3.0,,,,,,,
ekeler_RB_LAC,Austin Ekeler,RB,LAC,8.0,2,2,3,,978.7,,,0.0,,9.2,0.5,685.3,,,,72.8,5.2,3.0,,,,,,,
kupp_WR_LAR,Cooper Kupp,WR,LAR,7.0,4,5,4,,31.3,,,0.0,,0.2,,1659.6,,0.1,,125.8,12.9,0.5,,,,,,,
henry_RB_TEN,Derrick Henry,RB,TEN,6.0,5,4,5,,1599.6,,,0.0,,11.8,1.1,216.2,,,,28.1,0.7,2.9,,,,,,,
jefferson_WR_MIN,Justin Jefferson,WR,MIN,7.0,6,6,6,,26.3,,,0.0,,0.1,,1484.8,,,,102.4,9.2,0.5,,,,,,,
harris_RB_PIT,Najee Harris,RB,PIT,9.0,7,8,7,,1135.3,,,0.0,,7.7,0.1,380.8,,,,58.7,2.1,4.0,,,,,,,
cook_RB_MIN,Dalvin Cook,RB,MIN,7.0,8,7,8,,1272.9,,,0.0,,10.0,2.1,340.0,,,,44.6,0.9,3.1,,,,,,,
chase_WR_CIN,Ja'Marr Chase,WR,CIN,10.0,9,9,9,,64.5,,,0.0,,0.4,,1367.7,,,,88.5,9.6,0.5,,,,,,,
adams_WR_LV,Davante Adams,WR,LV,6.0,11,11,10,,0.3,,,0.0,,0.0,,1402.5,,,,113.1,8.7,1.0,,,,,,,
mixon_RB_CIN,Joe Mixon,RB,CIN,10.0,10,10,11,,1185.5,,,0.0,,10.0,,377.5,,,,50.4,2.6,2.0,,,,,,,
diggs_WR_BUF,Stefon Diggs,WR,BUF,7.0,14,12,12,,3.8,,,0.0,,0.0,,1229.4,,,,96.1,8.0,1.0,,,,,,,
swift_RB_DET,D'Andre Swift,RB,DET,6.0,12,15,13,,855.9,,,0.0,,6.4,0.1,458.1,,,,62.6,2.5,2.2,,,,,,,
kelce_TE_KC,Travis Kelce,TE,KC,8.0,13,13,14,,6.8,,,0.0,,0.0,,1251.6,,,,106.2,9.3,1.0,,,,,,,
lamb_WR_DAL,CeeDee Lamb,WR,DAL,9.0,17,17,15,,59.0,,,0.0,,0.1,1.1,1145.5,,0.0,,83.7,6.2,0.5,,,,,,,
samuel_WR_SF,Deebo Samuel,WR,SF,9.0,18,20,16,,349.6,,,0.0,,3.7,,1113.1,,,,72.8,5.9,1.0,,,,,,,
