key,name,pos,team,bye,std,half_ppr,ppr,reception_yds,kick_40_49,pass_ints,pass_tds,kick_0_19,df_points_allowed_per_game,rush_tds,df_safeties,kick_30_39,pass_yds,df_fumbles,df_tds,df_sacks,df_ints,kick_extra_points,receptions,reception_tds,rush_yds,kick_20_29,two_pts,fumbles,kick_50
mccaffrey_RB_SF,Christian McCaffrey,RB,SF,9.0,1,1,1,559.0,,,,,,11.3,,,,,,,,,68.7,5.0,1236.7,,,2.0,
hill_WR_MIA,Tyreek Hill,WR,MIA,6.0,2,2,2,1520.3,,,,,,0.0,,,,,,,,,108.3,9.3,28.3,,,1.0,
lamb_WR_DAL,CeeDee Lamb,WR,DAL,7.0,3,3,3,1484.3,,,,,,1.0,,,,,,,,,116.0,9.3,80.7,,,1.0,
hall_RB_NYJ,Breece Hall,RB,NYJ,12.0,6,5,4,533.3,,,,,,8.7,,,,,,,,,66.0,4.3,1069.0,,,1.5,
robinson_RB_ATL,Bijan Robinson,RB,ATL,12.0,5,4,5,527.7,,,,,,7.3,,,,,,,,,62.7,4.7,1080.3,,,2.5,
chase_WR_CIN,Ja'Marr Chase,WR,CIN,12.0,7,7,6,1338.7,,,,,,0.0,,,,,,,,,103.3,8.7,12.7,,,0.5,
jefferson_WR_MIN,Justin Jefferson,WR,MIN,6.0,4,6,7,1433.3,,,,,,0.0,,,,,,,,,104.7,6.7,6.3,,,1.0,
brown_WR_DET,Amon-Ra St. Brown,WR,DET,5.0,8,8,8,1321.0,,,,,,0.0,,,,,,,,,111.0,8.0,33.0,,,1.0,
barkley_RB_PHI,Saquon Barkley,RB,PHI,5.0,10,11,9,363.7,,,,,,10.0,,,,,,,,,47.7,3.3,1139.0,,,2.0,
brown_WR_PHI,A.J. Brown,WR,PHI,5.0,9,9,10,1340.3,,,,,,0.0,,,,,,,,,91.3,8.3,2.3,,,1.5,
taylor_RB_IND,Jonathan Taylor,RB,IND,14.0,11,10,11,277.7,,,,,,10.7,,,,,,,,,35.7,1.3,1263.3,,,1.5,
wilson_WR_NYJ,Garrett Wilson,WR,NYJ,12.0,13,12,12,1195.0,,,,,,0.0,,,,,,,,,92.7,8.0,18.7,,,1.5,
gibbs_RB_DET,Jahmyr Gibbs,RB,DET,5.0,12,13,13,394.7,,,,,,8.3,,,,,,,,,55.3,1.7,909.0,,,1.5,
nacua_WR_LAR,Puka Nacua,WR,LAR,6.0,14,14,14,1314.0,,,,,,0.5,,,,,,,,,94.0,6.7,64.0,,,0.5,
williams_RB_LAR,Kyren Williams,RB,LAR,6.0,17,16,15,258.7,,,,,,10.3,,,,,,,,,35.0,2.0,1119.0,,,2.0,
henry_RB_BAL,Derrick Henry,RB,BAL,14.0,19,18,16,198.7,,,,,,11.3,,,,,,,,,24.0,0.7,1170.0,,,1.0,
harrison_WR_ARI,Marvin Harrison Jr.,WR,ARI,11.0,16,15,17,1186.7,,,,,,0.0,,,,,,,,,86.3,7.0,6.0,,,2.0,
etienne_RB_JAX,Travis Etienne Jr.,RB,JAX,12.0,15,17,18,369.3,,,,,,8.3,,,,,,,,,47.3,1.0,962.3,,,1.5,
adams_WR_LV,Davante Adams,WR,LV,10.0,18,19,19,1119.3,,,,,,0.0,,,,,,,,,90.7,6.3,1.7,,,0.5,
pacheco_RB_KC,Isiah Pacheco,RB,KC,6.0,25,20,20,288.3,,,,,,9.0,,,,,,,,,44.0,2.0,1016.0,,,1.5,
kelce_TE_KC,Travis Kelce,TE,KC,6.0,27,26,21,944.3,,,,,,0.0,,,,,,,,,88.0,7.3,2.5,,,1.0,
allen_QB_BUF,Josh Allen,QB,BUF,12.0,22,22,22,,,13.7,27.3,,,9.3,,,3926.3,,,,,,,,577.3,,,4.0,
olave_WR_NO,Chris Olave,WR,NO,12.0,26,24,23,1208.3,,,,,,0.0,,,,,,,,,88.0,6.3,1.7,,,0.5,
achane_RB_MIA,De'Von Achane,RB,MIA,6.0,20,21,24,351.3,,,,,,7.3,,,,,,,,,45.0,3.3,852.7,,,1.0,
london_WR_ATL,Drake London,WR,ATL,12.0,21,23,25,1118.0,,,,,,0.0,,,,,,,,,84.7,6.7,3.7,,,1.0,
mahomes_QB_KC,Patrick Mahomes II,QB,KC,6.0,31,31,26,,,11.3,32.7,,,1.3,,,4305.3,,,,,,,,369.3,,,3.0,
laporta_TE_DET,Sam LaPorta,TE,DET,5.0,29,28,27,848.3,,,,,,0.0,,,,,,,,,83.0,7.7,0.0,,,0.5,
jacobs_RB_GB,Josh Jacobs,RB,GB,10.0,23,25,28,275.3,,,,,,8.7,,,,,,,,,35.3,0.7,1035.3,,,1.0,
collins_WR_HOU,Nico Collins,WR,HOU,14.0,28,29,29,1137.0,,,,,,0.0,,,,,,,,,77.0,7.7,6.0,,,0.5,
cook_RB_BUF,James Cook,RB,BUF,12.0,33,36,30,368.7,,,,,,5.0,,,,,,,,,44.0,2.7,1044.3,,,1.5,
samuel_WR_SF,Deebo Samuel Sr.,WR,SF,9.0,24,27,31,934.3,,,,,,3.3,,,,,,,,,63.7,6.0,208.7,,,1.0,
hurts_QB_PHI,Jalen Hurts,QB,PHI,5.0,30,32,32,,,12.7,24.7,,,11.3,,,3761.3,,,,,,,,594.7,,,3.5,
evans_WR_TB,Mike Evans,WR,TB,11.0,37,30,33,1117.3,,,,,,0.0,,,,,,,,,73.3,8.3,2.0,,,0.5,
