key,name,pos,team,bye,std,half_ppr,ppr,kick_40_49,two_pts,receptions,df_fumbles,fumbles,pass_yds,df_points_allowed_per_game,df_tds,kick_extra_points,kick_0_19,rush_yds,reception_yds,pass_ints,df_safeties,kick_20_29,reception_tds,kick_50,pass_tds,df_sacks,kick_30_39,rush_tds,df_ints
robinson_RB_ATL,Bijan Robinson,RB,ATL,11.0,1,1,1,,,77.5,,2.0,,,,,,1436.5,753.0,,,,3.5,,,,,9.5,
gibbs_RB_DET,Jahmyr Gibbs,RB,DET,6.0,2,2,2,,,70.5,,1.0,,,,,,1337.0,585.0,,,,4.0,,,,,14.5,
chase_WR_CIN,Ja'Marr Chase,WR,CIN,6.0,3,3,3,,,123.5,,1.0,,,,,,20.0,1526.5,,,,10.5,,,,,0.0,
nacua_WR_LAR,Puka Nacua,WR,LAR,11.0,4,4,4,,,125.5,,1.0,,,,,,107.5,1644.5,,,,9.5,,,,,1.5,
smithnjigba_WR_SEA,Jaxon Smith-Njigba,WR,SEA,11.0,5,5,5,,,119.5,,1.0,,,,,,30.5,1667.0,,,,10.5,,,,,0.0,
mccaffrey_RB_SF,Christian McCaffrey,RB,SF,8.0,7,6,6,,,74.0,,1.0,,,,,,1043.5,657.0,,,,5.0,,,,,9.0,
taylor_RB_IND,Jonathan Taylor,RB,IND,13.0,6,7,7,,,47.5,,2.0,,,,,,1545.5,346.0,,,,1.5,,,,,13.5,
brown_WR_DET,Amon-Ra St. Brown,WR,DET,6.0,8,8,8,,,116.0,,0.0,,,,,,10.5,1397.5,,,,10.5,,,,,0.0,
jeanty_RB_LV,Ashton Jeanty,RB,LV,13.0,12,12,9,,,60.0,,1.0,,,,,,1093.5,417.5,,,,4.0,,,,,8.5,
lamb_WR_DAL,CeeDee Lamb,WR,DAL,14.0,9,11,10,,,103.0,,0.0,,,,,,19.0,1359.5,,,,7.5,,,,,0.0,
cook_RB_BUF,James Cook III,RB,BUF,7.0,11,10,11,,,34.0,,3.0,,,,,,1416.0,284.5,,,,2.0,,,,,10.0,
jefferson_WR_MIN,Justin Jefferson,WR,MIN,6.0,10,9,12,,,100.5,,0.0,,,,,,8.5,1308.0,,,,6.5,,,,,0.0,
