key,adp_8_ppr,bye,name,pos,team,adp_8_standard,adp_10_ppr,adp_10_standard,adp_12_ppr,adp_12_standard,adp_14_ppr,adp_14_standard
adams_WR_GB,8,11,Davante Adams,WR,GB,9,8,8,8,9,8,9
agholor_WR_PHI,,,,,,,,,,,187,209
allen_QB_BUF,,,,,,134,153,137,144,138,151,135
allen_WR_LAC,25,12,Keenan Allen,WR,LAC,32,24,33,24,33,26,32
allison_WR_GB,95,11,Geronimo Allison,WR,GB,126,98,104,99,109,100,110
amendola_WR_DET,,,,,,,,,,,229,
anderson_RB_DET,,,,,,,,,186,188,178,174
anderson_WR_NYJ,75,4,Robby Anderson,WR,NYJ,76,76,74,74,74,73,75
andrews_TE_BAL,,,,,,,154,,,173,206,182
armstead_RB_JAX,,,,,,,,,191,189,180,186
badgley_K_LAC,,,,,,155,172,174,207,201,216,215
bailey_K_MIN,,,,,,,,,208,198,233,229
ballage_RB_MIA,,,,,,,,,171,174,167,163
barber_RB_TB,,,,,,128,143,110,137,101,134,97
barkley_RB_NYG,1,11,Saquon Barkley,RB,NYG,1,1,2,1,2,1,1
bears_DST_CHI,78,6,Bears,DST,CHI,75,91,87,95,95,99,95
beasley_WR_BUF,,,,,,,,,,,223,185
beckham_WR_CLE,13,7,Odell Beckham Jr,WR,CLE,14,13,15,13,15,14,16
bell_RB_NYJ,9,4,LeVeon Bell,RB,NYJ,8,9,9,9,8,9,7
bernard_RB_CIN,,,,,,,,,175,,207,200
bills_DST_BUF,,,,,,148,,,203,206,215,217
boyd_WR_CIN,70,9,Tyler Boyd,WR,CIN,74,68,72,68,68,66,71
brady_QB_NE,97,10,Tom Brady,QB,NE,109,121,107,126,113,130,115
brees_QB_NO,67,9,Drew Brees,QB,NO,62,75,73,79,75,76,73
breida_RB_SF,,,,,,,,156,170,145,157,132
broncos_DST_DEN,143,10,Broncos,DST,DEN,137,162,167,181,157,165,161
brown_RB_LAR,,,,,,,,,183,178,184,208
brown_WR_BAL,,,,,,,157,170,158,158,153,156
brown_WR_BUF,,,,,,,,,,194,197,178
brown_WR_OAK,19,6,Antonio Brown,WR,OAK,21,19,22,19,22,19,21
brown_WR_TEN,,,,,,,,,,,,201
browns_DST_CLE,129,7,Browns,DST,CLE,136,126,136,136,140,138,144
burton_TE_CHI,,,,,,103,132,128,172,124,175,98
butker_K_KC,130,12,Harrison Butker,K,KC,143,142,146,162,161,173,175
callaway_WR_CLE,,,,,,,,,,,160,
campbell_WR_IND,,,,,,133,145,164,142,147,140,147
cardinals_DST_ARI,,,,,,,,,,,213,
carr_QB_OAK,,,,,,,,,185,177,170,176
carson_RB_SEA,60,11,Chris Carson,RB,SEA,50,57,47,54,45,52,45
chargers_DST_LAC,107,12,Chargers,DST,LAC,106,118,115,123,122,128,129
chiefs_DST_KC,,,,,,,,,,,,206
chubb_RB_CLE,22,7,Nick Chubb,RB,CLE,19,22,17,22,17,22,19
cobb_WR_DAL,,,,,,,,,190,182,194,211
cohen_RB_CHI,64,6,Tarik Cohen,RB,CHI,59,64,65,61,62,61,61
coleman_RB_SF,72,4,Tevin Coleman,RB,SF,68,66,64,64,60,69,65
colts_DST_IND,,,,,,,,,196,200,221,204
conner_RB_PIT,14,7,James Conner,RB,PIT,11,14,12,14,13,13,11
cook_RB_MIN,18,12,Dalvin Cook,RB,MIN,16,18,14,18,14,17,15
cook_TE_NO,82,9,Jared Cook,TE,NO,81,77,80,77,78,78,81
cooks_WR_LAR,41,9,Brandin Cooks,WR,LAR,43,42,45,42,46,42,44
cooper_WR_DAL,29,8,Amari Cooper,WR,DAL,34,29,34,30,35,27,33
