key,name,pos,team,bye,std,half_ppr,ppr
abanikanda_RB_NYJ,Israel Abanikanda,RB,NYJ,12,,,419.0
achane_RB_MIA,De'Von Achane,RB,MIA,6,20.0,23.0,26.6
adams_WR_LV,Davante Adams,WR,LV,10,16.5,17.0,18.0
addison_WR_MIN,Jordan Addison,WR,MIN,6,89.5,94.3,94.4
agholor_WR_BAL,Nelson Agholor,WR,BAL,14,,,379.0
ahmed_K_WSH,Ramiz Ahmed,K,WSH,14,,,266.0
aiyuk_WR_SF,Brandon Aiyuk,WR,SF,9,31.0,29.3,31.8
akers_RB_HOU,Cam Akers,RB,HOU,14,304.0,304.0,311.0
akins_TE_CLE,Jordan Akins,TE,CLE,10,,,430.0
alexander_WR_DET,Maurice Alexander,WR,DET,5,,,453.0
ali_RB_BAL,Rasheen Ali,RB,BAL,14,300.5,293.0,386.0
allen_QB_BUF,Josh Allen,QB,BUF,12,21.0,20.7,27.0
allen_QB_PIT,Kyle Allen,QB,PIT,9,,,371.0
allen_RB_NYJ,Braelon Allen,RB,NYJ,12,184.0,184.0,209.0
allen_WR_CHI,Keenan Allen,WR,CHI,7,64.0,68.0,70.2
allgeier_RB_ATL,Tyler Allgeier,RB,ATL,12,155.0,167.0,158.6
andrews_TE_BAL,Mark Andrews,TE,BAL,14,48.0,48.0,43.2
aubrey_K_DAL,Brandon Aubrey,K,DAL,7,190.5,155.0,119.0
austin_WR_PIT,Calvin Austin III,WR,PIT,9,272.0,272.0,291.0
bagent_QB_CHI,Tyson Bagent,QB,CHI,7,,,300.0
baker_WR_NE,Javon Baker,WR,NE,14,254.5,254.5,262.0
barkley_RB_PHI,Saquon Barkley,RB,PHI,5,11.5,11.3,10.6
barner_TE_SEA,AJ Barner,TE,SEA,10,,,441.0
bass_K_BUF,Tyler Bass,K,BUF,12,241.0,213.7,190.6
bateman_WR_BAL,Rashod Bateman,WR,BAL,14,204.0,204.0,226.4
bates_K_DET,Jake Bates,K,DET,5,,,202.5
bears_DST_CHI,Bears,DST,CHI,7,285.5,255.3,195.0
beckham_WR_MIA,Odell Beckham Jr.,WR,MIA,6,245.5,209.3,219.5
bell_WR_CLE,David Bell,WR,CLE,10,,,474.0
bell_WR_SF,Ronnie Bell,WR,SF,9,,,337.0
bellinger_TE_NYG,Daniel Bellinger,TE,NYG,11,267.5,260.0,270.0
bengals_DST_CIN,Bengals,DST,CIN,12,255.0,236.0,167.3
benson_RB_ARI,Trey Benson,RB,ARI,11,102.0,105.3,120.6
