Team,First Name,Last Name,Position,Jersey,Overall,Speed,Stength,Agility,Awareness,Catching,Carrying,Throw Power,Throw Accuracy,Kick Power,Kick Accuracy,Run Block,Pass Block,Tackle,Jumping,Kick Return,Injury,Stamina,Toughness,Age,Years Pro,College,Home State,Hometown,Trucking,Elusiveness,Ball Carrier Vision,Stiff Arm,Spin Move,Juke Move,Impact Block,Run Block Strength,Run Block Footwork,Pass Block Strength,Pass Block Footwork,Power Moves,Finnesse Moves,Block Shedding,Pursuit,Play Recognition,Man Cover,Zone cover,Spectacular Catch,Catch in Traffic,Route Running,Hit Power,Press,Release,Short Throw Accuracy,Medium Throw Accuracy,Deep Throw Accuracy,Playaction,Throw on the Run
Bears,Roberto,Garza,C,63,76,49,87,54,85,19,40,20,19,23,21,83,77,21,33,10,88,70,85,34,12,T A&M K'ville,Texas,Rio Hondo,10,19,10,10,10,10,75,82,86,77,69,10,10,21,37,28,11,12,12,10,10,20,10,12,5,5,5,5,5
Bears,Patrick,Mannelly,C,65,66,64,84,62,75,17,32,37,16,15,21,72,72,49,31,0,77,72,81,38,15,Duke,Georgia,Atlanta,10,23,10,10,10,10,70,76,72,74,72,10,10,12,61,25,14,12,12,10,10,50,10,12,5,5,5,5,5
Bears,Taylor,Boggs,C,60,61,55,86,52,57,15,35,10,10,11,11,77,70,30,72,10,85,81,86,26,1,N/A,California,Pasadena,10,21,10,10,10,10,75,81,75,74,68,10,10,25,33,15,11,12,15,15,15,37,10,15,5,5,5,5,5
Bears,Charles,Tillman,CB,33,95,88,73,91,94,71,60,14,21,14,16,45,45,77,95,45,84,98,91,32,10,UL Lafayette,Texas,Copperas Cove,40,30,70,33,66,74,45,45,45,45,45,50,56,65,94,92,92,90,77,45,25,77,95,20,5,5,5,5,5
Bears,Tim,Jennings,CB,26,90,94,45,93,89,75,65,26,22,8,10,45,45,64,88,45,91,96,65,29,7,Georgia,South Carolina,Orangeburg,10,28,45,10,84,82,45,45,45,45,45,15,23,45,83,88,92,91,35,20,15,60,54,15,5,5,5,5,5
Bears,Kelvin,Hayden,CB,24,75,87,64,85,75,63,60,18,30,17,22,45,45,62,88,42,86,90,80,30,8,Illinois,Illinois,Chicago,10,39,60,31,64,85,45,45,45,45,45,48,66,50,82,77,74,80,42,28,30,75,81,34,5,5,5,5,5
Bears,Zack,Bowman,CB,38,74,90,56,92,69,72,66,38,38,25,25,45,45,45,89,65,75,89,87,28,5,Nebraska,Alaska,Anchorage,25,45,65,25,70,80,45,45,45,45,45,20,33,35,70,63,84,73,72,60,40,40,70,30,5,5,5,5,5
Bears,Sherrick,McManis,CB,27,66,89,55,85,61,55,65,21,20,22,19,45,45,60,94,74,76,94,75,25,3,Northwestern,Illinois,Peoria,25,65,62,26,55,75,45,45,45,45,45,45,35,33,66,62,63,84,40,55,10,67,63,30,5,5,5,5,5
Bears,Isaiah,Frey,CB,31,60,90,50,85,44,68,65,25,25,10,11,45,45,48,85,45,92,90,67,23,1,Nevada,California,Roseville,30,70,58,25,72,74,45,45,45,45,45,39,41,31,69,56,71,82,35,33,20,73,52,22,5,5,5,5,5
Bears,Henry,Melton,DT,69,90,74,85,77,81,55,66,36,19,37,16,64,51,79,69,10,92,86,88,26,4,Texas,Texas,Cedar Hill,75,39,60,78,60,56,63,64,61,54,44,97,75,82,91,78,35,40,45,45,40,84,24,25,5,5,5,5,5
