"","name","pos","pts_ppr_cbs","pts_cbs"
"1","Aaron Rodgers","QB","347","361"
"2","Deshaun Watson","QB","341","357"
"3","Tom Brady","QB","339","349"
"4","Russell Wilson","QB","318","336"
"5","Andrew Luck","QB","315","331"
"6","Drew Brees","QB","310","327"
"7","Cam Newton","QB","309","324"
"8","Ben Roethlisberger","QB","307","322"
"9","Alex Smith","QB","305","316"
"10","Carson Wentz","QB","304","314"
"11","Kirk Cousins","QB","298","311"
"12","Jimmy Garoppolo","QB","298","309"
"13","Patrick Mahomes","QB","288","301"
"14","Jared Goff","QB","285","298"
"15","Matthew Stafford","QB","284","297"
"16","Dak Prescott","QB","281","295"
"17","Matt Ryan","QB","278","292"
"18","Philip Rivers","QB","276","291"
"19","Eli Manning","QB","272","288"
"20","Blake Bortles","QB","270","284"
"21","Marcus Mariota","QB","265","283"
"22","Case Keenum","QB","257","271"
"23","Derek Carr","QB","249","263"
"24","Ryan Tannehill","QB","243","263"
"25","Mitchell Trubisky","QB","241","255"
"26","Andy Dalton","QB","226","241"
"27","Jameis Winston","QB","215","230"
"28","Joe Flacco","QB","214","229"
"29","Tyrod Taylor","QB","198","215"
"30","Sam Darnold","QB","198","208"
"31","Josh Rosen","QB","126","135"
"32","Sam Bradford","QB","113","122"
"33","Josh Allen","QB","108","117"
"34","Baker Mayfield","QB","80","86"
"35","Nathan Peterman","QB","49","55"
"36","Ryan Fitzpatrick","QB","28","32"
"37","Nick Foles","QB","15","15"
"38","Lamar Jackson","QB","10","10"
"39","C.J. Beathard","QB","1","1"
"40","DeShone Kizer","QB","1","1"
"41","Jacoby Brissett","QB","1","1"
"42","Trevor Siemian","QB","1","1"
"43","Brock Osweiler","QB","1","1"
"44","Ryan Griffin","QB","1","1"
"45","Josh McCown","QB","0","0"
"46","Matt Schaub","QB","0","0"
"47","Chase Daniel","QB","0","0"
"48","Chad Henne","QB","0","0"
"49","Geno Smith","QB","0","0"
"50","Cooper Rush","QB","0","0"
"51","Cody Kessler","QB","0","0"
"52","Austin Davis","QB","0","0"
"53","Brian Hoyer","QB","0","0"
"54","Robert Griffin III","QB","0","0"
"55","Mason Rudolph","QB","0","0"
"56","Tanner Lee","QB","0","0"
"57","Taylor Heinicke","QB","0","0"
"58","Teddy Bridgewater","QB","0","0"
"59","Jameill Showers","QB","0","0"
"60","Colt McCoy","QB","0","0"
"61","AJ McCarron","QB","0","0"
"62","Kyle Lauletta","QB","0","0"
"63","Cody Kessler","QB","0","0"
"64","Austin Davis","QB","0","0"
"65","Brian Hoyer","QB","0","0"
"66","Robert Griffin III","QB","0","0"
"67","Mason Rudolph","QB","0","0"
"68","Tanner Lee","QB","0","0"
"69","Taylor Heinicke","QB","0","0"
"70","Teddy Bridgewater","QB","0","0"
"71","Jameill Showers","QB","0","0"
"72","Colt McCoy","QB","0","0"
"73","AJ McCarron","QB","0","0"
"74","Kyle Lauletta","QB","0","0"
"75","Matt Cassel","QB","0","0"
