key,name,pos,team,pass_tds,pass_yds,pass_ints,rush_tds,rush_yds,receptions,reception_tds,reception_yds,two_pts,fumbles,kick_0_19,kick_20_29,kick_30_39,kick_40_49,kick_50,kick_extra_points,df_points_allowed_per_game,df_sacks,df_safeties,df_fumbles,df_tds,df_ints
hurts_QB_PHI,Jalen Hurts,QB,PHI,31,3966,16,13,600,,,,,4,,,,,,,,,,,,
allen_QB_BUF,Josh Allen,QB,BUF,32,3997,15,10,686,,,,,4,,,,,,,,,,,,
jackson_QB_BAL,Lamar Jackson,QB,BAL,29,3609,11,5,919,,,,,6,,,,,,,,,,,,
mahomes_QB_KC,Patrick Mahomes,QB,KC,32,4484,11,1,421,,,,,2,,,,,,,,,,,,
love_QB_GB,Jordan Love,QB,GB,36,3990,10,3,184,,,,,2,,,,,,,,,,,,
prescott_QB_DAL,Dak Prescott,QB,DAL,34,4230,13,2,230,,,,,2,,,,,,,,,,,,
purdy_QB_SF,Brock Purdy,QB,SF,33,4206,9,2,157,,,,,2,,,,,,,,,,,,
burrow_QB_CIN,Joe Burrow,QB,CIN,33,4265,12,2,150,,,,,2,,,,,,,,,,,,
daniels_QB_WSH,Jayden Daniels,QB,WSH,27,3604,15,5,633,,,,,6,,,,,,,,,,,,
stroud_QB_HOU,C.J. Stroud,QB,HOU,30,4223,9,3,162,,,,,4,,,,,,,,,,,,
williams_QB_CHI,Caleb Williams,QB,CHI,28,3478,13,5,565,,,,,6,,,,,,,,,,,,
richardson_QB_IND,Anthony Richardson,QB,IND,24,3592,10,6,629,,,,,6,,,,,,,,,,,,
murray_QB_ARI,Kyler Murray,QB,ARI,27,3647,14,5,436,,,,,0,,,,,,,,,,,,
lawrence_QB_JAX,Trevor Lawrence,QB,JAX,28,3990,12,5,308,,,,,6,,,,,,,,,,,,
goff_QB_DET,Jared Goff,QB,DET,31,4431,9,1,42,,,,,3,,,,,,,,,,,,
herbert_QB_LAC,Justin Herbert,QB,LAC,28,3924,10,3,263,,,,,2,,,,,,,,,,,,
cousins_QB_ATL,Kirk Cousins,QB,ATL,30,4029,7,2,111,,,,,6,,,,,,,,,,,,
watson_QB_CLE,Deshaun Watson,QB,CLE,28,4022,18,2,350,,,,,4,,,,,,,,,,,,
mayfield_QB_TB,Baker Mayfield,QB,TB,29,3993,11,1,150,,,,,3,,,,,,,,,,,,
carr_QB_NO,Derek Carr,QB,NO,31,3894,10,0,59,,,,,3,,,,,,,,,,,,
tagovailoa_QB_MIA,Tua Tagovailoa,QB,MIA,29,4290,13,0,93,,,,,4,,,,,,,,,,,,
smith_QB_SEA,Geno Smith,QB,SEA,28,3763,13,2,184,,,,,3,,,,,,,,,,,,
stafford_QB_LAR,Matthew Stafford,QB,LAR,28,4144,13,0,63,,,,,1,,,,,,,,,,,,
jones_QB_NYG,Daniel Jones,QB,NYG,20,3124,14,4,556,,,,,3,,,,,,,,,,,,
rodgers_QB_NYJ,Aaron Rodgers,QB,NYJ,24,3623,9,2,73,,,,,2,,,,,,,,,,,,
darnold_QB_MIN,Sam Darnold,QB,MIN,25,4130,20,1,57,,,,,2,,,,,,,,,,,,
nix_QB_DEN,Bo Nix,QB,DEN,24,3074,11,1,251,,,,,4,,,,,,,,,,,,
levis_QB_TEN,Will Levis,QB,TEN,22,3287,14,2,183,,,,,4,,,,,,,,,,,,
young_QB_CAR,Bryce Young,QB,CAR,20,3023,11,1,230,,,,,3,,,,,,,,,,,,
wilson_QB_PIT,Russell Wilson,QB,PIT,17,2663,8,4,277,,,,,4,,,,,,,,,,,,
minshew_QB_LV,Gardner Minshew,QB,LV,20,3109,14,2,68,,,,,4,,,,,,,,,,,,
hill_QB_NO,Taysom Hill,QB,NO,0,38,0,6,403,,,,,1,,,,,,,,,,,,
maye_QB_NE,Drake Maye,QB,NE,13,2107,14,1,155,,,,,1,,,,,,,,,,,,
brissett_QB_NE,Jacoby Brissett,QB,NE,7,1203,7,0,69,,,,,1,,,,,,,,,,,,
fields_QB_PIT,Justin Fields,QB,PIT,4,639,2,2,197,,,,,1,,,,,,,,,,,,
oconnell_QB_LV,Aidan O'Connell,QB,LV,2,346,1,0,3,,,,,0,,,,,,,,,,,,
stidham_QB_DEN,Jarrett Stidham,QB,DEN,2,264,1,0,20,,,,,0,,,,,,,,,,,,
wentz_QB_KC,Carson Wentz,QB,KC,1,170,0,0,18,,,,,0,,,,,,,,,,,,
dobbs_QB_SF,Joshua Dobbs,QB,SF,1,172,0,0,21,,,,,0,,,,,,,,,,,,
browning_QB_CIN,Jake Browning,QB,CIN,1,174,0,0,15,,,,,0,,,,,,,,,,,,
johnson_QB_BAL,Josh Johnson,QB,BAL,1,147,0,0,26,,,,,0,,,,,,,,,,,,
stick_QB_LAC,Easton Stick,QB,LAC,1,147,0,0,22,,,,,0,,,,,,,,,,,,
dalton_QB_CAR,Andy Dalton,QB,CAR,1,121,0,0,17,,,,,0,,,,,,,,,,,,
jones_QB_JAX,Mac Jones,QB,JAX,1,163,0,0,15,,,,,0,,,,,,,,,,,,
mills_QB_HOU,Davis Mills,QB,HOU,1,157,0,0,14,,,,,0,,,,,,,,,,,,
taylor_QB_NYJ,Tyrod Taylor,QB,NYJ,1,148,0,0,15,,,,,0,,,,,,,,,,,,
penix_QB_ATL,Michael Penix Jr.,QB,ATL,1,123,0,0,10,,,,,0,,,,,,,,,,,,
pratt_QB_GB,Michael Pratt,QB,GB,1,122,0,0,8,,,,,0,,,,,,,,,,,,
rattler_QB_NO,Spencer Rattler,QB,NO,1,119,0,0,8,,,,,0,,,,,,,,,,,,
pickett_QB_PHI,Kenny Pickett,QB,PHI,1,162,1,0,26,,,,,0,,,,,,,,,,,,
winston_QB_CLE,Jameis Winston,QB,CLE,1,164,1,0,21,,,,,0,,,,,,,,,,,,
trubisky_QB_BUF,Mitch Trubisky,QB,BUF,1,160,1,0,24,,,,,0,,,,,,,,,,,,
lance_QB_DAL,Trey Lance,QB,DAL,1,159,1,0,18,,,,,0,,,,,,,,,,,,
white_QB_MIA,Mike White,QB,MIA,1,172,1,0,4,,,,,0,,,,,,,,,,,,
bradley_QB_LV,Carter Bradley,QB,LV,1,106,0,0,7,,,,,0,,,,,,,,,,,,
bagent_QB_CHI,Tyson Bagent,QB,CHI,1,139,1,0,20,,,,,0,,,,,,,,,,,,
flacco_QB_IND,Joe Flacco,QB,IND,1,147,0,0,20,,,,,1,,,,,,,,,,,,
garoppolo_QB_LAR,Jimmy Garoppolo,QB,LAR,1,146,0,0,17,,,,,0,,,,,,,,,,,,
trask_QB_TB,Kyle Trask,QB,TB,1,100,0,0,3,,,,,0,,,,,,,,,,,,
lock_QB_NYG,Drew Lock,QB,NYG,1,124,1,0,17,,,,,0,,,,,,,,,,,,
mullens_QB_MIN,Nick Mullens,QB,MIN,1,169,1,0,14,,,,,0,,,,,,,,,,,,
howell_QB_SEA,Sam Howell,QB,SEA,1,154,1,0,16,,,,,0,,,,,,,,,,,,
rush_QB_DAL,Cooper Rush,QB,DAL,1,166,1,0,4,,,,,0,,,,,,,,,,,,
mariota_QB_WSH,Marcus Mariota,QB,WSH,1,144,1,0,16,,,,,0,,,,,,,,,,,,
ridder_QB_ARI,Desmond Ridder,QB,ARI,1,144,1,0,20,,,,,1,,,,,,,,,,,,
mccaffrey_RB_SF,Christian McCaffrey,RB,SF,,,,11,1260,71,7,614,,2,,,,,,,,,,,,
hall_RB_NYJ,Breece Hall,RB,NYJ,,,,9,932,75,8,646,,1,,,,,,,,,,,,
barkley_RB_PHI,Saquon Barkley,RB,PHI,,,,14,1217,53,6,400,,2,,,,,,,,,,,,
robinson_RB_ATL,Bijan Robinson,RB,ATL,,,,6,1111,69,8,604,,3,,,,,,,,,,,,
taylor_RB_IND,Jonathan Taylor,RB,IND,,,,12,1386,34,2,271,,1,,,,,,,,,,,,
cook_RB_BUF,James Cook,RB,BUF,,,,6,1289,43,4,390,,2,,,,,,,,,,,,
williams_RB_LAR,Kyren Williams,RB,LAR,,,,12,1206,35,3,231,,2,,,,,,,,,,,,
gibbs_RB_DET,Jahmyr Gibbs,RB,DET,,,,10,950,63,1,422,,2,,,,,,,,,,,,
etienne_RB_JAX,Travis Etienne,RB,JAX,,,,11,905,50,1,415,,1,,,,,,,,,,,,
mixon_RB_HOU,Joe Mixon,RB,HOU,,,,10,927,43,3,362,,1,,,,,,,,,,,,
henry_RB_BAL,Derrick Henry,RB,BAL,,,,12,1299,25,0,228,,1,,,,,,,,,,,,
white_RB_TB,Rachaad White,RB,TB,,,,8,865,54,3,446,,2,,,,,,,,,,,,
kamara_RB_NO,Alvin Kamara,RB,NO,,,,6,718,75,2,526,,1,,,,,,,,,,,,
pacheco_RB_KC,Isiah Pacheco,RB,KC,,,,11,1018,43,2,257,,2,,,,,,,,,,,,
achane_RB_MIA,De'Von Achane,RB,MIA,,,,9,903,41,5,298,,1,,,,,,,,,,,,
jacobs_RB_GB,Josh Jacobs,RB,GB,,,,11,1121,34,0,284,,1,,,,,,,,,,,,
conner_RB_ARI,James Conner,RB,ARI,,,,8,962,37,3,249,,1,,,,,,,,,,,,
walker_RB_SEA,Kenneth Walker III,RB,SEA,,,,12,858,29,1,244,,1,,,,,,,,,,,,
white_RB_LV,Zamir White,RB,LV,,,,5,1233,33,0,228,,2,,,,,,,,,,,,
stevenson_RB_NE,Rhamondre Stevenson,RB,NE,,,,6,825,50,0,320,,1,,,,,,,,,,,,
jones_RB_MIN,Aaron Jones,RB,MIN,,,,5,724,49,2,362,,1,,,,,,,,,,,,
montgomery_RB_DET,David Montgomery,RB,DET,,,,10,965,24,0,183,,1,,,,,,,,,,,,
harris_RB_PIT,Najee Harris,RB,PIT,,,,8,970,28,1,183,,1,,,,,,,,,,,,
swift_RB_CHI,D'Andre Swift,RB,CHI,,,,4,919,40,2,257,,1,,,,,,,,,,,,
moss_RB_CIN,Zack Moss,RB,CIN,,,,6,753,37,3,254,,1,,,,,,,,,,,,
mostert_RB_MIA,Raheem Mostert,RB,MIA,,,,11,822,17,2,108,,1,,,,,,,,,,,,
robinson_RB_WSH,Brian Robinson Jr.,RB,WSH,,,,6,716,28,4,292,,2,,,,,,,,,,,,
pollard_RB_TEN,Tony Pollard,RB,TEN,,,,7,940,29,0,192,,1,,,,,,,,,,,,
warren_RB_PIT,Jaylen Warren,RB,PIT,,,,4,713,51,1,338,,2,,,,,,,,,,,,
chubb_RB_CLE,Nick Chubb,RB,CLE,,,,5,866,33,1,263,,1,,,,,,,,,,,,
williams_RB_DEN,Javonte Williams,RB,DEN,,,,4,797,43,2,227,,1,,,,,,,,,,,,
ekeler_RB_WSH,Austin Ekeler,RB,WSH,,,,7,560,39,2,326,,3,,,,,,,,,,,,
dobbins_RB_LAC,J.K. Dobbins,RB,LAC,,,,6,557,33,4,270,,1,,,,,,,,,,,,
brown_RB_CIN,Chase Brown,RB,CIN,,,,3,626,35,3,401,,1,,,,,,,,,,,,
ford_RB_CLE,Jerome Ford,RB,CLE,,,,3,611,37,5,266,,1,,,,,,,,,,,,
singletary_RB_NYG,Devin Singletary,RB,NYG,,,,5,879,30,0,167,,1,,,,,,,,,,,,
spears_RB_TEN,Tyjae Spears,RB,TEN,,,,3,601,42,1,321,,1,,,,,,,,,,,,
dowdle_RB_DAL,Rico Dowdle,RB,DAL,,,,5,720,22,2,191,,1,,,,,,,,,,,,
edwards_RB_LAC,Gus Edwards,RB,LAC,,,,10,629,15,0,185,,2,,,,,,,,,,,,
gibson_RB_NE,Antonio Gibson,RB,NE,,,,2,378,52,2,395,,2,,,,,,,,,,,,
