key,name,pos,team,pass_tds,pass_yds,pass_ints,rush_tds,rush_yds,receptions,reception_tds,reception_yds,two_pts,fumbles,kick_0_19,kick_20_29,kick_30_39,kick_40_49,kick_50,kick_extra_points,df_points_allowed_per_game,df_sacks,df_safeties,df_fumbles,df_tds,df_ints
mccaffrey_RB_SF,Christian McCaffrey,RB,SF,,,,12.0,1219.0,67.0,4.0,526.0,,,,,,,,,,,,,,
lamb_WR_DAL,CeeDee Lamb,WR,DAL,,,,1.0,86.0,113.0,9.0,1407.0,,,,,,,,,,,,,,
hall_RB_NYJ,Breece Hall,RB,NYJ,,,,8.0,1048.0,68.0,3.0,545.0,,,,,,,,,,,,,,
robinson_RB_ATL,Bijan Robinson,RB,ATL,,,,7.0,957.0,65.0,4.0,570.0,,,,,,,,,,,,,,
hill_WR_MIA,Tyreek Hill,WR,MIA,,,,0.0,25.0,106.0,8.0,1438.0,,,,,,,,,,,,,,
chase_WR_CIN,Ja'Marr Chase,WR,CIN,,,,0.0,18.0,106.0,8.0,1343.0,,,,,,,,,,,,,,
brown_WR_DET,Amon-Ra St. Brown,WR,DET,,,,0.0,29.0,110.0,7.0,1265.0,,,,,,,,,,,,,,
jefferson_WR_MIN,Justin Jefferson,WR,MIN,,,,0.0,10.0,106.0,7.0,1356.0,,,,,,,,,,,,,,
taylor_RB_IND,Jonathan Taylor,RB,IND,,,,10.0,1177.0,41.0,1.0,318.0,,,,,,,,,,,,,,
brown_WR_PHI,A.J. Brown,WR,PHI,,,,0.0,0.0,93.0,8.0,1306.0,,,,,,,,,,,,,,
barkley_RB_PHI,Saquon Barkley,RB,PHI,,,,9.0,1045.0,46.0,2.0,361.0,,,,,,,,,,,,,,
wilson_WR_NYJ,Garrett Wilson,WR,NYJ,,,,0.0,24.0,80.0,9.0,1138.0,,,,,,,,,,,,,,
nacua_WR_LAR,Puka Nacua,WR,LAR,,,,1.0,77.0,88.0,6.0,1237.0,,,,,,,,,,,,,,
gibbs_RB_DET,Jahmyr Gibbs,RB,DET,,,,8.0,877.0,51.0,2.0,375.0,,,,,,,,,,,,,,
williams_RB_LAR,Kyren Williams,RB,LAR,,,,10.0,1075.0,35.0,2.0,285.0,,,,,,,,,,,,,,
pacheco_RB_KC,Isiah Pacheco,RB,KC,,,,8.0,978.0,46.0,2.0,290.0,,,,,,,,,,,,,,
olave_WR_NO,Chris Olave,WR,NO,,,,0.0,0.0,86.0,6.0,1260.0,,,,,,,,,,,,,,
henry_RB_BAL,Derrick Henry,RB,BAL,,,,12.0,1057.0,27.0,1.0,223.0,,,,,,,,,,,,,,
etienne_RB_JAX,Travis Etienne Jr.,RB,JAX,,,,7.0,953.0,47.0,1.0,354.0,,,,,,,,,,,,,,
pittman_WR_IND,Michael Pittman Jr.,WR,IND,,,,0.0,0.0,99.0,4.0,1084.0,,,,,,,,,,,,,,
harrison_WR_ARI,Marvin Harrison Jr.,WR,ARI,,,,0.0,0.0,83.0,6.0,1120.0,,,,,,,,,,,,,,
adams_WR_LV,Davante Adams,WR,LV,,,,0.0,0.0,93.0,5.0,1205.0,,,,,,,,,,,,,,
london_WR_ATL,Drake London,WR,ATL,,,,0.0,0.0,84.0,7.0,1033.0,,,,,,,,,,,,,,
mixon_RB_HOU,Joe Mixon,RB,HOU,,,,7.0,887.0,42.0,3.0,297.0,,,,,,,,,,,,,,
cook_RB_BUF,James Cook,RB,BUF,,,,4.0,945.0,49.0,2.0,402.0,,,,,,,,,,,,,,
achane_RB_MIA,De'Von Achane,RB,MIA,,,,6.0,743.0,47.0,2.0,391.0,,,,,,,,,,,,,,
collins_WR_HOU,Nico Collins,WR,HOU,,,,0.0,0.0,77.0,7.0,1057.0,,,,,,,,,,,,,,
evans_WR_TB,Mike Evans,WR,TB,,,,0.0,0.0,77.0,7.0,1137.0,,,,,,,,,,,,,,
kelce_TE_KC,Travis Kelce,TE,KC,,,,0.0,1.0,83.0,7.0,836.0,,,,,,,,,,,,,,
white_RB_TB,Rachaad White,RB,TB,,,,6.0,871.0,53.0,2.0,395.0,,,,,,,,,,,,,,
laporta_TE_DET,Sam LaPorta,TE,DET,,,,0.0,0.0,84.0,7.0,861.0,,,,,,,,,,,,,,
metcalf_WR_SEA,DK Metcalf,WR,SEA,,,,0.0,0.0,70.0,8.0,1082.0,,,,,,,,,,,,,,
kamara_RB_NO,Alvin Kamara,RB,NO,,,,5.0,758.0,67.0,2.0,487.0,,,,,,,,,,,,,,
diggs_WR_HOU,Stefon Diggs,WR,HOU,,,,0.0,12.0,86.0,6.0,1039.0,,,,,,,,,,,,,,
jacobs_RB_GB,Josh Jacobs,RB,GB,,,,7.0,971.0,37.0,1.0,284.0,,,,,,,,,,,,,,
aiyuk_WR_SF,Brandon Aiyuk,WR,SF,,,,0.0,0.0,75.0,7.0,1066.0,,,,,,,,,,,,,,
smith_WR_PHI,DeVonta Smith,WR,PHI,,,,0.0,0.0,84.0,6.0,1040.0,,,,,,,,,,,,,,
moore_WR_CHI,DJ Moore,WR,CHI,,,,0.0,13.0,77.0,7.0,1047.0,,,,,,,,,,,,,,
waddle_WR_MIA,Jaylen Waddle,WR,MIA,,,,0.0,25.0,81.0,5.0,1069.0,,,,,,,,,,,,,,
walker_RB_SEA,Kenneth Walker III,RB,SEA,,,,8.0,1012.0,31.0,1.0,232.0,,,,,,,,,,,,,,
kupp_WR_LAR,Cooper Kupp,WR,LAR,,,,0.0,12.0,78.0,6.0,996.0,,,,,,,,,,,,,,
allen_QB_BUF,Josh Allen,QB,BUF,23.0,3715.0,12.0,9.0,498.0,,,,,,,,,,,,,,,,,
hurts_QB_PHI,Jalen Hurts,QB,PHI,21.0,3625.0,11.0,10.0,536.0,,,,,,,,,,,,,,,,,
richardson_QB_IND,Anthony Richardson,QB,IND,16.0,3387.0,12.0,9.0,545.0,,,,,,,,,,,,,,,,,
mahomes_QB_KC,Patrick Mahomes,QB,KC,33.0,4032.0,11.0,1.0,337.0,,,,,,,,,,,,,,,,,
samuel_WR_SF,Deebo Samuel Sr.,WR,SF,,,,3.0,164.0,62.0,6.0,922.0,,,,,,,,,,,,,,
nabers_WR_NYG,Malik Nabers,WR,NYG,,,,0.0,0.0,78.0,5.0,1031.0,,,,,,,,,,,,,,
stevenson_RB_NE,Rhamondre Stevenson,RB,NE,,,,5.0,804.0,45.0,1.0,332.0,,,,,,,,,,,,,,
andrews_TE_BAL,Mark Andrews,TE,BAL,,,,0.0,0.0,74.0,7.0,819.0,,,,,,,,,,,,,,
jackson_QB_BAL,Lamar Jackson,QB,BAL,22.0,3386.0,11.0,6.0,736.0,,,,,,,,,,,,,,,,,
jones_RB_MIN,Aaron Jones,RB,MIN,,,,5.0,749.0,43.0,2.0,345.0,,,,,,,,,,,,,,
flowers_WR_BAL,Zay Flowers,WR,BAL,,,,1.0,55.0,78.0,6.0,971.0,,,,,,,,,,,,,,
mcbride_TE_ARI,Trey McBride,TE,ARI,,,,0.0,0.0,83.0,3.0,795.0,,,,,,,,,,,,,,
ridley_WR_TEN,Calvin Ridley,WR,TEN,,,,0.0,18.0,74.0,7.0,1010.0,,,,,,,,,,,,,,
dell_WR_HOU,Tank Dell,WR,HOU,,,,1.0,93.0,70.0,6.0,933.0,,,,,,,,,,,,,,
higgins_WR_CIN,Tee Higgins,WR,CIN,,,,0.0,0.0,70.0,7.0,1031.0,,,,,,,,,,,,,,
pickens_WR_PIT,George Pickens,WR,PIT,,,,0.0,29.0,71.0,5.0,1091.0,,,,,,,,,,,,,,
kincaid_TE_BUF,Dalton Kincaid,TE,BUF,,,,0.0,0.0,75.0,4.0,727.0,,,,,,,,,,,,,,
white_RB_LV,Zamir White,RB,LV,,,,5.0,867.0,35.0,1.0,247.0,,,,,,,,,,,,,,
brooks_RB_CAR,Jonathon Brooks,RB,CAR,,,,6.0,765.0,31.0,1.0,226.0,,,,,,,,,,,,,,
