"","name","pos","pts_fox"
"1","Russell Wilson","QB","325.2"
"2","Cam Newton","QB","304.4"
"3","Drew Brees","QB","295.2"
"4","Aaron Rodgers","QB","283.2"
"5","Philip Rivers","QB","279.8"
"6","Matt Ryan","QB","275.7"
"7","Andrew Luck","QB","274.6"
"8","Blake Bortles","QB","271.4"
"9","Eli Manning","QB","268.2"
"10","Matthew Stafford","QB","264.4"
"11","Alex Smith","QB","262.6"
"12","Carson Palmer","QB","260.7"
"13","Derek Carr","QB","260.5"
"14","Kirk Cousins","QB","256.0"
"15","Ben Roethlisberger","QB","255.6"
"16","Dak Prescott","QB","254.1"
"17","Jameis Winston","QB","253.7"
"18","Tyrod Taylor","QB","252.0"
"19","Joe Flacco","QB","251.4"
"20","Marcus Mariota","QB","249.9"
"21","Andy Dalton","QB","243.1"
"22","Ryan Tannehill","QB","223.3"
"23","Trevor Siemian","QB","221.8"
"24","Tom Brady","QB","218.3"
"25","Ryan Fitzpatrick","QB","218.1"
"26","Carson Wentz","QB","216.9"
"27","Sam Bradford","QB","215.1"
"28","Brock Osweiler","QB","213.0"
"29","Colin Kaepernick","QB","203.5"
"30","Case Keenum","QB","124.6"
"31","Cody Kessler","QB","100.5"
"32","Jared Goff","QB","94.3"
"33","Brian Hoyer","QB","82.5"
"34","Matt Barkley","QB","80.6"
"35","Blaine Gabbert","QB","79.7"
"36","Josh McCown","QB","78.5"
"37","Jay Cutler","QB","75.0"
"38","Robert Griffin III","QB","68.1"
"39","Matt Moore","QB","44.7"
"40","Bryce Petty","QB","42.5"
"41","Jimmy Garoppolo","QB","41.7"
"42","Landry Jones","QB","27.9"
"43","Tom Savage","QB","26.9"
"44","Nick Foles","QB","19.2"
"45","Drew Stanton","QB","18.8"
"46","Scott Tolzien","QB","16.5"
"47","EJ Manuel","QB","16.0"
"48","Jacoby Brissett","QB","12.5"
"49","Matt Cassel","QB","12.1"
"50","Matt McGloin","QB","10.6"
"126","David Johnson","RB","279.3"
"127","Ezekiel Elliott","RB","252.9"
"128","DeMarco Murray","RB","238.4"
"129","Lamar Miller","RB","233.9"
"130","Le'Veon Bell","RB","227.8"
"131","Devonta Freeman","RB","216.8"
"132","Todd Gurley","RB","213.7"
"133","LeSean McCoy","RB","204.8"
"134","Frank Gore","RB","191.6"
"135","Spencer Ware","RB","190.2"
"136","Jordan Howard","RB","183.5"
"137","Mark Ingram","RB","183.0"
"138","LeGarrette Blount","RB","178.3"
"139","Jerick McKinnon","RB","173.4"
"140","Rashad Jennings","RB","172.4"
"141","Matt Forte","RB","172.1"
"142","Melvin Gordon","RB","168.3"
"143","Latavius Murray","RB","167.8"
"144","Jay Ajayi","RB","163.2"
"145","Isaiah Crowell","RB","156.1"
"146","Jeremy Hill","RB","153.8"
"147","Devontae Booker","RB","151.7"
"148","Carlos Hyde","RB","150.9"
"149","Terrance West","RB","150.8"
"150","Christine Michael","RB","139.0"
"151","Ryan Mathews","RB","137.8"
"152","T.J. Yeldon","RB","136.2"
"153","Jonathan Stewart","RB","133.8"
"154","Bilal Powell","RB","119.3"
"155","Thomas Rawls","RB","118.3"
"156","Chris Ivory","RB","115.0"
"157","Theo Riddick","RB","113.7"
"158","DeAngelo Williams","RB","110.7"
"159","Tevin Coleman","RB","109.5"
"160","Giovani Bernard","RB","109.3"
"161","Duke Johnson Jr.","RB","105.7"
"162","Doug Martin","RB","104.6"
"163","Rob Kelley","RB","103.7"
"164","Matt Asiata","RB","98.0"
"165","Darren Sproles","RB","97.5"
"166","Chris Thompson","RB","95.0"
"167","Mike Gillislee","RB","91.4"
"168","C.J. Anderson","RB","90.9"
"169","Matt Jones","RB","89.0"
"170","Ty Montgomery","RB","83.9"
"171","Derrick Henry","RB","79.8"
"172","Charcandrick West","RB","76.1"
"173","Jeremy Langford","RB","75.3"
"174","James White","RB","65.6"
"175","Shaun Draughn","RB","65.2"
"176","Tim Hightower","RB","63.2"
"177","Dwayne Washington","RB","62.0"
"178","Eddie Lacy","RB","61.1"
"179","Justin Forsett","RB","60.7"
"180","James Starks","RB","60.5"
"181","Jacquizz Rodgers","RB","60.1"
"182","Kenneth Dixon","RB","59.1"
"183","Charles Sims","RB","58.6"
