"","name","pos","pts_nfl"
"1","Deshaun Watson","QB",334.74
"2","Aaron Rodgers","QB",328.33
"3","Tom Brady","QB",312.2
"4","Russell Wilson","QB",303.58
"5","Andrew Luck","QB",300.65
"6","Drew Brees","QB",297.08
"7","Ben Roethlisberger","QB",293.32
"8","Jimmy Garoppolo","QB",286.42
"9","Alex Smith","QB",280.74
"10","Philip Rivers","QB",280.71
"11","Cam Newton","QB",279.36
"12","Matthew Stafford","QB",269.94
"13","Jared Goff","QB",268.87
"14","Matt Ryan","QB",266.83
"15","Kirk Cousins","QB",261.29
"16","Marcus Mariota","QB",252.31
"17","Ryan Tannehill","QB",247.03
"18","Blake Bortles","QB",245.56
"19","Carson Wentz","QB",242.89
"20","Ryan Fitzpatrick","QB",242.28
"21","Case Keenum","QB",240.15
"22","Dak Prescott","QB",236.49
"23","Patrick Mahomes","QB",233.02
"24","Andy Dalton","QB",230.22
"25","Derek Carr","QB",227.63
"26","Sam Darnold","QB",214.9
"27","Eli Manning","QB",209.34
"28","Joe Flacco","QB",206.68
"29","Josh Allen","QB",201.48
"30","Mitchell Trubisky","QB",191.82
"31","Tyrod Taylor","QB",168.31
"32","Sam Bradford","QB",164.08
"33","Josh Rosen","QB",75.13
"34","Baker Mayfield","QB",72.71
"35","Nick Foles","QB",22.48
"36","Nathan Peterman","QB",17.39
"37","Jacoby Brissett","QB",9.95
"38","Teddy Bridgewater","QB",9.53
"39","David Fales","QB",9.31
"40","Trevor Siemian","QB",8.19
"41","Brian Hoyer","QB",8.18
"42","Sean Mannion","QB",8.16
"43","Brett Hundley","QB",8.01
"44","Josh McCown","QB",7.35
"45","Kyle Lauletta","QB",7.15
"46","DeShone Kizer","QB",7.04
"47","Taylor Heinicke","QB",6.67
"48","Joshua Dobbs","QB",6.4
"49","Robert Griffin","QB",6.18
"50","C.J. Beathard","QB",5.79
"51","Cooper Rush","QB",5.6
"52","Cody Kessler","QB",5.55
"53","Kevin Hogan","QB",5.28
"54","AJ McCarron","QB",4.73
"55","Geno Smith","QB",4.51
"56","Brandon Weeden","QB",4.38
"57","Chase Daniel","QB",4.36
"58","Blaine Gabbert","QB",4.13
"59","Colt McCoy","QB",3.95
"60","Chad Henne","QB",3.45
"61","Matt Cassel","QB",3.27
"62","Matt Schaub","QB",3.04
"63","Chad Kelly","QB",2.15
"64","Joe Webb","QB",1.29
"65","Nate Sudfeld","QB",0.75
"66","Austin Allen","QB",0
"67","Brandon Allen","QB",0
"68","Kyle Allen","QB",0
"69","Matt Barkley","QB",0
"70","J.T. Barrett","QB",0
"71","Kurt Benkert","QB",0
"72","Tim Boyle","QB",0
"73","Tyler Bray","QB",0
"74","Joe Callahan","QB",0
"75","Connor Cook","QB",0
"76","Jay Cutler","QB",0
"77","Austin Davis","QB",0
"78","Danny Etling","QB",0
"79","Luke Falk","QB",0
"80","Tyler Ferguson","QB",0
"81","Garrett Gilbert","QB",0
"82","Mike Glennon","QB",0
"83","Garrett Grayson","QB",0
"84","Ryan Griffin","QB",0
"85","Christian Hackenberg","QB",0
"86","Jack Heneghan","QB",0
"87","Taysom Hill","QB",0
"88","Lamar Jackson","QB",0
"89","Josh Johnson","QB",0
"90","Cardale Jones","QB",0
"91","Landry Jones","QB",0
"92","Brad Kaaya","QB",0
"93","Colin Kaepernick","QB",0
"94","Chad Kanoff","QB",0
"95","Tanner Lee","QB",0
"96","Chase Litton","QB",0
"97","Paxton Lynch","QB",0
"98","EJ Manuel","QB",0
"99","Matt McGloin","QB",0
"100","Alex McGough","QB",0
"101","Todd Gurley","RB",287.69
"102","Le'Veon Bell","RB",258.57
"103","David Johnson","RB",255.66
"104","Ezekiel Elliott","RB",236.78
"105","Kareem Hunt","RB",227.39
"106","Melvin Gordon","RB",223.55
"107","Leonard Fournette","RB",220.8
"108","LeSean McCoy","RB",213.15
"109","Dalvin Cook","RB",209.72
"110","Saquon Barkley","RB",197.72
"111","Alvin Kamara","RB",195.1
"112","Alex Collins","RB",190.87
"113","Derrick Henry","RB",188.92
"114","Devonta Freeman","RB",188.4
"115","Jordan Howard","RB",187.66
"116","Royce Freeman","RB",186.83
"117","Kenyan Drake","RB",172.72
"118","Peyton Barber","RB",169.2
"119","Christian McCaffrey","RB",168.4
"120","Jamaal Williams","RB",165.58
"121","Jay Ajayi","RB",165.08
"122","Carlos Hyde","RB",161.03
"123","Marlon Mack","RB",158.6
"124","Joe Mixon","RB",158.53
"125","Lamar Miller","RB",157.95
"126","Bilal Powell","RB",146.14
"127","Adrian Peterson","RB",145.83
"128","Alfred Morris","RB",137.01
"129","Chris Carson","RB",133.04
"130","Marshawn Lynch","RB",131.09
"131","Matt Breida","RB",128.2
"132","Kerryon Johnson","RB",127.7
"133","Giovani Bernard","RB",126.6
"134","Dion Lewis","RB",126.57
"135","Duke Johnson","RB",122.37
"136","Tevin Coleman","RB",122.06
"137","C.J. Anderson","RB",111.67
"138","Rex Burkhead","RB",111.27
"139","James White","RB",103.87
"140","Chris Thompson","RB",103.18
"141","T.J. Yeldon","RB",95.92
"142","Isaiah Crowell","RB",92.09
"143","Mark Ingram","RB",90.3
"144","Kenneth Dixon","RB",89.15
"145","Alfred Blue","RB",89.05
"146","Doug Martin","RB",88.74
"147","Javorius Allen","RB",87.74
"148","Tarik Cohen","RB",83.37
"149","Devontae Booker","RB",83.21
"150","Ty Montgomery","RB",79.3
"151","Rod Smith","RB",75.31
"152","Theo Riddick","RB",74.78
"153","LeGarrette Blount","RB",73.64
"154","Latavius Murray","RB",73.57
"155","Ronald Jones","RB",73.11
"156","Nyheim Hines","RB",72.21
"157","Corey Clement","RB",72.16
"158","Mike Gillislee","RB",68.35
"159","Jeremy Hill","RB",65.54
"160","Darren Sproles","RB",65.26
"161","Frank Gore","RB",64.78
"162","Wayne Gallman","RB",62.26
"163","Austin Ekeler","RB",60.32
"164","Jonathan Stewart","RB",54.92
"165","Kyle Juszczyk","RB",50.97
"166","Rashaad Penny","RB",48.26
"167","Sony Michel","RB",47.2
"168","Chris Ivory","RB",44.73
"169","Damien Williams","RB",44.28
"170","Spencer Ware","RB",41.59
"171","Jordan Wilkins","RB",41.17
"172","Mark Walton","RB",40.4
"173","C.J. Prosise","RB",39.18
"174","John Kelly","RB",35.6
"175","Nick Chubb","RB",34.8
"176","Mike Boone","RB",32.6
"177","Chase Edmonds","RB",32.07
"178","Phillip Lindsay","RB",31.66
"179","Jalen Richard","RB",31.65
"180","Detrez Newsome","RB",31.01
"181","T.J. Logan","RB",30.52
"182","Trenton Cannon","RB",30.21
"183","Elijah McGuire","RB",29.98
"184","Malcolm Brown","RB",29.87
"185","Tavon Austin","RB",27.51
"186","Corey Grant","RB",27.13
"187","Benny Cunningham","RB",27.08
"188","Kalen Ballage","RB",25.46
"189","Ameer Abdullah","RB",24.74
"190","James Conner","RB",20.79
"191","Jacquizz Rodgers","RB",20.29
"192","Ito Smith","RB",16.47
"193","Rob Kelley","RB",14.45
"194","Marcus Murphy","RB",12.31
"195","Raheem Mostert","RB",11.91
"196","Ricky Ortiz","RB",11.63
"197","Patrick DiMarco","RB",11.47
"198","Michael Burton","RB",10.95
"199","Anthony Sherman","RB",10.58
"200","De'Anthony Thomas","RB",10.14
"201","Boston Scott","RB",9.01
"202","Andy Janovich","RB",8.59
"203","David Fluellen","RB",8.1
"204","Tommy Bohanon","RB",8.02
"205","Roosevelt Nix","RB",7.93
"206","Derek Watt","RB",7.53
"207","C.J. Ham","RB",7.27
"208","Zach Line","RB",7.06
"209","Cameron Artis-Payne","RB",6.73
"210","James Develin","RB",6.67
"211","Keith Smith","RB",5.33
"212","Jamize Olawale","RB",5.29
"213","Tre Madden","RB",4.68
"214","Taiwan Jones","RB",4.54
"215","Derrick Coleman","RB",4.52
"216","Alex Armah","RB",4.33
"217","Shane Smith","RB",3.89
"218","Christine Michael","RB",1.71
"219","Wendell Smallwood","RB",1.47
"220","Josh Adams","RB",0
"221","Lamar Atkins","RB",0
"222","Kenjon Barner","RB",0
"223","Nick Bawden","RB",0
"224","Kapri Bibbs","RB",0
"225","Brandon Bolden","RB",0
"226","Reggie Bonnafon","RB",0
"227","Joel Bouagnon","RB",0
"228","Algernon Brown","RB",0
"229","Mack Brown","RB",0
"230","Travaris Cadet","RB",0
"231","Tra Carson","RB",0
"232","Cethan Carter","RB",0
"233","Martez Carter","RB",0
"234","Jamaal Charles","RB",0
"235","Jordan Chunn","RB",0
"236","Lavon Coleman","RB",0
"237","Tim Cook","RB",0
"238","Justin Crawford","RB",0
"239","Dalton Crossan","RB",0
"240","Orleans Darkwa","RB",0
"241","Justin Davis","RB",0
"242","Mike Davis","RB",0
"243","Matt Dayes","RB",0
"244","Trey Edmunds","RB",0
"245","Gus Edwards","RB",0
"246","Andre Ellington","RB",0
"247","Tyler Ervin","RB",0
"248","Josh Ferguson","RB",0
"249","Dimitri Flowers","RB",0
"250","Quinton Flowers","RB",0
"251","D'Onta Foreman","RB",0
"252","Jalston Fowler","RB",0
"253","Jarvion Franklin","RB",0
"254","Aaron Green","RB",0
"255","Tion Green","RB",0
"256","Derrius Guice","RB",0
"257","Russell Hansbrough","RB",0
"258","Josh Harris","RB",0
"259","De'Angelo Henderson","RB",0
"260","Brian Hill","RB",0
"261","Bronson Hill","RB",0
"262","Khalid Hill","RB",0
"263","Dontrell Hilliard","RB",0
"264","Akeem Hunt","RB",0
"265","Justin Jackson","RB",0
"266","Malcolm Johnson","RB",0
"267","Aaron Jones","RB",0
"268","Matt Jones","RB",0
"269","Joe Kerridge","RB",0
"270","Eddie Lacy","RB",0
"271","Daniel Lasco","RB",0
"272","Zach Laskey","RB",0
"273","Terrence Magee","RB",0
"274","Anthony Manzo-Lewis","RB",0
"275","Keith Marshall","RB",0
"276","Antonio Brown","WR",215.44
"277","Keenan Allen","WR",192.51
"278","Julio Jones","WR",188.2
"279","Michael Thomas","WR",187.81
"280","DeAndre Hopkins","WR",174.03
"281","Odell Beckham","WR",159.22
"282","Tyreek Hill","WR",153.8
"283","A.J. Green","WR",149.43
"284","Davante Adams","WR",148.09
"285","Doug Baldwin","WR",147.88
"286","JuJu Smith-Schuster","WR",144.69
"287","Josh Gordon","WR",143.41
"288","Larry Fitzgerald","WR",143.32
"289","Stefon Diggs","WR",142.22
"290","Marvin Jones","WR",142.16
"291","Mike Evans","WR",141.45
"292","Robert Woods","WR",138.54
"293","Jarvis Landry","WR",138.26
"294","Marquise Goodwin","WR",136.33
"295","Amari Cooper","WR",135.6
"296","Cooper Kupp","WR",130.33
"297","Danny Amendola","WR",129.89
"298","Demaryius Thomas","WR",128.48
"299","Adam Thielen","WR",127.33
"300","Jamison Crowder","WR",127.03
"301","Golden Tate","WR",124.19
"302","Brandin Cooks","WR",122.27
"303","Ted Ginn","WR",121.8
"304","Devin Funchess","WR",121.37
"305","Michael Crabtree","WR",117.75
"306","Allen Robinson","WR",115.61
"307","Pierre Garcon","WR",114.05
"308","T.Y. Hilton","WR",112.04
"309","Robby Anderson","WR",111.95
"310","Sterling Shepard","WR",109.48
"311","Alshon Jeffery","WR",108.82
"312","Nelson Agholor","WR",106.57
"313","Chris Hogan","WR",106.5
"314","Corey Davis","WR",105.46
"315","Keelan Cole","WR",103.89
"316","Kenny Golladay","WR",103.34
"317","Mohamed Sanu","WR",103.13
"318","Mike Wallace","WR",102.24
"319","James Washington","WR",102.22
"320","Tyrell Williams","WR",101.58
"321","Randall Cobb","WR",101.49
"322","DeSean Jackson","WR",101.44
"323","Kelvin Benjamin","WR",101.36
"324","Cameron Meredith","WR",100.88
"325","DeVante Parker","WR",100.06
"326","Sammy Watkins","WR",96.87
"327","Quincy Enunwa","WR",95.28
"328","Emmanuel Sanders","WR",94.91
"329","Kenny Stills","WR",94.81
"330","Rishard Matthews","WR",93.66
"331","DJ Moore","WR",93.2
"332","John Ross","WR",91.98
"333","Allen Hurns","WR",90.13
"334","Will Fuller","WR",89.92
"335","Jermaine Kearse","WR",89.22
"336","Josh Doctson","WR",89.18
"337","Ryan Grant","WR",88.35
"338","Tyler Boyd","WR",88.06
"339","Dede Westbrook","WR",85.74
"340","Kevin White","WR",82.52
"341","Travis Benjamin","WR",81.81
"342","Brandon LaFell","WR",79.54
"343","Tyler Lockett","WR",77.76
"344","Adam Humphries","WR",75.51
"345","Terrance Williams","WR",74.59
"346","Chris Godwin","WR",73.08
"347","Jordy Nelson","WR",72.35
"348","John Brown","WR",70.44
"349","Donte Moncrief","WR",69.49
"350","Chris Conley","WR",68
"351","Bruce Ellington","WR",67.34
"352","Chad Williams","WR",66.76
"353","Paul Richardson","WR",64.56
"354","Zay Jones","WR",64.32
"355","Geronimo Allison","WR",61.81
"356","Trent Taylor","WR",61.5
"357","J.J. Nelson","WR",58.29
"358","Taylor Gabriel","WR",58.22
"359","Cole Beasley","WR",57.83
"360","Phillip Dorsett","WR",56.13
"361","Tajae Sharpe","WR",55.33
"362","Jeremy Kerley","WR",54.71
"363","Albert Wilson","WR",53.38
"364","Cody Latimer","WR",52.24
"365","Torrey Smith","WR",52.21
"366","Chester Rogers","WR",48.3
"367","Calvin Ridley","WR",46.77
"368","Courtland Sutton","WR",45.65
"369","Brandon Marshall","WR",44.9
"370","Terrelle Pryor","WR",44.9
"371","Rashard Higgins","WR",44.54
"372","Christian Kirk","WR",43.93
"373","Jaron Brown","WR",43
"374","Kendrick Bourne","WR",42.87
"375","Anthony Miller","WR",41.93
"376","T.J. Jones","WR",41.91
"377","Tre'Quan Smith","WR",41.28
"378","Dante Pettis","WR",39.61
"379","Cordarrelle Patterson","WR",39.04
"380","D.J. Chark","WR",37.04
"381","Michael Gallup","WR",36.58
"382","J.D. McKissic","WR",36.54
"383","Jakeem Grant","WR",36.32
"384","Curtis Samuel","WR",35.06
"385","Brandon Zylstra","WR",31.61
"386","Mike Williams","WR",31.43
"387","Equanimeous St.","WR",31.31
"388","Chris Moore","WR",30.92
"389","Seth DeValve","WR",30.36
"390","Antonio Callaway","WR",29.93
"391","DaeSean Hamilton","WR",29.65
"392","Trent Sherfield","WR",29.27
"393","Keke Coutee","WR",29.21
"394","Tim Patrick","WR",28.25
"395","Josh Malone","WR",28.02
"396","Auden Tate","WR",28
"397","Marquez Valdes-Scantling","WR",27.61
"398","Laquon Treadwell","WR",27.49
"399","Willie Snead","WR",26.97
"400","Trey Quinn","WR",26.73
"401","Chad Hansen","WR",26.42
"402","Robert Foster","WR",22.95
"403","Russell Gage","WR",22.78
"404","Justin Hardy","WR",22.72
"405","Taywan Taylor","WR",22.51
"406","Demarcus Robinson","WR",22.44
