key,name,pos,team,pass_tds,pass_yds,pass_ints,rush_tds,rush_yds,receptions,reception_tds,reception_yds,two_pts,fumbles,kick_0_19,kick_20_29,kick_30_39,kick_40_49,kick_50,kick_extra_points,df_points_allowed_per_game,df_sacks,df_safeties,df_fumbles,df_tds,df_ints
allen_QB_BUF,Josh Allen,QB,BUF,27,4035,14,9,550,,,,,4,,,,,,,,,,,,
hurts_QB_PHI,Jalen Hurts,QB,PHI,22,3694,11,11,649,,,,,3,,,,,,,,,,,,
mccaffrey_RB_SF,Christian McCaffrey,RB,SF,,,,11,1229,68,4,537,,2,,,,,,,,,,,,
hill_WR_MIA,Tyreek Hill,WR,MIA,,,,,36,112,9,1598,,1,,,,,,,,,,,,
lamb_WR_DAL,CeeDee Lamb,WR,DAL,,,,1,74,115,9,1455,,1,,,,,,,,,,,,
jackson_QB_BAL,Lamar Jackson,QB,BAL,25,3516,10,5,801,,,,,3,,,,,,,,,,,,
mahomes_QB_KC,Patrick Mahomes,QB,KC,33,4401,12,2,350,,,,,4,,,,,,,,,,,,
richardson_QB_IND,Anthony Richardson,QB,IND,19,3349,12,9,780,,,,,3,,,,,,,,,,,,
stroud_QB_HOU,C.J. Stroud,QB,HOU,33,4367,12,2,195,,,,,3,,,,,,,,,,,,
murray_QB_ARI,Kyler Murray,QB,ARI,22,3790,12,5,572,,,,,3,,,,,,,,,,,,
burrow_QB_CIN,Joe Burrow,QB,CIN,31,4227,12,2,184,,,,,4,,,,,,,,,,,,
chase_WR_CIN,Ja'Marr Chase,WR,CIN,,,,,16,105,8,1367,,1,,,,,,,,,,,,
jefferson_WR_MIN,Justin Jefferson,WR,MIN,,,,,12,105,7,1427,,1,,,,,,,,,,,,
prescott_QB_DAL,Dak Prescott,QB,DAL,30,4028,11,2,222,,,,,3,,,,,,,,,,,,
purdy_QB_SF,Brock Purdy,QB,SF,31,4031,11,2,163,,,,,3,,,,,,,,,,,,
brown_WR_DET,Amon-Ra St. Brown,WR,DET,,,,,36,111,7,1285,,1,,,,,,,,,,,,
hall_RB_NYJ,Breece Hall,RB,NYJ,,,,9,1224,55,2,408,,2,,,,,,,,,,,,
love_QB_GB,Jordan Love,QB,GB,28,3927,12,3,216,,,,,3,,,,,,,,,,,,
herbert_QB_LAC,Justin Herbert,QB,LAC,26,3967,10,3,211,,,,,4,,,,,,,,,,,,
wilson_WR_NYJ,Garrett Wilson,WR,NYJ,,,,,31,99,8,1256,,1,,,,,,,,,,,,
lawrence_QB_JAX,Trevor Lawrence,QB,JAX,25,3912,13,3,316,,,,,4,,,,,,,,,,,,
daniels_QB_WSH,Jayden Daniels,QB,WSH,20,3397,14,6,533,,,,,3,,,,,,,,,,,,
brown_WR_PHI,A.J. Brown,WR,PHI,,,,,6,89,8,1351,,1,,,,,,,,,,,,
goff_QB_DET,Jared Goff,QB,DET,29,4207,11,1,57,,,,,3,,,,,,,,,,,,
williams_QB_CHI,Caleb Williams,QB,CHI,25,3862,14,3,292,,,,,3,,,,,,,,,,,,
nacua_WR_LAR,Puka Nacua,WR,LAR,,,,,42,94,7,1256,,1,,,,,,,,,,,,
tagovailoa_QB_MIA,Tua Tagovailoa,QB,MIA,29,4104,12,1,73,,,,,3,,,,,,,,,,,,
robinson_RB_ATL,Bijan Robinson,RB,ATL,,,,8,1098,55,2,414,,2,,,,,,,,,,,,
stafford_QB_LAR,Matthew Stafford,QB,LAR,29,4085,14,1,68,,,,,3,,,,,,,,,,,,
rodgers_QB_NYJ,Aaron Rodgers,QB,NYJ,27,3897,9,1,96,,,,,3,,,,,,,,,,,,
