,name,pos,pts_espn,pts_cbs,pts_nfl
0,aaron_rodgers,QB,381.0,,370.78
1,tom_brady,QB,354.0,434.8,364.96
2,drew_brees,QB,345.0,404.6,343.96
3,matthew_stafford,QB,338.0,381.2,322.9
4,cam_newton,QB,325.0,366.8,363.04
5,arian_foster,RB,296.0,,290.6
6,eli_manning,QB,279.0,341.6,263.34
7,ray_rice,RB,278.0,247.2,252.0
8,michael_vick,QB,271.0,343.2,283.8
9,tony_romo,QB,265.0,329.4,284.6
10,peyton_manning,QB,263.0,329.0,279.46
11,philip_rivers,QB,263.0,331.8,254.66
12,lesean_mccoy,RB,259.0,243.0,243.4
13,matt_ryan,QB,246.0,354.8,268.52
14,ben_roethlisberger,QB,235.0,309.8,282.86
15,robert_griffin_iii,QB,230.0,312.0,272.4
16,calvin_johnson,WR,224.0,,220.4
17,josh_freeman,QB,218.0,295.2,259.4
18,matt_schaub,QB,215.0,308.2,240.88
19,chris_johnson,RB,215.0,210.8,230.7
20,joe_flacco,QB,208.0,290.4,226.68
21,maurice_jones-drew,RB,208.0,178.8,232.5
22,alex_smith,QB,206.0,279.0,238.96
23,andy_dalton,QB,202.0,273.8,241.44
24,matt_forte,RB,199.0,180.4,203.5
25,jay_cutler,QB,197.0,308.4,224.0
26,ryan_mathews,RB,195.0,182.0,256.5
27,marshawn_lynch,RB,193.0,190.6,182.7
28,rob_gronkowski,TE,191.0,167.0,202.7
29,trent_richardson,RB,190.0,183.2,211.4
30,jamaal_charles,RB,186.0,172.4,191.4
31,jimmy_graham,TE,186.0,,159.9
32,fred_jackson,RB,185.0,179.8,206.6
33,larry_fitzgerald,WR,184.0,176.2,190.2
34,demarco_murray,RB,183.0,196.6,175.0
35,carson_palmer,QB,182.0,286.6,204.82
36,ryan_fitzpatrick,QB,182.0,279.0,238.14
37,steven_jackson,RB,182.0,181.8,194.7
38,michael_turner,RB,182.0,171.8,199.3
39,tim_tebow,QB,178.0,141.0,118.58
40,adrian_peterson,RB,177.0,172.0,193.6
41,frank_gore,RB,177.0,153.4,158.6
42,wes_welker,WR,176.0,162.0,165.8
43,darren_mcfadden,RB,175.0,207.4,224.8
44,roddy_white,WR,173.0,166.2,173.3
45,andre_johnson,WR,172.0,168.8,193.5
46,andrew_luck,QB,170.0,301.4,232.76
47,matt_cassel,QB,169.0,259.0,228.52
48,mike_wallace,WR,169.0,136.0,168.9
49,aj_green,WR,169.0,166.8,163.2
50,ahmad_bradshaw,RB,167.0,174.0,176.6
51,greg_jennings,WR,166.0,174.2,167.2
52,darren_sproles,RB,164.0,164.8,156.0
53,sam_bradford,QB,161.0,257.8,167.4
54,stevan_ridley,RB,161.0,146.4,137.1
55,hakeem_nicks,WR,160.0,164.0,155.0
56,russell_wilson,QB,159.0,260.0,44.34
57,julio_jones,WR,155.0,181.6,172.5
58,dwayne_bowe,WR,152.0,133.2,167.2
59,reggie_bush,RB,150.0,137.2,194.1
60,victor_cruz,WR,150.0,158.4,180.5
61,percy_harvin,WR,150.0,160.0,173.2
62,christian_ponder,QB,149.0,252.6,202.4
63,jordy_nelson,WR,149.0,169.2,149.1
64,vincent_jackson,WR,149.0,133.8,170.3
65,jake_locker,QB,148.0,289.4,142.74
66,brandon_marshall,WR,148.0,160.6,167.5
67,steve_smith,WR,148.0,151.4,184.8
68,steve_smith,WR,148.0,73.0,184.8
69,steve_smith,WR,71.0,151.4,184.8
70,steve_smith,WR,71.0,73.0,184.8
71,marques_colston,WR,147.0,150.4,175.4
72,kevin_smith,RB,146.0,125.4,32.8
73,dez_bryant,WR,146.0,152.8,179.9
74,john_skelton,QB,144.0,167.6,68.4
75,jonathan_stewart,RB,144.0,118.2,145.4
76,shonn_greene,RB,142.0,147.2,195.0
77,jeremy_maclin,WR,142.0,147.2,159.5
78,antonio_gates,TE,142.0,129.0,137.7
79,doug_martin,RB,141.0,176.0,156.6
80,desean_jackson,WR,141.0,137.4,165.0
81,blaine_gabbert,QB,139.0,222.4,193.36
82,willis_mcgahee,RB,139.0,139.2,156.8
83,benjarvus_green-ellis,RB,138.0,153.6,152.2
84,demaryius_thomas,WR,138.0,154.8,162.0
85,vernon_davis,TE,138.0,116.8,141.5
86,brandon_weeden,QB,136.0,223.0,134.3
87,brandon_lloyd,WR,136.0,142.8,150.6
