name,pos,madden_ovr
roberto_garza,C,77
patrick_mannelly,C,66
ricky_henry,C,59
charles_tillman,CB,89
tim_jennings,CB,81
kelvin_hayden,CB,76
dj_moore,CB,72
jonathan_wilhite,CB,71
isaiah_frey,CB,60
cornelius_brown,CB,58
greg_mccoy,CB,57
henry_melton,DT,80
matt_toeaina,DT,74
stephen_paea,DT,73
john_mccargo,DT,68
demario_pressley,DT,65
jordan_miller,DT,63
nate_collins,DT,62
tyler_clutts,RB,66
evan_rodriguez,RB,61
chris_conte,FS,72
anthony_walters,FS,62
matt_forte,RB,93
michael_bush,RB,83
kahlil_bell,RB,69
armando_allen,RB,64
harvey_unga,RB,58
alvester_alexander,RB,57
robbie_gould,K,95
israel_idonije,LE,80
shea_mcclellin,LE,76
chauncey_davis,LE,73
cheta_ozougwu,LE,64
chris_spencer,LG,77
edwin_williams,LG,73
nick_roach,LOLB,75
geno_hayes,LOLB,74
jabara_williams,LOLB,61
chris_williams,LT,72
jmarcus_webb,LT,69
james_brown,LT,60
brian_urlacher,MLB,95
blake_costanzo,MLB,66
dom_decicco,MLB,57
adrien_cole,MLB,50
adam_podlesh,P,78
jay_cutler,QB,87
jason_campbell,QB,79
josh_mccown,QB,70
julius_peppers,RE,97
thaddeus_gibson,RE,72
corey_wootton,RE,72
lance_louis,RG,71
chilo_rachal,RG,69
lance_briggs,ROLB,92
patrick_trahan,ROLB,61
jt_thomas,ROLB,60
gabe_carimi,RT,79
aj_greene,RT,61
major_wright,SS,77
craig_steltz,SS,72
brandon_hardin,SS,70
kellen_davis,TE,78
matt_spaeth,TE,71
draylen_ross,TE,63
kyle_adams,TE,61
brandon_marshall,WR,91
devin_hester,WR,78
earl_bennett,WR,77
johnny_knox,WR,75
eric_weems,WR,73
alshon_jeffery,WR,70
dane_sanzenbacher,WR,67
devin_thomas,WR,67
kyle_cook,C,82
reggie_stephens,C,66
leon_hall,CB,89
nate_clements,CB,87
terence_newman,CB,82
jason_allen,CB,78
dre_kirkpatrick,CB,75
adam_jones,CB,73
brandon_ghee,CB,68
shaun_prater,CB,67
geno_atkins,DT,93
domata_peko,DT,84
pat_sims,DT,77
devon_still,DT,72
nick_hayden,DT,67
brandon_thompson,DT,66
vaughn_meatoga,DT,56
chris_pressley,RB,76
james_develin,RB,59
reggie_nelson,FS,79
george_iloka,FS,65
robert_sands,FS,64
benjarvus_green-ellis,RB,82
bernard_scott,RB,77
brian_leonard,RB,73
daniel_herron,RB,68
aaron_brown,RB,63
cedric_peerman,RB,62
mike_nugent,K,81
carlos_dunlap,LE,85
robert_geathers,LE,79
derrick_harvey,LE,63
travelle_wharton,LG,85
otis_hudson,LG,66
manny_lawson,LOLB,82
dan_skuta,LOLB,66
dontay_moch,LOLB,59
micah_johnson,LOLB,57
andrew_whitworth,LT,91
anthony_collins,LT,78
rey_maualuga,MLB,83
roddrick_muckelroy,MLB,62
vontaze_burfict,MLB,56
kevin_huber,P,75
andy_dalton,QB,83
bruce_gradkowski,QB,73
zac_robinson,QB,60
michael_johnson,RE,77
jamaal_anderson,RE,74
dequin_evans,RE,54
kevin_zeitler,RG,75
clint_boling,RG,73
thomas_howard,ROLB,83
vincent_rey,ROLB,60
andre_smith,RT,81
dennis_roland,RT,78
matthew_odonnell,RT,61
taylor_mays,SS,71
jeromy_miles,SS,68
jermaine_gresham,TE,81
donald_lee,TE,73
orson_charles,TE,69
colin_cochart,TE,68
clark_harris,TE,61
aj_green,WR,89
jordan_shipley,WR,74
brandon_tate,WR,73
mohamed_sanu,WR,71
armon_binns,WR,68
andrew_hawkins,WR,65
marvin_jones,WR,65
ryan_whalen,WR,63
kashif_moore,WR,56
vidal_hazelton,WR,55
eric_wood,C,86
garrison_sanborn,C,57
colin_brown,C,54
terrence_mcgee,CB,82
stephon_gilmore,CB,77
leodis_mckelvin,CB,75
aaron_williams,CB,72
ron_brooks,CB,67
justin_rogers,CB,63
prince_miller,CB,57
kyle_williams,DT,90
marcell_dareus,DT,86
dwan_edwards,DT,79
alex_carrington,DT,71
torell_troup,DT,66
kellen_heard,DT,65
jarron_gilbert,DT,62
lionel_dotson,DT,59
corey_mcintyre,RB,74
jairus_byrd,FS,87
bryan_scott,FS,77
fred_jackson,RB,89
cj_spiller,RB,80
tashard_choice,RB,72
johnny_white,RB,66
rian_lindell,K,85
john_potter,K,60
mario_williams,LE,97
chris_kelsay,LE,81
danny_batten,LE,67
andy_levitre,LG,90
keith_williams,LG,61
michael_jasper,LG,53
kirk_morrison,LOLB,79
arthur_moats,LOLB,69
nigel_bradham,LOLB,63
cordy_glenn,LT,72
chris_hairston,LT,69
kelvin_sheppard,MLB,76
scott_mckillop,MLB,68
tank_carder,MLB,63
brian_moorman,P,88
ryan_fitzpatrick,QB,82
vince_young,QB,75
tyler_thigpen,QB,69
mark_anderson,RE,81
shawne_merriman,RE,78
spencer_johnson,RE,72
kyle_moore,RE,69
chad_rinehart,RG,81
kraig_urbik,RG,79
mark_asper,RG,61
nick_barnett,ROLB,89
chris_white,ROLB,57
erik_pears,RT,80
sam_young,RT,69
zebrie_sanders,RT,66
george_wilson,SS,81
danorris_searcy,SS,70
joshua_nesbitt,SS,64
scott_chandler,TE,78
lee_smith,TE,69
kevin_brock,TE,62
mike_caussin,TE,59
stevie_johnson,WR,89
brad_smith,WR,75
donald_jones,WR,73
david_nelson,WR,72
derek_hagan,WR,70
ruvell_martin,WR,69
marcus_easley,WR,66
naaman_roosevelt,WR,66
david_clowney,WR,64
tj_graham,WR,64
jd_walton,C,72
philip_blake,C,70
lonie_paxton,C,66
champ_bailey,CB,95
tracy_porter,CB,80
drayton_florence,CB,74
chris_harris,CB,74
omar_bolden,CB,69
joshua_moore,CB,67
sydquan_thompson,CB,67
tony_carter,CB,64
coryell_judie,CB,62
ty_warren,DT,82
justin_bannan,DT,78
kevin_vickerson,DT,76
derek_wolfe,DT,72
mitch_unrein,DT,62
sealver_siliga,DT,54
chris_gronkowski,RB,65
austin_sylvester,RB,58
quinton_carter,FS,72
rahim_moore,FS,68
willis_mcgahee,RB,85
knowshon_moreno,RB,76
lance_ball,RB,71
ronnie_hillman,RB,68
jeremiah_johnson,RB,65
mario_fannin,RB,61
matt_prater,K,85
robert_ayers,LE,78
jeremy_beal,LE,66
zane_beadles,LG,75
cj_davis,LG,63
von_miller,LOLB,89
cyril_obiozor,LOLB,60
mike_mohamed,LOLB,58
ryan_clady,LT,87
ryan_harris,LT,76
chris_clark,LT,64
joe_mays,MLB,79
nate_irving,MLB,65
jerry_franklin,MLB,58
britton_colquitt,P,81
peyton_manning,QB,93
brock_osweiler,QB,69
adam_weber,QB,69
caleb_hanie,QB,68
elvis_dumervil,RE,88
jason_hunter,RE,74
malik_jackson,RE,61
chris_kuper,RG,85
manny_ramirez,RG,65
dj_williams,ROLB,87
wesley_woodyard,ROLB,72
danny_trevathan,ROLB,59
orlando_franklin,RT,76
tony_hills,RT,70
mike_adams,SS,76
david_bruton,SS,65
rafael_bush,SS,62
jacob_tamme,TE,79
joel_dreessen,TE,77
virgil_green,TE,64
julius_thomas,TE,62
demaryius_thomas,WR,81
eric_decker,WR,78
andre_caldwell,WR,77
jason_hill,WR,74
brandon_stokley,WR,72
matthew_willis,WR,68
eric_page,WR,63
mark_dell,WR,60
greg_orton,WR,56
dandre_goodwin,WR,53
alex_mack,C,88
garth_gerhart,C,64
christian_yount,C,49
joe_haden,CB,92
sheldon_brown,CB,82
dimitri_patterson,CB,71
buster_skrine,CB,70
trevin_wade,CB,65
james_dockery,CB,63
ahtyba_rubin,DT,88
phil_taylor,DT,82
scott_paxson,DT,70
john_hughes,DT,65
brian_sanford,DT,65
billy_winn,DT,65
kiante_tripp,DT,59
owen_marecic,RB,70
eddie_williams,RB,64
brad_smelley,RB,63
usama_young,FS,77
ray_ventrone,FS,63
david_sims,FS,60
trent_richardson,RB,83
montario_hardesty,RB,72
brandon_jackson,RB,71
chris_ogbonnaya,RB,71
adonis_thomas,RB,61
phil_dawson,K,88
jabaal_sheard,LE,84
juqua_parker,LE,77
emmanuel_stephens,LE,65
auston_english,LE,62
jason_pinkston,LG,74
stanley_daniels,LG,68
ryan_miller,LG,64
scott_fujita,LOLB,78
emmanuel_acho,LOLB,64
quinton_spears,LOLB,58
craig_robertson,LOLB,55
joe_thomas,LT,97
dominic_alford,LT,53
dqwell_jackson,MLB,90
james-michael_johnson,MLB,58
reggie_hodges,P,66
colt_mccoy,QB,75
brandon_weeden,QB,74
seneca_wallace,QB,73
thaddeus_lewis,QB,60
frostee_rucker,RE,81
marcus_benard,RE,71
brian_schaefering,RE,66
shawn_lauvao,RG,72
john_greco,RG,71
jarrod_shaw,RG,60
chris_gocong,ROLB,81
kaluka_maiava,ROLB,71
benjamin_jacobs,ROLB,59
mitchell_schwartz,RT,74
oniel_cousins,RT,71
tj_ward,SS,86
eric_hagg,SS,64
benjamin_watson,TE,77
evan_moore,TE,73
alex_smith,TE,72
dan_gronkowski,TE,60
jordan_cameron,TE,57
josh_cribbs,WR,76
greg_little,WR,75
mohamed_massaquoi,WR,73
carlton_mitchell,WR,67
travis_benjamin,WR,66
jordan_norwood,WR,65
josh_cooper,WR,61
rod_windsor,WR,61
jeremy_zuttah,C,75
ted_larsen,C,69
andrew_economos,C,62
aqib_talib,CB,87
eric_wright,CB,79
ej_biggers,CB,70
myron_lewis,CB,68
keith_tandy,CB,66
leonard_johnson,CB,64
anthony_gaitor,CB,61
derrick_roberson,CB,61
gerald_mccoy,DT,82
amobi_okoye,DT,75
brian_price,DT,74
gary_gibson,DT,72
roy_miller,DT,69
frank_okam,DT,65
ej_wilson,DT,62
erik_lorig,RB,67
cody_johnson,RB,61
ronde_barber,FS,86
cody_grimm,FS,70
tramain_thomas,FS,59
legarrette_blount,RB,79
doug_martin,RB,76
michael_smith,RB,64
mossis_madu,RB,63
connor_barth,K,82
kai_forbath,K,59
michael_bennett,LE,81
daquan_bowers,LE,75
jayme_mitchell,LE,69
daniel_teo-nesheim,LE,65
carl_nicks,LG,97
desmond_wynn,LG,59
quincy_black,LOLB,73
dekoda_watson,LOLB,69
jacob_cutrera,LOLB,62
donald_penn,LT,87
jamon_meredith,LT,62
mason_foster,MLB,74
najee_goode,MLB,56
michael_koenen,P,84
josh_freeman,QB,82
dan_orlovsky,QB,70
brett_ratliff,QB,63
adrian_clayborn,RE,80
wallace_gilberry,RE,64
george_johnson,RE,64
davin_joseph,RG,88
derek_hardman,RG,66
adam_hayward,ROLB,72
lavonte_david,ROLB,71
rennie_curran,ROLB,66
jeremy_trueblood,RT,75
demar_dotson,RT,69
mark_barron,SS,80
larry_asante,SS,71
ahmad_black,SS,67
devin_holland,SS,55
dallas_clark,TE,81
luke_stocker,TE,67
drake_dunsmore,TE,65
chase_coffman,TE,64
zack_pianalto,TE,63
vincent_jackson,WR,89
mike_williams,WR,78
arrelious_benn,WR,73
dezmon_briscoe,WR,72
preston_parker,WR,71
sammie_stroughter,WR,69
wallace_wright,WR,63
tiquan_underwood,WR,62
ed_gant,WR,55
lyle_sendlein,C,80
ryan_bartholomew,C,60
patrick_peterson,CB,84
william_gay,CB,78
greg_toler,CB,75
aj_jefferson,CB,74
michael_adams,CB,68
jamell_fleming,CB,67
justin_bethel,CB,64
marshay_green,CB,61
crezdon_butler,CB,60
dan_williams,DT,78
david_carter,DT,71
ricky_lumpkin,DT,57
anthony_sherman,RB,71
kerry_rhodes,FS,87
rashad_johnson,FS,66
beanie_wells,RB,85
larod_stephens-howling,RB,74
ryan_williams,RB,73
alfonso_smith,RB,67
javarris_james,RB,64
william_powell,RB,61
jay_feely,K,84
calais_campbell,LE,91
vonnie_holliday,LE,75
ronald_talley,LE,63
daryn_colledge,LG,83
senio_kelemete,LG,65
obrien_schofield,LOLB,75
clark_haggans,LOLB,74
antonio_coleman,LOLB,64
levi_brown,LT,74
nate_potter,LT,61
dj_young,LT,59
daryl_washington,MLB,84
paris_lenon,MLB,77
stewart_bradley,MLB,74
quan_sturdivant,MLB,65
reggie_walker,MLB,64
dave_zastudil,P,77
kevin_kolb,QB,75
john_skelton,QB,74
richard_bartel,QB,66
ryan_lindley,QB,65
darnell_dockett,RE,89
nick_eason,RE,70
landon_cohen,RE,63
adam_snyder,RG,71
chris_stewart,RG,58
blake_dechristopher,RG,50
sam_acho,ROLB,74
quentin_groves,ROLB,71
brandon_williams,ROLB,57
jeremy_bridges,RT,76
