name,pos,pts,pts_ppr,year
jamaal_charles,RB,308.0,378.0,2013
peyton_manning,QB,414.0,412.0,2013
lesean_mccoy,RB,279.0,330.6,2013
matt_forte,RB,265.0,337.3,2013
marshawn_lynch,RB,239.0,275.3,2013
knowshon_moreno,RB,237.0,296.6,2013
demaryius_thomas,WR,229.0,319.0,2013
josh_gordon,WR,227.0,314.4,2013
calvin_johnson,WR,221.0,303.2,2013
drew_brees,QB,358.0,357.7,2013
jimmy_graham,WR,218.0,303.5,2013
aj_green,WR,209.0,306.6,2013
brandon_marshall,WR,206.0,305.5,2013
dez_bryant,WR,203.0,292.4,2013
eddie_lacy,RB,208.0,242.5,2013
demarco_murray,RB,205.0,258.1,2013
adrian_peterson,RB,204.0,232.7,2013
antonio_brown,WR,199.0,314.9,2013
alshon_jeffery,WR,195.0,283.6,2013
vernon_davis,TE,161.0,213.0,2013
chris_johnson,RB,198.0,240.2,2013
eric_decker,WR,193.0,279.8,2013
desean_jackson,WR,191.0,269.4,2013
julius_thomas,TE,151.0,215.8,2013
fred_jackson,RB,188.0,234.7,2013
reggie_bush,RB,185.0,239.2,2013
ryan_mathews,RB,184.0,210.4,2013
jordy_nelson,WR,179.0,264.4,2013
andre_johnson,WR,171.0,279.7,2013
frank_gore,RB,175.0,190.9,2013
tony_gonzalez,TE,136.0,218.9,2013
leveon_bell,RB,172.0,216.9,2013
jordan_cameron,TE,134.0,213.7,2013
pierre_garcon,WR,167.0,277.5,2013
jason_witten,TE,133.0,206.1,2013
alfred_morris,RB,169.0,178.3,2013
vincent_jackson,WR,164.0,242.4,2013
giovani_bernard,RB,167.0,222.9,2013
anquan_boldin,WR,161.0,246.0,2013
joique_bell,RB,164.0,216.7,2013
cam_newton,QB,298.0,297.7,2013
andrew_luck,QB,297.0,292.6,2013
larry_fitzgerald,WR,156.0,236.2,2013
zac_stacy,RB,157.0,183.4,2013
charles_clay,TE,119.0,188.4,2013
andy_dalton,QB,290.0,288.0,2013
greg_olsen,TE,118.0,190.6,2013
keenan_allen,WR,149.0,219.6,2013
philip_rivers,QB,287.0,287.4,2013
julian_edelman,WR,147.0,251.7,2013
matthew_stafford,QB,285.0,278.9,2013
danny_woodhead,RB,147.0,223.4,2013
antonio_gates,TE,107.0,184.2,2013
maurice_jones-drew,RB,144.0,187.0,2013
riley_cooper,WR,139.0,184.3,2013
ty_hilton,WR,139.0,220.9,2013
torrey_smith,WR,139.0,203.8,2013
wes_welker,WR,138.0,208.8,2013
marvin_jones,WR,138.0,188.7,2013
martellus_bennett,TE,104.0,168.9,2013
michael_floyd,WR,136.0,199.1,2013
rashad_jennings,RB,139.0,174.5,2013
russell_wilson,QB,272.0,270.2,2013
deangelo_williams,RB,138.0,163.6,2013
pierre_thomas,RB,136.0,211.2,2013
jared_cook,TE,97.0,146.1,2013
mike_wallace,WR,128.0,199.3,2013
nick_foles,QB,266.0,259.7,2013
delanie_walker,TE,93.0,153.1,2013
tony_romo,QB,265.0,260.9,2013
brian_hartline,WR,126.0,201.6,2013
colin_kaepernick,QB,264.0,264.3,2013
marques_colston,WR,124.0,199.3,2013
golden_tate,WR,123.0,186.9,2013
victor_cruz,WR,122.0,194.8,2013
coby_fleener,TE,89.0,140.8,2013
kyle_juszczyk,,,,2013
andre_ellington,RB,126.0,165.3,2013
ben_roethlisberger,QB,261.0,258.8,2013
alex_smith,QB,253.0,254.2,2013
tom_brady,QB,252.0,251.5,2013
matt_ryan,QB,248.0,248.1,2013
ryan_tannehill,QB,240.0,238.3,2013
carson_palmer,QB,221.0,217.3,2013
robert_griffin,QB,217.0,213.0,2013
joe_flacco,QB,208.0,207.6,2013
geno_smith,QB,194.0,194.7,2013
aaron_rodgers,QB,171.0,169.4,2013
eli_manning,QB,170.0,170.3,2013
jay_cutler,QB,169.0,168.6,2013
ryan_fitzpatrick,QB,167.0,167.7,2013
chad_henne,QB,165.0,161.3,2013
mike_glennon,QB,158.0,158.0,2013
terrelle_pryor,QB,144.0,143.5,2013
josh_mccown,QB,136.0,136.1,2013
ej_manuel,QB,133.0,133.5,2013
rashard_mendenhall,RB,126.0,144.1,2013
donald_brown,RB,123.0,150.1,2013
cj_spiller,RB,122.0,154.8,2013
jerricho_cotchery,WR,120.0,165.7,2013
ray_rice,RB,120.0,178.1,2013
stevan_ridley,RB,120.0,127.5,2013
kendall_wright,WR,120.0,213.9,2013
legarrette_blount,RB,119.0,121.0,2013
sam_bradford,QB,119.0,118.6,2013
emmanuel_sanders,WR,117.0,181.5,2013
benjarvus_green-ellis,RB,116.0,119.8,2013
jason_campbell,QB,115.0,115.3,2013
harry_douglas,WR,115.0,199.7,2013
steven_jackson,RB,115.0,148.4,2013
rod_streater,WR,113.0,172.5,2013
eddie_royal,WR,111.0,158.2,2013
ben_tate,RB,111.0,145.1,2013
doug_baldwin,WR,110.0,158.4,2013
matt_cassel,QB,110.0,108.0,2013
trent_richardson,RB,110.0,144.9,2013
nate_washington,WR,110.0,167.9,2013
christian_ponder,QB,107.0,107.0,2013
greg_jennings,WR,106.0,172.4,2013
cordarrelle_patterson,WR,105.0,161.7,2013
matt_schaub,QB,105.0,104.8,2013
case_keenum,QB,104.0,103.6,2013
bilal_powell,RB,104.0,140.1,2013
chris_ivory,RB,102.0,104.3,2013
darren_sproles,RB,102.0,173.4,2013
terrance_williams,WR,102.0,146.0,2013
michael_vick,QB,101.0,101.0,2013
james_jones,WR,100.0,156.7,2013
jake_locker,QB,100.0,99.7,2013
denarius_moore,WR,100.0,145.5,2013
steve_smith,WR,99.0,162.5,2013
lamar_miller,RB,98.0,123.9,2013
dwayne_bowe,WR,97.0,154.3,2013
mike_tolbert,RB,97.0,123.5,2013
marlon_brown,WR,96.0,145.2,2013
cecil_shorts,WR,96.0,161.7,2013
bobby_rainey,RB,95.0,110.2,2013
rueben_randle,WR,95.0,136.1,2013
kenny_stills,WR,95.0,127.1,2013
brandon_lafell,WR,94.0,143.2,2013
shane_vereen,RB,92.0,134.5,2013
deandre_hopkins,WR,90.0,142.2,2013
hakeem_nicks,WR,90.0,145.6,2013
brandon_weeden,QB,90.0,89.6,2013
ted_ginn,WR,89.0,124.5,2013
jacquizz_rodgers,RB,89.0,141.3,2013
montee_ball,RB,88.0,108.4,2013
kellen_clemens,QB,87.0,85.3,2013
arian_foster,RB,87.0,108.5,2013
roddy_white,WR,87.0,150.1,2013
tim_wright,TE,87.0,141.3,2013
jarrett_boykin,WR,86.0,135.1,2013
tavon_austin,WR,85.0,130.9,2013
brent_celek,TE,84.0,116.2,2013
garrett_graham,TE,83.0,131.5,2013
rob_gronkowski,TE,83.0,122.2,2013
daniel_thomas,RB,83.0,97.9,2013
james_starks,RB,82.0,92.2,2013
darren_mcfadden,RB,81.0,98.3,2013
marcel_reece,RB,80.0,111.8,2013
robert_woods,WR,80.0,120.3,2013
steve_johnson,WR,79.0,130.7,2013
matt_mcgloin,QB,79.0,78.6,2013
jerome_simpson,WR,79.0,126.6,2013
matt_flynn,QB,78.0,72.2,2013
roy_helu,RB,77.0,107.5,2013
scott_chandler,TE,76.0,128.5,2013
aaron_dobson,WR,76.0,112.9,2013
brandon_myers,TE,76.0,123.2,2013
danny_amendola,WR,75.0,129.4,2013
randall_cobb,WR,75.0,106.1,2013
andre_brown,RB,74.0,93.5,2013
zach_ertz,TE,73.0,106.9,2013
jordan_reed,TE,72.0,114.7,2013
jeremy_kerley,WR,71.0,114.4,2013
kenbrell_thompkins,WR,71.0,102.6,2013
donnie_avery,WR,70.0,110.2,2013
julio_jones,WR,69.0,109.7,2013
zach_miller,TE,69.0,101.7,2013
chris_ogbonnaya,RB,68.0,114.3,2013
tiquan_underwood,WR,68.0,92.0,2013
joseph_fauria,TE,67.0,82.7,2013
bernard_pierce,RB,66.0,86.0,2013
mychal_rivera,TE,65.0,102.7,2013
reggie_wayne,WR,65.0,102.8,2013
jeff_cumberland,TE,64.0,89.8,2013
jermaine_gresham,TE,64.0,109.8,2013
dexter_mccluster,WR,64.0,128.6,2013
austin_pettis,WR,64.0,101.9,2013
heath_miller,TE,63.0,121.3,2013
jason_snelling,RB,62.0,91.0,2013
kris_durham,WR,61.0,97.0,2013
jarius_wright,WR,61.0,87.4,2013
brandon_bolden,RB,60.0,81.3,2013
ace_sanders,WR,60.0,110.6,2013
justin_hunter,WR,59.0,77.4,2013
thaddeus_lewis,QB,59.0,58.9,2013
greg_little,WR,59.0,99.5,2013
andre_roberts,WR,59.0,102.1,2013
jacoby_jones,WR,58.0,100.5,2013
marcedes_lewis,TE,58.0,82.9,2013
mohamed_sanu,WR,58.0,105.1,2013
tyler_eifert,TE,57.0,95.5,2013
shonn_greene,RB,57.0,63.4,2013
jermaine_kearse,WR,57.0,78.6,2013
rishard_matthews,WR,57.0,97.8,2013
chris_givens,WR,56.0,89.7,2013
ladarius_green,TE,56.0,72.6,2013
leonard_hankerson,WR,56.0,85.5,2013
doug_martin,RB,56.0,68.2,2013
lance_moore,WR,56.0,92.7,2013
santana_moss,WR,56.0,97.7,2013
jason_avant,WR,55.0,92.7,2013
mike_brown,WR,55.0,86.6,2013
jerrel_jernigan,WR,55.0,83.6,2013
jordan_todman,RB,55.0,69.2,2013
bryce_brown,RB,54.0,61.8,2013
knile_davis,RB,54.0,70.7,2013
david_nelson,WR,54.0,90.3,2013
vincent_brown,WR,53.0,94.2,2013
kendall_hunter,RB,53.0,55.1,2013
mark_ingram,RB,53.0,58.4,2013
dallas_clark,TE,52.0,83.3,2013
santonio_holmes,WR,52.0,74.6,2013
brandon_pettigrew,TE,52.0,92.6,2013
nate_burleson,WR,51.0,90.3,2013
brandon_gibson,WR,51.0,80.6,2013
rob_housler,TE,51.0,90.4,2013
kellen_winslow,TE,51.0,81.8,2013
earl_bennett,WR,50.0,82.3,2013
lance_kendricks,TE,50.0,81.8,2013
willis_mcgahee,RB,50.0,57.7,2013
cole_beasley,WR,49.0,87.8,2013
justin_blackmon,WR,49.0,76.4,2013
michael_bush,RB,49.0,52.5,2013
andre_holmes,WR,49.0,74.1,2013
kyle_rudolph,TE,49.0,79.3,2013
davone_bess,WR,48.0,90.2,2013
jermichael_finley,TE,48.0,73.0,2013
tj_graham,WR,48.0,70.5,2013
aldrick_robinson,WR,48.0,66.1,2013
toby_gerhart,RB,47.0,60.1,2013
brandon_jacobs,RB,47.0,49.1,2013
andrew_quarless,TE,47.0,75.2,2013
marquise_goodwin,WR,46.0,62.6,2013
darrius_heyward-bey,WR,44.0,70.5,2013
peyton_hillis,RB,44.0,57.3,2013
robert_meachem,WR,44.0,60.3,2013
owen_daniels,TE,43.0,67.2,2013
sean_mcgrath,TE,42.0,68.2,2013
brian_quick,WR,42.0,60.2,2013
logan_paulsen,TE,41.0,68.7,2013
brian_hoyer,QB,40.0,40.2,2013
griff_whalen,WR,40.0,61.9,2013
andre_caldwell,WR,39.0,54.7,2013
clay_harbor,TE,39.0,63.2,2013
kevin_ogletree,WR,39.0,59.9,2013
sidney_rice,WR,39.0,54.1,2013
john_carlson,TE,38.0,70.4,2013
benny_cunningham,RB,38.0,44.0,2013
anthony_fasano,TE,38.0,61.0,2013
ronnie_hillman,RB,38.0,49.7,2013
stephen_hill,WR,38.0,62.2,2013
mike_james,RB,38.0,47.9,2013
kirk_cousins,QB,36.0,33.6,2013
brian_leonard,RB,36.0,65.1,2013
chris_polk,RB,36.0,37.9,2013
edwin_baker,RB,35.0,42.8,2013
ahmad_bradshaw,RB,35.0,41.8,2013
keshawn_martin,WR,35.0,63.3,2013
joseph_randle,RB,35.0,42.5,2013
ben_watson,WR,35.0,53.6,2013
fozzy_whittaker,RB,35.0,56.4,2013
darrel_young,RB,35.0,39.2,2013
matt_asiata,RB,34.0,38.9,2013
michael_crabtree,WR,34.0,53.4,2013
drew_davis,WR,34.0,45.6,2013
daryl_richardson,RB,34.0,47.6,2013
scott_tolzien,QB,34.0,34.2,2013
mike_williams,WR,34.0,55.6,2013
ed_dickson,TE,33.0,58.3,2013
luke_willson,RB,33.0,53.2,2013
stedman_bailey,WR,32.0,48.9,2013
jim_dray,TE,32.0,57.5,2013
darick_rogers,WR,31.0,45.2,2013
josh_freeman,QB,30.0,30.4,2013
ryan_griffin,TE,30.0,49.4,2013
robert_turbin,RB,30.0,38.4,2013
tandon_doss,WR,29.0,53.5,2013
kerry_taylor,WR,29.0,50.9,2013
lavon_brazill,WR,28.0,40.1,2013
ronnie_brown,RB,28.0,35.7,2013
khiry_robinson,RB,28.0,28.4,2013
antone_smith,RB,28.0,29.5,2013
jonathan_dwyer,RB,26.0,34.1,2013
bruce_miller,RB,26.0,50.6,2013
gary_barnidge,TE,25.0,37.7,2013
gavin_escobar,TE,25.0,34.4,2013
darius_johnson,WR,25.0,47.0,2013
frank_summers,RB,25.0,31.5,2013
miles_austin,WR,24.0,48.4,2013
jackie_battle,RB,24.0,27.8,2013
darel_scott,RB,24.0,34.5,2013
jacob_tamme,TE,24.0,44.4,2013
cory_harkey,TE,23.0,36.3,2013
junior_hemingway,WR,23.0,35.5,2013
dennis_johnson,RB,23.0,30.9,2013
felix_jones,RB,23.0,31.7,2013
josh_morgan,WR,23.0,42.7,2013
kyle_orton,QB,23.0,20.7,2013
dennis_pitta,TE,23.0,42.9,2013
jonathan_stewart,RB,22.0,29.4,2013
anthony_dixon,RB,21.0,23.6,2013
jake_ballard,TE,20.0,26.5,2013
jaron_brown,WR,20.0,31.0,2013
stanley_havili,RB,20.0,37.5,2013
andrew_hawkins,WR,20.0,32.2,2013
michael_hoomanawanui,TE,20.0,31.6,2013
anthony_sherman,RB,20.0,37.8,2013
tashard_choice,RB,19.0,23.5,2013
lance_dunbar,RB,19.0,25.9,2013
jonathan_grimes,RB,19.0,24.9,2013
dwayne_harris,WR,19.0,33.6,2013
stepfan_taylor,RB,19.0,26.6,2013
brandon_bostick,TE,18.0,25.0,2013
johnathan_franklin,RB,18.0,21.7,2013
marcus_thigpen,RB,18.0,25.5,2013
levine_toilolo,TE,18.0,28.5,2013
chase_daniel,QB,17.0,17.1,2013
david_wilson,RB,17.0,19.4,2013
jed_collins,RB,16.0,29.9,2013
tarvaris_jackson,QB,16.0,16.1,2013
john_kuhn,RB,16.0,28.9,2013
devier_posey,WR,16.0,30.5,2013
michael_preston,WR,16.0,20.7,2013
alfonso_smith,RB,16.0,26.2,2013
damian_williams,WR,16.0,30.8,2013
malcom_floyd,WR,15.0,20.9,2013
jeremy_ross,WR,15.0,32.7,2013
brittan_golden,WR,14.0,17.6,2013
aj_jenkins,WR,14.0,21.6,2013
greg_salas,WR,14.0,22.3,2013
kyle_williams,WR,14.0,25.6,2013
travis_benjamin,WR,13.0,24.0,2013
tommy_bohanon,RB,13.0,24.1,2013
derrick_coleman,RB,13.0,20.5,2013
fred_davis,TE,13.0,20.0,2013
james_develin,RB,13.0,17.2,2013
chase_ford,TE,13.0,24.3,2013
vonta_leach,RB,13.0,24.0,2013
jeff_maehl,WR,13.0,16.7,2013
seyi_ajirotutu,WR,12.0,15.4,2013
josh_boyce,WR,12.0,21.1,2013
rhett_ellison,TE,12.0,17.1,2013
blaine_gabbert,QB,12.0,12.4,2013
