name,pos,pts_espn,pts_yahoo,pts_fox,pts_nfl,pts_cbs
peyton_manning,QB,368.0,370.9,372.8,349.98,444.0
aaron_rodgers,QB,347.0,325.61,367.3,340.08,406.0
drew_brees,QB,329.0,345.01,394.0,340.22,409.0
robert_griffin_iii,QB,285.0,295.27,358.3,295.84,334.0
matthew_stafford,QB,284.0,309.72,346.6,299.58,383.0
andrew_luck,QB,282.0,302.67,354.9,317.0,341.0
nick_foles,QB,277.0,307.69,338.9,304.98,350.0
cam_newton,QB,275.0,287.04,345.5,309.44,321.0
russell_wilson,QB,269.0,270.36,317.0,290.58,316.0
colin_kaepernick,QB,266.0,279.82,320.0,299.22,373.0
tony_romo,QB,264.0,295.36,334.6,287.68,340.0
matt_ryan,QB,261.0,304.71,357.0,287.48,350.0
philip_rivers,QB,261.0,272.7,338.4,272.02,317.0
tom_brady,QB,261.0,301.62,323.0,292.68,354.0
adrian_peterson,RB,250.0,229.49,243.6,252.0,217.0
jay_cutler,QB,245.0,275.35,331.6,275.54,328.0
jamaal_charles,RB,244.0,243.16,242.7,243.8,258.0
lesean_mccoy,RB,242.0,233.04,288.7,251.6,244.0
andy_dalton,QB,237.0,261.58,316.8,268.2,298.0
calvin_johnson,WR,236.0,205.51,203.2,238.7,224.0
ben_roethlisberger,QB,235.0,249.64,339.6,267.96,327.0
matt_forte,RB,235.0,225.77,276.0,238.7,237.0
marshawn_lynch,RB,229.0,206.87,188.8,233.6,184.0
eli_manning,QB,222.0,236.04,320.1,233.86,270.0
carson_palmer,QB,221.0,236.69,301.5,261.3,307.0
ryan_tannehill,QB,220.0,267.76,311.8,265.82,286.0
demaryius_thomas,WR,216.0,196.75,170.3,218.3,211.0
eddie_lacy,RB,214.0,219.14,252.0,234.6,208.0
alex_smith,QB,212.0,279.68,300.9,271.74,275.0
joe_flacco,QB,212.0,238.37,292.5,238.3,274.0
josh_mccown,QB,210.0,236.14,334.1,178.34,267.0
dez_bryant,WR,200.0,202.65,185.4,215.1,190.0
doug_martin,RB,200.0,189.48,223.6,215.9,181.0
aj_green,WR,199.0,181.93,163.8,216.3,186.0
brandon_marshall,WR,195.0,191.58,169.1,203.0,186.0
leveon_bell,RB,192.0,187.04,217.3,201.6,193.0
julio_jones,WR,191.0,192.03,170.4,202.6,193.0
demarco_murray,RB,190.0,211.41,222.4,212.9,197.0
jimmy_graham,TE,189.0,184.08,152.9,192.5,194.0
alshon_jeffery,WR,188.0,175.56,140.7,187.6,171.0
jordy_nelson,WR,188.0,167.05,188.5,190.0,181.0
antonio_brown,WR,187.0,172.58,170.1,189.9,171.0
arian_foster,RB,183.0,193.14,211.1,210.6,198.0
randall_cobb,WR,183.0,161.79,143.9,181.0,166.0
alfred_morris,RB,182.0,174.99,237.0,192.3,185.0
zac_stacy,RB,182.0,174.67,180.9,188.2,180.0
ej_manuel,QB,180.0,239.36,296.2,240.12,224.0
montee_ball,RB,179.0,196.15,218.4,218.1,198.0
andre_johnson,WR,178.0,145.67,171.5,182.2,156.0
giovani_bernard,RB,177.0,176.87,208.9,213.1,196.0
reggie_bush,RB,175.0,147.14,193.5,187.2,155.0
geno_smith,QB,174.0,231.95,255.1,186.88,128.0
vincent_jackson,WR,172.0,160.57,179.9,183.4,158.0
ben_tate,RB,169.0,156.34,162.3,166.9,137.0
frank_gore,RB,169.0,162.53,152.7,178.5,144.0
johnny_manziel,QB,169.0,172.28,0.0,150.28,256.0
andre_ellington,RB,165.0,186.94,194.3,191.6,168.0
cj_spiller,RB,165.0,156.09,179.7,180.0,156.0
julius_thomas,TE,164.0,130.13,110.8,148.8,152.0
ryan_mathews,RB,163.0,159.73,201.6,183.1,163.0
jake_locker,QB,162.0,262.31,294.2,261.14,236.0
ray_rice,RB,161.0,146.03,165.2,161.5,147.0
joique_bell,RB,160.0,142.4,181.7,172.8,146.0
chris_johnson,RB,157.0,148.03,192.0,169.4,138.0
ryan_fitzpatrick,QB,157.0,138.3,296.0,154.32,162.0
stevan_ridley,RB,156.0,133.89,161.3,130.4,144.0
rashad_jennings,RB,155.0,166.9,168.5,184.5,137.0
larry_fitzgerald,WR,154.0,154.34,166.2,175.8,161.0
keenan_allen,WR,150.0,152.07,145.6,180.6,147.0
toby_gerhart,RB,150.0,169.96,169.6,180.5,160.0
derek_carr,QB,149.0,213.64,,117.54,54.0
steven_jackson,RB,149.0,148.78,155.7,148.5,131.0
trent_richardson,RB,148.0,146.16,120.6,159.2,138.0
desean_jackson,WR,147.0,143.67,127.3,170.3,131.0
pierre_garcon,WR,147.0,148.43,127.9,172.8,155.0
shane_vereen,RB,145.0,148.57,152.7,172.1,148.0
victor_cruz,WR,144.0,150.19,170.8,181.1,141.0
shaun_hill,QB,142.0,227.87,259.7,147.26,26.0
torrey_smith,WR,142.0,137.9,121.8,150.2,132.0
michael_crabtree,WR,141.0,127.96,120.6,174.0,160.0
rob_gronkowski,TE,140.0,164.84,97.7,149.4,151.0
roddy_white,WR,140.0,147.04,176.9,177.1,139.0
ty_hilton,WR,140.0,141.02,136.5,149.5,118.0
emmanuel_sanders,WR,139.0,145.74,104.1,151.9,135.0
golden_tate,WR,139.0,123.02,113.3,139.1,135.0
reggie_wayne,WR,138.0,115.88,139.2,143.2,109.0
cordarrelle_patterson,WR,137.0,146.7,125.3,181.1,146.0
julian_edelman,WR,136.0,141.25,122.6,144.8,134.0
michael_floyd,WR,135.0,142.48,136.8,161.9,145.0
matt_cassel,QB,131.0,139.46,275.7,147.92,38.0
mike_wallace,WR,131.0,150.29,149.9,153.4,127.0
vernon_davis,TE,131.0,103.03,80.6,133.9,138.0
jordan_cameron,TE,129.0,125.74,122.3,130.0,111.0
knowshon_moreno,RB,129.0,140.15,176.7,124.2,122.0
dennis_pitta,TE,128.0,101.69,93.5,129.2,113.0
eric_decker,WR,128.0,134.66,141.6,147.7,119.0
jeremy_maclin,WR,127.0,122.87,115.2,140.2,126.0
kendall_wright,WR,127.0,143.0,139.5,154.8,125.0
percy_harvin,WR,127.0,141.36,169.8,172.2,128.0
terrance_williams,WR,127.0,131.02,110.5,139.7,117.0
bishop_sankey,RB,125.0,117.83,122.5,168.1,168.0
marques_colston,WR,124.0,139.12,174.2,145.0,124.0
danny_woodhead,RB,123.0,120.65,95.0,137.0,99.0
jason_witten,TE,123.0,118.96,124.0,137.8,118.0
chad_henne,QB,122.0,170.08,297.6,143.58,91.0
deangelo_williams,RB,122.0,94.9,152.6,139.1,112.0
