,name,pos,pts_ppr_cbs,pts_cbs,pts_nfl,pts_fox,pts_2018
0,aaron_rodgers,QB,347.0,361.0,328.33,283.2,313.3
1,deshaun_watson,QB,341.0,357.0,334.74,,274.6
2,tom_brady,QB,339.0,349.0,312.2,218.3,313.9
3,russell_wilson,QB,318.0,336.0,303.58,325.2,289.3
4,andrew_luck,QB,315.0,331.0,300.65,274.6,284.4
5,drew_brees,QB,310.0,327.0,297.08,295.2,269.4
6,cam_newton,QB,309.0,324.0,279.36,304.4,299.2
7,ben_roethlisberger,QB,307.0,322.0,293.32,255.6,274.4
8,alex_smith,QB,305.0,316.0,280.74,262.6,285.9
9,carson_wentz,QB,304.0,314.0,242.89,216.9,278.7
10,kirk_cousins,QB,298.0,311.0,261.29,256.0,271.5
11,jimmy_garoppolo,QB,298.0,309.0,286.42,41.7,261.5
12,patrick_mahomes,QB,288.0,301.0,233.02,,273.0
13,jared_goff,QB,285.0,298.0,268.87,94.3,255.9
14,matthew_stafford,QB,284.0,297.0,269.94,264.4,273.7
15,dak_prescott,QB,281.0,295.0,236.49,254.1,250.2
16,matt_ryan,QB,278.0,292.0,266.83,275.7,270.4
17,philip_rivers,QB,276.0,291.0,280.71,279.8,271.4
18,eli_manning,QB,272.0,288.0,209.34,268.2,237.7
19,blake_bortles,QB,270.0,284.0,245.56,271.4,248.7
20,marcus_mariota,QB,265.0,283.0,252.31,249.9,266.8
21,case_keenum,QB,257.0,271.0,240.15,124.6,246.6
22,derek_carr,QB,249.0,263.0,227.63,260.5,245.8
23,ryan_tannehill,QB,243.0,263.0,247.03,223.3,248.8
24,mitchell_trubisky,QB,241.0,255.0,191.82,,260.6
25,andy_dalton,QB,226.0,241.0,230.22,243.1,252.6
26,jameis_winston,QB,215.0,230.0,,253.7,227.4
27,joe_flacco,QB,214.0,229.0,206.68,251.4,199.1
28,tyrod_taylor,QB,198.0,215.0,168.31,252.0,240.5
29,sam_darnold,QB,198.0,208.0,214.9,,207.8
30,josh_rosen,QB,126.0,135.0,75.13,,
31,sam_bradford,QB,113.0,122.0,164.08,215.1,
32,josh_allen,QB,108.0,117.0,201.48,,
33,baker_mayfield,QB,80.0,86.0,72.71,,
34,nathan_peterman,QB,49.0,55.0,17.39,,
35,ryan_fitzpatrick,QB,28.0,32.0,242.28,218.1,
36,nick_foles,QB,15.0,15.0,22.48,19.2,
37,lamar_jackson,QB,10.0,10.0,0.0,,
38,cj_beathard,QB,1.0,1.0,5.79,,
39,deshone_kizer,QB,1.0,1.0,7.04,,
40,jacoby_brissett,QB,1.0,1.0,9.95,12.5,
41,trevor_siemian,QB,1.0,1.0,8.19,221.8,
42,brock_osweiler,QB,1.0,1.0,,213.0,
43,ryan_griffin,QB,1.0,1.0,0.0,,
44,josh_mccown,QB,0.0,0.0,7.35,78.5,
45,matt_schaub,QB,0.0,0.0,3.04,,
46,chase_daniel,QB,0.0,0.0,4.36,,
47,chad_henne,QB,0.0,0.0,3.45,,
48,geno_smith,QB,0.0,0.0,4.51,,
49,cooper_rush,QB,0.0,0.0,5.6,,
50,cody_kessler,QB,0.0,0.0,5.55,100.5,
51,cody_kessler,QB,0.0,0.0,5.55,100.5,
52,austin_davis,QB,0.0,0.0,0.0,,
53,austin_davis,QB,0.0,0.0,0.0,,
54,brian_hoyer,QB,0.0,0.0,8.18,82.5,
55,brian_hoyer,QB,0.0,0.0,8.18,82.5,
56,robert_griffin_iii,QB,0.0,0.0,,68.1,
57,robert_griffin_iii,QB,0.0,0.0,,68.1,
58,mason_rudolph,QB,0.0,0.0,,,
59,mason_rudolph,QB,0.0,0.0,,,
60,tanner_lee,QB,0.0,0.0,0.0,,
61,tanner_lee,QB,0.0,0.0,0.0,,
62,taylor_heinicke,QB,0.0,0.0,6.67,,
63,taylor_heinicke,QB,0.0,0.0,6.67,,
64,teddy_bridgewater,QB,0.0,0.0,9.53,,
65,teddy_bridgewater,QB,0.0,0.0,9.53,,
66,jameill_showers,QB,0.0,0.0,,,
67,jameill_showers,QB,0.0,0.0,,,
68,colt_mccoy,QB,0.0,0.0,3.95,,
69,colt_mccoy,QB,0.0,0.0,3.95,,
70,aj_mccarron,QB,0.0,0.0,4.73,,
71,aj_mccarron,QB,0.0,0.0,4.73,,
72,kyle_lauletta,QB,0.0,0.0,7.15,,
73,kyle_lauletta,QB,0.0,0.0,7.15,,
74,matt_cassel,QB,0.0,0.0,3.27,12.1,
75,todd_gurley,RB,351.0,289.0,287.69,213.7,325.4
76,david_johnson,RB,296.0,227.0,255.66,279.3,323.5
77,le'veon_bell,RB,296.0,218.0,258.57,227.8,347.7
