key,name,pos,team,bye,std,half_ppr,ppr,pass_tds,df_points_allowed_per_game,df_ints,kick_0_19,pass_ints,receptions,df_fumbles,kick_50,reception_yds,two_pts,kick_40_49,df_tds,df_safeties,rush_tds,kick_extra_points,kick_30_39,pass_yds,reception_tds,kick_20_29,rush_yds,df_sacks,fumbles
barkley_RB_NYG,Saquon Barkley,RB,NYG,11.0,1.0,1.0,1.0,,,,,0.0,83.8,,,684.0,0.6,,,,8.9,,,,3.3,,1240.5,,4.0
kamara_RB_NO,Alvin Kamara,RB,NO,9.0,2.3,2.3,2.8,,,,,0.0,86.6,,,733.8,1.6,,,,8.9,,,,4.0,,932.4,,1.8
mccaffrey_RB_CAR,Christian McCaffrey,RB,CAR,7.0,2.8,2.7,2.2,,,,,0.0,95.0,,,815.0,0.0,,,,6.6,,,,4.7,,1039.9,,1.8
elliott_RB_DAL,Ezekiel Elliott,RB,DAL,8.0,4.0,4.3,4.0,,,,,0.0,65.2,,,509.7,,,,,7.8,,,,2.5,,1208.0,,1.9
hopkins_WR_HOU,DeAndre Hopkins,WR,HOU,10.0,5.5,5.3,5.0,,,,,0.0,104.4,,,1450.2,,,,,0.0,,,,9.3,,-1.3,,2.0
johnson_RB_ARI,David Johnson,RB,ARI,12.0,6.5,5.3,7.0,,,,,0.0,55.9,,,549.5,0.5,,,,7.0,,,,3.2,,952.5,,2.9
conner_RB_PIT,James Conner,RB,PIT,7.0,7.5,9.3,10.4,,,,,0.0,52.2,,,445.8,0.1,,,,10.0,,,,1.6,,1022.0,,2.0
bell_RB_NYJ,Le'Veon Bell,RB,NYJ,4.0,8.0,7.3,7.6,,,,,0.0,62.2,,,510.6,,,,,7.5,,,,2.8,,1031.9,,2.0
adams_WR_GB,Davante Adams,WR,GB,11.0,9.3,7.7,7.0,,,,,0.0,103.5,,,1290.6,,,,,0.0,,,,10.7,,0.3,,1.0
gurley_RB_LAR,Todd Gurley,RB,LAR,9.0,11.5,15.0,14.0,,,,,0.0,42.9,,,403.6,1.0,,,,10.1,,,,2.7,,980.6,,1.4
chubb_RB_CLE,Nick Chubb,RB,CLE,7.0,11.5,12.0,18.0,,,,,0.0,27.6,,,217.4,0.1,,,,9.3,,,,1.4,,1220.9,,3.0
jones_WR_ATL,Julio Jones,WR,ATL,9.0,12.8,11.0,10.6,,,,,0.0,106.2,,,1558.0,,,,,0.0,,,,8.1,,10.8,,0.5
mahomes_QB_KC,Patrick Mahomes,QB,KC,12.0,12.8,20.0,20.8,35.6,,,,12.9,,,,,1.1,,,,2.4,,,4886.8,,,221.5,,0.8
thomas_WR_NO,Michael Thomas,WR,NO,9.0,12.8,11.3,10.8,,,,,0.0,112.7,,,1311.2,,,,,0.0,,,,7.8,,0.4,,1.0
hill_WR_KC,Tyreek Hill,WR,KC,12.0,16.0,17.0,17.0,,,,,0.0,81.2,,,1304.5,,,1.1,,0.7,,,,8.5,,103.3,,0.5
mixon_RB_CIN,Joe Mixon,RB,CIN,9.0,16.5,16.7,17.2,,,,,0.0,45.7,,,340.9,0.1,,,,8.9,,,,1.4,,1149.5,,1.8
