key,name,pos,team,bye,std,half_ppr,ppr,fumbles,df_points_allowed_per_game,kick_30_39,pass_tds,reception_tds,kick_extra_points,df_fumbles,kick_50,df_tds,df_ints,two_pts,df_sacks,kick_40_49,rush_tds,pass_yds,kick_0_19,receptions,reception_yds,pass_ints,df_safeties,rush_yds,kick_20_29
mccaffrey_RB_CAR,Christian McCaffrey,RB,CAR,13.0,1.0,1.0,1.0,4.0,,,,4.5,,,,,,0.5,,,11.0,,,91.4,774.9,0.0,,1200.1,
cook_RB_MIN,Dalvin Cook,RB,MIN,7.0,2.0,2.0,2.0,3.0,,,,1.6,,,,,,1.6,,,12.7,,,53.8,473.4,0.0,,1452.1,
henry_RB_TEN,Derrick Henry,RB,TEN,13.0,3.0,3.0,4.0,3.4,,,,0.9,,,,,,0.5,,,13.4,,,25.0,179.0,0.0,,1758.7,
kamara_RB_NO,Alvin Kamara,RB,NO,6.0,4.0,4.0,3.0,1.8,,,,3.4,,,,,,0.5,,,9.4,,,79.9,652.5,0.0,,993.5,
chubb_RB_CLE,Nick Chubb,RB,CLE,13.0,5.5,6.8,9.8,2.3,,,,0.9,,,,,,,,,10.3,,,31.0,265.8,0.0,,1355.3,
elliott_RB_DAL,Ezekiel Elliott,RB,DAL,7.0,5.5,5.0,5.6,3.3,,,,1.9,,,,,,,,,9.1,,,48.6,370.9,0.0,,1137.2,
adams_WR_GB,Davante Adams,WR,GB,13.0,8.0,9.3,7.0,1.0,,,,13.1,,,,,,,,,0.0,,,125.8,1470.1,0.0,,0.3,
jones_RB_GB,Aaron Jones,RB,GB,13.0,8.5,7.8,9.4,1.8,,,,2.6,,,,,,,,,9.6,,,54.4,415.5,0.0,,1147.5,
taylor_RB_IND,Jonathan Taylor,RB,IND,14.0,9.0,9.5,10.6,1.9,,,,1.3,,,,,,0.1,,,9.5,,,41.6,323.5,0.0,,1155.3,
barkley_RB_NYG,Saquon Barkley,RB,NYG,10.0,9.3,9.5,9.2,3.0,,,,1.8,,,,,,0.5,,,8.0,,,53.3,433.3,0.0,,1177.5,
hill_WR_KC,Tyreek Hill,WR,KC,12.0,10.8,10.3,10.4,0.5,,,,11.1,,,,,,,,,0.7,,,103.9,1480.5,0.0,,93.1,
kelce_TE_KC,Travis Kelce,TE,KC,12.0,11.8,10.8,8.4,1.0,,,,10.7,,,,,,,,,0.0,,,114.0,1433.2,0.0,,1.3,
ekeler_RB_LAC,Austin Ekeler,RB,LAC,7.0,14.3,12.5,10.6,1.4,,,,5.2,,,,,,0.1,,,4.7,,,85.4,729.7,0.0,,842.6,
mahomes_QB_KC,Patrick Mahomes II,QB,KC,12.0,14.5,18.3,18.8,0.7,,,36.4,,,,,,,2.1,,,3.0,5088.7,,,,11.2,,294.3,
harris_RB_PIT,Najee Harris,RB,PIT,7.0,14.5,15.0,15.6,3.3,,,,2.1,,,,,,0.2,,,8.6,,,51.4,386.2,0.0,,1085.1,
diggs_WR_BUF,Stefon Diggs,WR,BUF,7.0,16.0,14.5,14.0,2.0,,,,9.7,,,,,,,,,0.0,,,116.8,1571.8,0.0,,14.1,
gibson_RB_WSH,Antonio Gibson,RB,WSH,9.0,16.8,17.0,18.2,3.0,,,,1.3,,,,,,0.1,,,8.5,,,48.6,336.9,0.0,,1015.8,
metcalf_WR_SEA,D.K. Metcalf,WR,SEA,9.0,18.3,19.5,19.0,2.0,,,,9.4,,,,,,,,,0.0,,,86.2,1280.7,0.0,,1.8,
mixon_RB_CIN,Joe Mixon,RB,CIN,10.0,19.3,19.0,20.2,1.8,,,,3.0,,,,,,,,,7.6,,,46.8,358.8,0.0,,1096.9,
hopkins_WR_ARI,DeAndre Hopkins,WR,ARI,12.0,19.5,17.8,16.8,1.0,,,,7.7,,,,,,,,,0.0,,,115.9,1429.4,0.0,,6.0,
ridley_WR_ATL,Calvin Ridley,WR,ATL,6.0,20.3,19.8,19.0,0.5,,,,9.5,,,,,,,,,0.0,,,100.2,1456.9,0.0,,26.0,
edwardshelaire_RB_KC,Clyde Edwards-Helaire,RB,KC,12.0,22.0,21.8,23.6,3.0,,,,1.5,,,,,,0.1,,,6.7,,,45.6,362.4,0.0,,972.0,
brown_WR_TEN,A.J. Brown,WR,TEN,13.0,25.3,24.5,24.0,1.0,,,,9.8,,,,,,,,,0.0,,,84.0,1295.1,0.0,,14.0,
jefferson_WR_MIN,Justin Jefferson,WR,MIN,7.0,25.8,23.8,23.2,1.0,,,,7.6,,,,,,,,,0.0,,,92.8,1428.0,0.0,,1.4,
waller_TE_LV,Darren Waller,TE,LV,8.0,26.0,24.0,22.4,2.0,,,,8.2,,,,,,,,,0.0,,,104.6,1275.2,0.0,,0.6,
jacobs_RB_LV,Josh Jacobs,RB,LV,8.0,26.8,32.8,37.0,2.1,,,,0.7,,,,,,0.0,,,8.8,,,30.9,253.8,0.0,,1009.8,
allen_QB_BUF,Josh Allen,QB,BUF,7.0,28.0,32.0,30.4,3.9,,,33.3,,,,,,,1.1,,,7.1,4739.8,,,,13.1,,537.8,
kittle_TE_SF,George Kittle,TE,SF,6.0,28.0,27.3,26.6,0.5,,,,5.9,,,,,,,,,0.0,,,91.9,1142.5,0.0,,15.9,
montgomery_RB_CHI,David Montgomery,RB,CHI,10.0,28.8,28.8,30.6,2.0,,,,1.2,,,,,,0.6,,,7.1,,,41.0,341.8,0.0,,999.0,
allen_WR_LAC,Keenan Allen,WR,LAC,7.0,28.8,28.8,27.2,0.5,,,,7.6,,,,,,,,,0.0,,,102.1,1110.6,0.0,,12.0,
carson_RB_SEA,Chris Carson,RB,SEA,9.0,29.5,29.5,33.2,2.0,,,,2.5,,,,,,0.5,,,7.3,,,45.2,331.3,0.0,,1040.2,
mclaurin_WR_WSH,Terry McLaurin,WR,WSH,9.0,33.3,30.8,30.2,0.5,,,,6.4,,,,,,,,,0.0,,,87.7,1190.4,0.0,,11.1,
sanders_RB_PHI,Miles Sanders,RB,PHI,14.0,34.5,38.3,38.0,1.9,,,,1.2,,,,,,1.1,,,6.6,,,39.3,329.3,0.0,,1068.8,
evans_WR_TB,Mike Evans,WR,TB,9.0,34.8,37.0,35.2,1.0,,,,8.6,,,,,,,,,0.0,,,70.5,1078.7,0.0,,0.4,
robinson_RB_JAX,James Robinson,RB,JAX,7.0,35.0,39.3,35.4,3.0,,,,2.4,,,,,,0.6,,,7.2,,,51.0,387.5,0.0,,1013.6,
murray_QB_ARI,Kyler Murray,QB,ARI,12.0,36.3,40.8,39.2,2.1,,,27.3,,,,,,,1.6,,,7.0,4197.9,,,,13.8,,730.1,
swift_RB_DET,D'Andre Swift,RB,DET,9.0,36.8,36.3,35.2,3.0,,,,2.2,,,,,,0.2,,,7.4,,,64.5,525.3,0.0,,805.1,
lamb_WR_DAL,CeeDee Lamb,WR,DAL,7.0,36.8,34.8,32.8,0.5,,,,6.9,,,,0.0,,1.1,,,0.8,,,84.6,1099.0,0.0,,76.4,
robinson_WR_CHI,Allen Robinson II,WR,CHI,10.0,38.0,32.8,31.6,1.0,,,,6.6,,,,,,,,,0.0,,,98.1,1204.2,0.0,,1.0,
jackson_QB_BAL,Lamar Jackson,QB,BAL,8.0,41.3,45.8,44.4,3.0,,,25.8,,,,,,,0.5,,,6.9,3291.4,,,,12.7,,1086.1,
godwin_WR_TB,Chris Godwin,WR,TB,9.0,42.3,41.0,41.6,0.5,,,,7.2,,,,,,,,,0.0,,,80.5,1084.3,0.0,,5.0,
woods_WR_LAR,Robert Woods,WR,LAR,11.0,43.0,42.0,37.8,0.6,,,,5.8,,,,,,,,,0.7,,,95.6,1054.3,0.0,,102.4,
jones_WR_TEN,Julio Jones,WR,TEN,13.0,43.3,45.0,45.4,1.0,,,,7.4,,,,,,,,,0.0,,,79.1,1186.2,0.0,,0.1,
cooper_WR_DAL,Amari Cooper,WR,DAL,7.0,45.3,42.8,41.2,0.5,,,,7.1,,,,,,2.8,,,0.0,,,88.5,1124.1,0.0,,18.3,
gaskin_RB_MIA,Myles Gaskin,RB,MIA,14.0,46.5,50.8,50.8,2.8,,,,2.3,,,,,,0.1,,,5.8,,,49.8,407.1,0.0,,870.1,
thielen_WR_MIN,Adam Thielen,WR,MIN,7.0,46.5,51.5,51.0,0.5,,,,9.3,,,,,,,,,0.3,,,77.8,1010.5,0.0,,17.8,
rodgers_QB_GB,Aaron Rodgers,QB,GB,13.0,48.0,61.3,56.4,2.2,,,36.2,,,,,,,1.6,,,2.1,4647.3,,,,9.1,,191.7,
hunt_RB_CLE,Kareem Hunt,RB,CLE,13.0,48.5,52.0,56.2,2.0,,,,2.4,,,,,,0.0,,,5.9,,,35.4,296.8,,,633.3,
pitts_TE_ATL,Kyle Pitts,TE,ATL,6.0,50.3,47.8,46.8,2.0,,,,4.9,,,,,,,,,0.0,,,54.1,619.0,,,1.2,
wilson_QB_SEA,Russell Wilson,QB,SEA,9.0,53.0,59.8,56.2,2.4,,,32.7,,,,,,,1.1,,,2.3,4292.8,,,,12.0,,443.9,
kupp_WR_LAR,Cooper Kupp,WR,LAR,11.0,53.0,45.0,46.6,0.5,,,,6.7,,,,0.1,,,,,0.0,,,99.1,1123.0,0.0,,17.2,
prescott_QB_DAL,Dak Prescott,QB,DAL,7.0,53.5,57.3,57.2,2.4,,,31.2,,,,,,,3.2,,,4.3,4857.2,,,,13.7,,273.2,
andrews_TE_BAL,Mark Andrews,TE,BAL,8.0,54.3,52.0,51.2,1.0,,,,7.7,,,,,,,,,0.0,,,70.3,832.6,0.0,,0.6,
lockett_WR_SEA,Tyler Lockett,WR,SEA,9.0,54.5,50.5,50.4,1.0,,,,8.2,,,,0.5,,,,,0.0,,,91.3,1095.7,0.0,,4.4,
moore_WR_CAR,D.J. Moore,WR,CAR,13.0,55.3,52.8,52.6,0.5,,,,5.9,,,,,,,,,0.0,,,79.0,1198.0,0.0,,25.8,
davis_RB_ATL,Mike Davis,RB,ATL,6.0,55.5,53.0,53.6,1.9,,,,1.8,,,,,,0.0,,,6.9,,,54.4,355.6,0.0,,874.3,
henderson_RB_LAR,Darrell Henderson,RB,LAR,11.0,57.0,48.3,61.4,2.0,,,,1.0,,,,,,0.1,,,7.0,,,26.8,230.4,0.0,,850.0,
herbert_QB_LAC,Justin Herbert,QB,LAC,7.0,57.5,61.5,63.2,0.8,,,30.7,,,,,,,1.8,,,5.0,4694.8,,,,14.0,,262.1,
