key,name,pos,team,bye,std,half_ppr,ppr,df_ints,rush_tds,two_pts,fumbles,kick_20_29,pass_yds,kick_extra_points,df_points_allowed_per_game,kick_50,df_safeties,pass_tds,reception_tds,rush_yds,receptions,df_fumbles,kick_40_49,pass_ints,reception_yds,df_tds,kick_30_39,df_sacks,kick_0_19
taylor_RB_IND,Jonathan Taylor,RB,IND,14.0,1.0,1.0,1.0,,13.7,0.0,2.8,,,,,,,,1.4,1536.6,40.7,,,0.0,339.4,,,,
mccaffrey_RB_CAR,Christian McCaffrey,RB,CAR,13.0,3.0,3.5,2.6,,6.4,0.5,3.0,,,,,,,,3.6,976.7,86.5,,,0.0,743.9,,,,
ekeler_RB_LAC,Austin Ekeler,RB,LAC,8.0,3.0,3.0,3.6,,9.2,0.5,3.0,,,,,,,,5.2,978.7,72.8,,,0.0,685.6,,,,
kupp_WR_LAR,Cooper Kupp,WR,LAR,7.0,4.3,4.3,4.0,,0.2,,0.5,,,,,,,,12.9,31.3,125.8,,,0.0,1660.3,0.1,,,
henry_RB_TEN,Derrick Henry,RB,TEN,6.0,4.7,3.8,4.8,,11.8,1.1,2.9,,,,,,,,0.7,1599.6,28.1,,,0.0,216.2,,,,
jefferson_WR_MIN,Justin Jefferson,WR,MIN,7.0,5.7,6.8,5.8,,0.1,,0.5,,,,,,,,9.2,26.3,102.4,,,0.0,1484.8,,,,
harris_RB_PIT,Najee Harris,RB,PIT,9.0,7.0,7.0,6.8,,7.7,0.1,4.0,,,,,,,,2.1,1135.3,58.7,,,0.0,380.8,,,,
cook_RB_MIN,Dalvin Cook,RB,MIN,7.0,7.3,6.8,8.0,,10.0,2.1,3.1,,,,,,,,0.9,1272.9,44.6,,,0.0,340.0,,,,
chase_WR_CIN,Ja'Marr Chase,WR,CIN,10.0,9.3,9.0,8.6,,0.4,,0.5,,,,,,,,9.6,64.5,88.5,,,0.0,1368.0,,,,
mixon_RB_CIN,Joe Mixon,RB,CIN,10.0,11.0,10.3,11.4,,10.0,,2.0,,,,,,,,2.6,1185.5,50.4,,,0.0,377.5,,,,
adams_WR_LV,Davante Adams,WR,LV,6.0,11.0,11.3,10.6,,0.0,,1.0,,,,,,,,8.7,0.3,113.1,,,0.0,1402.5,,,,
diggs_WR_BUF,Stefon Diggs,WR,BUF,7.0,13.0,13.5,12.4,,0.0,,1.0,,,,,,,,8.0,3.8,96.1,,,0.0,1229.4,,,,
kelce_TE_KC,Travis Kelce,TE,KC,8.0,13.7,14.0,14.8,,0.0,,1.0,,,,,,,,9.3,6.8,106.2,,,0.0,1251.9,,,,
swift_RB_DET,D'Andre Swift,RB,DET,6.0,13.7,15.0,12.8,,6.4,0.1,2.2,,,,,,,,2.5,855.9,62.6,,,0.0,458.1,,,,
williams_RB_DEN,Javonte Williams,RB,DEN,9.0,16.7,17.3,19.4,,6.4,0.2,2.1,,,,,,,,2.8,964.6,45.6,,,0.0,356.9,,,,
chubb_RB_CLE,Nick Chubb,RB,CLE,9.0,17.0,14.3,18.4,,7.0,,2.0,,,,,,,,1.0,1186.2,24.2,,,0.0,213.1,,,,
samuel_WR_SF,Deebo Samuel,WR,SF,9.0,17.7,19.5,17.8,,3.7,,1.0,,,,,,,,5.9,349.3,72.8,,,0.0,1113.7,,,,
hill_WR_MIA,Tyreek Hill,WR,MIA,11.0,18.7,21.0,19.4,,0.0,,0.5,,,,,,,,7.2,57.9,92.8,,,0.0,1108.5,,,,
lamb_WR_DAL,CeeDee Lamb,WR,DAL,9.0,19.0,17.5,17.4,,0.1,1.1,0.5,,,,,,,,6.2,59.0,83.7,,,0.0,1145.9,0.0,,,
kamara_RB_NO,Alvin Kamara,RB,NO,14.0,20.3,18.8,19.0,,5.7,,3.0,,,,,,,,3.7,840.7,51.8,,,0.0,470.3,,,,
andrews_TE_BAL,Mark Andrews,TE,BAL,10.0,21.3,22.5,22.2,,0.0,,0.5,,,,,,,,9.2,5.9,98.0,,,0.0,1229.3,,,,
