key,name,pos,team,bye,adp,pass_tds,kick_0_19,rush_tds,kick_50,reception_tds,fumbles,pass_ints,df_points_allowed_per_game,rush_yds,receptions,kick_30_39,df_sacks,df_fumbles,pass_yds,df_safeties,kick_extra_points,df_ints,two_pts,df_tds,kick_20_29,reception_yds,kick_40_49
barkley_RB_NYG,Saquon Barkley,RB,NYG,11.0,1.3,,,9.6,,3.2,4.0,0.0,,1267.0,82.5,,,,,,,,0.6,,,666.8,
elliott_RB_DAL,Ezekiel Elliott,RB,DAL,8.0,2.5,,,8.6,,2.8,2.4,0.0,,1364.0,70.6,,,,,,,,,,,552.4,
mccaffrey_RB_CAR,Christian McCaffrey,RB,CAR,7.0,2.8,,,6.6,,4.7,1.8,0.0,,1055.6,93.4,,,,,,,,0.0,,,799.9,
kamara_RB_NO,Alvin Kamara,RB,NO,9.0,3.5,,,9.0,,4.1,1.8,0.0,,943.0,88.4,,,,,,,,1.6,0.1,,748.8,
gordon_RB_LAC,Melvin Gordon,RB,LAC,12.0,6.0,,,9.5,,3.0,3.0,0.0,,1005.9,53.1,,,,,,,,0.5,,,485.5,
johnson_RB_ARI,David Johnson,RB,ARI,12.0,6.5,,,7.0,,3.2,2.9,0.0,,941.6,53.7,,,,,,,,0.5,,,528.0,
hopkins_WR_HOU,DeAndre Hopkins,WR,HOU,10.0,7.0,,,0.0,,9.3,2.0,0.0,,-0.9,102.5,,,,,,,,,,,1444.0,
bell_RB_NYJ,Le'Veon Bell,RB,NYJ,4.0,7.3,,,7.2,,2.6,2.0,0.0,,1012.3,60.6,,,,,,,,,,,489.5,
adams_WR_GB,Davante Adams,WR,GB,11.0,9.8,,,0.0,,11.0,1.0,0.0,,0.3,105.0,,,,,,,,,,,1333.3,
conner_RB_PIT,James Conner,RB,PIT,7.0,11.3,,,9.5,,1.6,2.0,0.0,,1006.0,50.5,,,,,,,,0.1,,,425.8,
jones_WR_ATL,Julio Jones,WR,ATL,9.0,11.8,,,0.0,,8.1,1.0,0.0,,10.8,106.0,,,,,,,,,,,1554.4,
thomas_WR_NO,Michael Thomas,WR,NO,9.0,12.5,,,0.0,,7.8,1.0,0.0,,0.4,112.3,,,,,,,,,,,1309.1,
mixon_RB_CIN,Joe Mixon,RB,CIN,9.0,12.8,,,8.2,,1.1,1.8,0.0,,1159.2,44.0,,,,,,,,0.1,,,328.5,
gurley_RB_LAR,Todd Gurley,RB,LAR,9.0,13.5,,,9.8,,2.7,1.4,0.0,,950.0,42.5,,,,,,,,1.0,,,398.2,
beckham_WR_CLE,Odell Beckham Jr.,WR,CLE,7.0,15.5,,,0.0,,8.9,0.5,0.0,,25.0,90.8,,,,,,,,,,,1258.4,
kelce_TE_KC,Travis Kelce,TE,KC,12.0,15.5,,,0.0,,8.9,1.0,0.0,,0.9,97.3,,,,,,,,,,,1235.3,
evans_WR_TB,Mike Evans,WR,TB,7.0,17.3,,,0.0,,7.7,1.0,0.0,,0.4,87.8,,,,,,,,,,,1429.2,
smithschuster_WR_PIT,JuJu Smith-Schuster,WR,PIT,7.0,17.8,,,0.0,,8.0,1.0,0.0,,8.2,104.1,,,,,,,,,0.0,,1346.5,
cook_RB_MIN,Dalvin Cook,RB,MIN,12.0,18.0,,,6.1,,2.1,3.3,0.0,,1096.6,56.8,,,,,,,,0.1,,,441.7,
chubb_RB_CLE,Nick Chubb,RB,CLE,7.0,19.8,,,9.1,,1.0,2.0,0.0,,1125.2,24.1,,,,,,,,0.1,,,190.9,
brown_WR_OAK,Antonio Brown,WR,OAK,6.0,20.5,,,0.0,,9.6,1.0,0.0,,1.0,100.6,,,,,,,,,,,1303.9,
williams_RB_KC,Damien Williams,RB,KC,12.0,23.0,,,7.7,,3.9,1.6,0.0,,766.7,49.9,,,,,,,,0.1,,,402.5,
hilton_WR_IND,T.Y. Hilton,WR,IND,6.0,25.0,,,0.0,,6.7,1.0,0.0,,0.8,81.4,,,,,,,,,0.2,,1265.1,
fournette_RB_JAC,Leonard Fournette,RB,JAC,10.0,25.3,,,8.0,,2.0,3.0,,,855.0,44.0,,,,,,,,,,,377.0,
thielen_WR_MIN,Adam Thielen,WR,MIN,12.0,26.0,,,0.0,,6.6,0.5,0.0,,31.8,91.1,,,,,,,,,,,1163.2,
mahomes_QB_KC,Patrick Mahomes,QB,KC,12.0,26.5,34.6,,2.4,,,0.9,12.8,,222.1,,,,,4821.6,,,,1.1,,,,
ertz_TE_PHI,Zach Ertz,TE,PHI,10.0,28.0,,,0.0,,7.2,1.0,0.0,,0.6,95.7,,,,,,,,,,,995.6,
allen_WR_LAC,Keenan Allen,WR,LAC,12.0,28.8,,,0.0,,6.7,0.5,0.0,,31.4,97.7,,,,,,,,,,,1272.7,
freeman_RB_ATL,Devonta Freeman,RB,ATL,9.0,29.3,,,6.5,,1.9,1.4,0.0,,831.7,38.5,,,,,,,,,,,308.8,
mack_RB_IND,Marlon Mack,RB,IND,6.0,32.3,,,8.4,,0.9,1.4,0.0,,1046.5,25.9,,,,,,,,0.6,,,189.4,
jones_RB_GB,Aaron Jones,RB,GB,11.0,32.3,,,8.4,,1.5,1.5,0.0,,935.2,38.2,,,,,,,,0.1,,,294.2,
green_WR_CIN,A.J. Green,WR,CIN,9.0,32.3,,,0.0,,7.8,2.0,0.0,,0.8,77.6,,,,,,,,,,,1134.4,
henry_RB_TEN,Derrick Henry,RB,TEN,11.0,33.0,,,11.0,,0.5,3.0,0.0,,1249.0,16.4,,,,,,,,0.1,,,131.9,
cooper_WR_DAL,Amari Cooper,WR,DAL,8.0,33.3,,,0.0,,7.5,1.0,0.0,,15.8,79.7,,,,,,,,,,,1074.6,
