#,bye,graph,high,low,name,overall,pick,pos,ppr,std.dev,team,team_count,timesdrafted,adp,key
1,11,,1.01,1.06,Saquon Barkley,1.9,1.02,RB,True,1.0,NYG,8,144,1,saquon_barkley_RB
2,8,,1.01,1.08,Ezekiel Elliott,3.2,1.03,RB,True,1.3,DAL,8,149,2,ezekiel_elliott_RB
3,7,,1.01,1.07,Christian McCaffrey,3.5,1.04,RB,True,1.3,CAR,8,110,3,christian_mccaffrey_RB
4,9,,1.01,1.09,Alvin Kamara,4.1,1.04,RB,True,1.8,NO,8,132,4,alvin_kamara_RB
5,12,,1.02,1.12,David Johnson,6.2,1.06,RB,True,1.8,ARI,8,121,5,david_johnson_RB
6,12,,1.04,1.12,Melvin Gordon,6.6,1.07,RB,True,1.5,LAC,8,114,6,melvin_gordon_RB
7,10,,1.03,1.12,DeAndre Hopkins,7.1,1.07,WR,True,1.7,HOU,8,124,7,deandre_hopkins_WR
8,11,,1.04,2.01,Davante Adams,7.5,1.08,WR,True,1.3,GB,8,179,8,davante_adams_WR
9,4,,1.01,2.04,LeVeon Bell,9.1,2.01,RB,True,2.2,NYJ,8,120,9,leveon_bell_RB
10,9,,1.01,2.02,Michael Thomas,9.5,2.01,WR,True,1.7,NO,8,151,10,michael_thomas_WR
11,9,,1.01,2.04,Julio Jones,10.5,2.02,WR,True,2.1,ATL,8,228,11,julio_jones_WR
12,9,,1.08,2.04,Joe Mixon,11.2,2.03,RB,True,1.9,CIN,8,107,12,joe_mixon_RB
13,7,,1.09,2.08,Odell Beckham Jr,13.1,2.05,WR,True,2.0,CLE,8,119,13,odell_beckham_jr_WR
14,7,,1.08,2.08,James Conner,14.0,2.06,RB,True,2.5,PIT,8,91,14,james_conner_RB
15,7,,1.09,2.08,JuJu Smith-Schuster,14.4,2.06,WR,True,2.3,PIT,8,144,15,juju_smithschuster_WR
16,12,,1.01,2.09,Travis Kelce,14.6,2.07,TE,True,3.4,KC,8,128,16,travis_kelce_TE
17,9,,1.08,3.01,Todd Gurley,17.3,3.01,RB,True,3.9,LAR,8,168,17,todd_gurley_RB
18,12,,1.04,2.12,Dalvin Cook,17.7,3.02,RB,True,3.8,MIN,8,73,18,dalvin_cook_RB
19,6,,1.10,2.12,Antonio Brown,17.8,3.02,WR,True,2.5,OAK,8,147,19,antonio_brown_WR
20,7,,1.12,3.02,Mike Evans,19.6,3.04,WR,True,2.7,TB,8,138,20,mike_evans_WR
21,12,,1.12,3.03,Damien Williams,20.9,3.05,RB,True,2.7,KC,8,122,21,damien_williams_RB
22,7,,1.12,3.05,Nick Chubb,21.8,3.06,RB,True,3.0,CLE,8,112,22,nick_chubb_RB
23,12,,2.01,3.05,Adam Thielen,22.3,3.06,WR,True,3.3,MIN,8,124,23,adam_thielen_WR
24,6,,2.02,3.08,T.Y. Hilton,23.7,3.08,WR,True,3.0,IND,8,163,24,ty_hilton_WR
25,10,,1.12,3.07,Leonard Fournette,24.6,4.01,RB,True,3.0,JAX,8,114,25,leonard_fournette_RB
26,12,,2.04,3.06,Keenan Allen,24.7,4.01,WR,True,2.9,LAC,8,104,26,keenan_allen_WR
27,10,,1.10,3.12,Zach Ertz,26.1,4.02,TE,True,3.5,PHI,8,178,27,zach_ertz_TE
28,12,,1.01,4.03,Pat Mahomes,26.9,4.03,QB,True,7.5,KC,8,142,28,pat_mahomes_QB
29,8,,2.08,3.09,Amari Cooper,27.3,4.03,WR,True,2.7,DAL,8,124,29,amari_cooper_WR
30,9,,2.05,4.04,Devonta Freeman,28.7,4.05,RB,True,5.1,ATL,8,114,30,devonta_freeman_RB
31,11,,2.08,4.04,Aaron Jones,28.9,4.05,RB,True,4.7,GB,8,110,31,aaron_jones_RB
32,4,,2.07,4.03,George Kittle,29.5,4.06,TE,True,4.3,SF,8,169,32,george_kittle_TE
33,9,,2.08,4.02,A.J. Green,29.7,4.06,WR,True,3.0,CIN,8,90,33,aj_green_WR
34,6,,2.08,4.06,Marlon Mack,31.4,4.07,RB,True,4.6,IND,8,143,34,marlon_mack_RB
35,6,,2.12,4.09,Josh Jacobs,34.8,5.03,RB,True,4.2,OAK,8,64,35,josh_jacobs_RB
36,12,,2.06,4.10,Stefon Diggs,35.6,5.04,WR,True,3.9,MIN,8,176,36,stefon_diggs_WR
37,11,,1.10,5.12,Derrick Henry,36.7,5.05,RB,True,6.2,TEN,8,214,37,derrick_henry_RB
38,10,,3.04,4.12,Julian Edelman,37.3,5.05,WR,True,3.8,NE,8,164,38,julian_edelman_WR
39,5,,3.01,5.06,Kerryon Johnson,37.5,5.06,RB,True,4.2,DET,8,125,39,kerryon_johnson_RB
40,12,,2.09,5.04,Tyreek Hill,38.8,5.07,WR,True,4.4,KC,8,136,40,tyreek_hill_WR
41,9,,3.04,5.07,Brandin Cooks,39.6,5.08,WR,True,3.9,LAR,8,127,41,brandin_cooks_WR
42,6,,2.01,5.04,Andrew Luck,41.5,6.01,QB,True,6.8,IND,8,137,42,andrew_luck_QB
43,6,,3.04,5.08,David Montgomery,42.0,6.02,RB,True,5.2,CHI,8,78,43,david_montgomery_RB
44,5,,3.05,6.03,Kenny Golladay,43.6,6.04,WR,True,5.1,DET,8,128,44,kenny_golladay_WR
45,10,,2.08,5.12,Phillip Lindsay,44.2,6.04,RB,True,6.0,DEN,8,214,45,phillip_lindsay_RB
46,9,,3.08,5.11,Robert Woods,44.5,6.04,WR,True,4.7,LAR,8,84,46,robert_woods_WR
47,11,,2.05,6.02,Aaron Rodgers,45.2,6.05,QB,True,7.7,GB,8,106,47,aaron_rodgers_QB
48,7,,3.10,5.09,O.J. Howard,48.1,6.08,TE,True,4.7,TB,8,58,48,oj_howard_TE
49,8,,3.05,6.02,Mark Ingram,49.0,7.01,RB,True,6.2,BAL,8,161,49,mark_ingram_RB
50,9,,3.12,6.02,Cooper Kupp,49.3,7.01,WR,True,6.3,LAR,8,74,50,cooper_kupp_WR
51,10,,2.09,5.11,Deshaun Watson,49.8,7.02,QB,True,5.7,HOU,8,116,51,deshaun_watson_QB
52,9,,4.04,6.04,Calvin Ridley,51.2,7.03,WR,True,6.0,ATL,8,100,52,calvin_ridley_WR
53,5,,4.02,6.04,Kenyan Drake,52.0,7.04,RB,True,6.5,MIA,8,101,53,kenyan_drake_RB
54,10,,3.10,6.08,Sony Michel,53.4,7.05,RB,True,6.0,NE,8,213,54,sony_michel_RB
