adp,bye,name,pos,team,key
1.3,11,Saquon Barkley,RB,NYG,barkley_RB_NYG
2.3,8,Ezekiel Elliott,RB,DAL,elliott_RB_DAL
3.0,7,Christian McCaffrey,RB,CAR,mccaffrey_RB_CAR
3.5,9,Alvin Kamara,RB,NO,kamara_RB_NO
5.5,12,Melvin Gordon,RB,LAC,gordon_RB_LAC
6.8,12,David Johnson,RB,ARI,johnson_RB_ARI
6.8,10,DeAndre Hopkins,WR,HOU,hopkins_WR_HOU
7.5,4,Le'Veon Bell,RB,NYJ,bell_RB_NYJ
9.5,11,Davante Adams,WR,GB,adams_WR_GB
10.8,7,James Conner,RB,PIT,conner_RB_PIT
12.3,9,Julio Jones,WR,ATL,jones_WR_ATL
12.8,9,Joe Mixon,RB,CIN,mixon_RB_CIN
12.8,9,Michael Thomas,WR,NO,thomas_WR_NO
13.8,9,Todd Gurley,RB,LAR,gurley_RB_LAR
15.5,7,Odell Beckham Jr.,WR,CLE,beckham_WR_CLE
15.8,12,Travis Kelce,TE,KC,kelce_TE_KC
17.5,7,JuJu Smith-Schuster,WR,PIT,smithschuster_WR_PIT
17.8,7,Mike Evans,WR,TB,evans_WR_TB
18.3,12,Dalvin Cook,RB,MIN,cook_RB_MIN
19.8,6,Antonio Brown,WR,OAK,brown_WR_OAK
20.0,7,Nick Chubb,RB,CLE,chubb_RB_CLE
22.8,12,Damien Williams,RB,KC,williams_RB_KC
25.0,6,T.Y. Hilton,WR,IND,hilton_WR_IND
25.5,12,Patrick Mahomes,QB,KC,mahomes_QB_KC
25.5,10,Leonard Fournette,RB,JAX,fournette_RB_JAX
26.3,12,Adam Thielen,WR,MIN,thielen_WR_MIN
28.5,10,Zach Ertz,TE,PHI,ertz_TE_PHI
28.8,12,Keenan Allen,WR,LAC,allen_WR_LAC
29.0,9,Devonta Freeman,RB,ATL,freeman_RB_ATL
32.0,11,Aaron Jones,RB,GB,jones_RB_GB
32.5,11,Derrick Henry,RB,TEN,henry_RB_TEN
32.5,6,Marlon Mack,RB,IND,mack_RB_IND
32.5,9,A.J. Green,WR,CIN,green_WR_CIN
33.3,8,Amari Cooper,WR,DAL,cooper_WR_DAL
33.8,4,George Kittle,TE,SF,kittle_TE_SF
35.0,12,Stefon Diggs,WR,MIN,diggs_WR_MIN
36.0,6,Josh Jacobs,RB,OAK,jacobs_RB_OAK
37.0,5,Kerryon Johnson,RB,DET,johnson_RB_DET
40.0,10,Sony Michel,RB,NE,michel_RB_NE
41.3,10,Julian Edelman,WR,NE,edelman_WR_NE
42.8,8,Mark Ingram,RB,BAL,ingram_RB_BAL
43.3,10,Phillip Lindsay,RB,DEN,lindsay_RB_DEN
44.0,9,Brandin Cooks,WR,LAR,cooks_WR_LAR
45.0,5,Kenny Golladay,WR,DET,golladay_WR_DET
45.3,9,Robert Woods,WR,LAR,woods_WR_LAR
46.3,6,Andrew Luck,QB,IND,luck_QB_IND
48.5,11,Chris Carson,RB,SEA,carson_RB_SEA
49.5,9,Cooper Kupp,WR,LAR,kupp_WR_LAR
51.8,7,Chris Godwin,WR,TB,godwin_WR_TB
52.5,6,David Montgomery,RB,CHI,montgomery_RB_CHI
52.8,10,Deshaun Watson,QB,HOU,watson_QB_HOU
53.5,11,Tyler Lockett,WR,SEA,lockett_WR_SEA
54.0,5,Kenyan Drake,RB,MIA,drake_RB_MIA
54.5,12,Tyreek Hill,WR,KC,hill_WR_KC
55.8,7,O.J. Howard,TE,TB,howard_TE_TB
56.0,9,Calvin Ridley,WR,ATL,ridley_WR_ATL
56.8,11,Aaron Rodgers,QB,GB,rodgers_QB_GB
59.8,11,Evan Engram,TE,NYG,engram_TE_NYG
61.5,12,Mike Williams,WR,LAC,williams_WR_LAC
63.0,6,Tarik Cohen,RB,CHI,cohen_RB_CHI
63.3,10,James White,RB,NE,white_RB_NE
63.5,12,Hunter Henry,TE,LAC,henry_TE_LAC
64.5,12,Sammy Watkins,WR,KC,watkins_WR_KC
67.8,10,Derrius Guice,RB,WAS,guice_RB_WAS
67.8,7,Jarvis Landry,WR,CLE,landry_WR_CLE
68.8,9,Tyler Boyd,WR,CIN,boyd_WR_CIN
69.0,7,D.J. Moore,WR,CAR,moore_WR_CAR
69.5,7,Baker Mayfield,QB,CLE,mayfield_QB_CLE
69.8,4,Tevin Coleman,RB,SF,coleman_RB_SF
69.8,9,Matt Ryan,QB,ATL,ryan_QB_ATL
71.3,6,Eric Ebron,TE,IND,ebron_TE_IND
71.5,10,Lamar Miller,RB,HOU,miller_RB_HOU
71.8,9,Jared Cook,TE,NO,cook_TE_NO
75.8,10,Alshon Jeffery,WR,PHI,jeffery_WR_PHI
78.3,10,Miles Sanders,RB,PHI,sanders_RB_PHI
79.8,9,Drew Brees,QB,NO,brees_QB_NO
80.3,11,Russell Wilson,QB,SEA,wilson_QB_SEA
80.8,6,Allen Robinson,WR,CHI,robinson_WR_CHI
81.0,11,Rashaad Penny,RB,SEA,penny_RB_SEA
82.0,4,Robby Anderson,WR,NYJ,anderson_WR_NYJ
83.3,9,Darrell Henderson,RB,LAR,henderson_RB_LAR
84.5,10,Will Fuller,WR,HOU,fuller_WR_HOU
86.0,10,Jordan Howard,RB,PHI,howard_RB_PHI
89.5,9,Latavius Murray,RB,NO,murray_RB_NO
91.0,12,Christian Kirk,WR,ARI,kirk_WR_ARI
91.3,7,Vance McDonald,TE,PIT,mcdonald_TE_PIT
91.3,4,Dante Pettis,WR,SF,pettis_WR_SF
91.3,7,David Njoku,TE,CLE,njoku_TE_CLE
92.8,7,Cam Newton,QB,CAR,newton_QB_CAR
93.8,6,LeSean McCoy,RB,BUF,mccoy_RB_BUF
94.3,6,Bears,DST,CHI,bears_DST_CHI
94.8,10,Royce Freeman,RB,DEN,freeman_RB_DEN
95.0,11,Corey Davis,WR,TEN,davis_WR_TEN
95.8,11,Sterling Shepard,WR,NYG,shepard_WR_NYG
97.3,7,Kareem Hunt,RB,CLE,hunt_RB_CLE
98.5,10,N'Keal Harry,WR,NE,harry_WR_NE
98.8,10,Carson Wentz,QB,PHI,wentz_QB_PHI
99.0,5,Marvin Jones,WR,DET,jones_WR_DET
101.8,9,Jared Goff,QB,LAR,goff_QB_LAR
105.5,12,Larry Fitzgerald,WR,ARI,fitzgerald_WR_ARI
106.8,12,Kyler Murray,QB,ARI,murray_QB_ARI
107.8,7,Ronald Jones II,RB,TB,jones_RB_TB
108.5,10,Courtland Sutton,WR,DEN,sutton_WR_DEN
108.8,4,Jerick McKinnon,RB,SF,mckinnon_RB_SF
112.5,9,Rams,DST,LAR,rams_DST_LAR
113.0,11,Golden Tate,WR,NYG,tate_WR_NYG
113.3,7,Peyton Barber,RB,TB,barber_RB_TB
113.8,10,Dede Westbrook,WR,JAX,westbrook_WR_JAX
115.3,11,D.K. Metcalf,WR,SEA,metcalf_WR_SEA
116.3,12,Philip Rivers,QB,LAC,rivers_QB_LAC
117.0,12,Carlos Hyde,RB,KC,hyde_RB_KC
119.0,12,Mecole Hardman,WR,KC,hardman_WR_KC
119.5,10,Emmanuel Sanders,WR,DEN,sanders_WR_DEN
122.3,7,Ben Roethlisberger,QB,PIT,roethlisberger_QB_PIT
122.8,7,Jaylen Samuels,RB,PIT,samuels_RB_PIT
