key,name,pos,team,bye,std,half_ppr,ppr
mccaffrey_RB_CAR,Christian McCaffrey,RB,CAR,13,1.0,1.0,1.0
cook_RB_MIN,Dalvin Cook,RB,MIN,7,2.0,2.0,2.0
henry_RB_TEN,Derrick Henry,RB,TEN,13,3.0,3.0,4.0
kamara_RB_NO,Alvin Kamara,RB,NO,6,4.0,4.0,3.0
elliott_RB_DAL,Ezekiel Elliott,RB,DAL,7,5.5,5.0,5.6
chubb_RB_CLE,Nick Chubb,RB,CLE,13,5.5,6.8,9.8
adams_WR_GB,Davante Adams,WR,GB,13,8.0,9.3,7.0
jones_RB_GB,Aaron Jones,RB,GB,13,8.5,7.8,9.4
taylor_RB_IND,Jonathan Taylor,RB,IND,14,9.0,9.5,10.6
barkley_RB_NYG,Saquon Barkley,RB,NYG,10,9.3,9.5,9.2
hill_WR_KC,Tyreek Hill,WR,KC,12,10.8,10.3,10.4
kelce_TE_KC,Travis Kelce,TE,KC,12,11.8,10.8,8.4
ekeler_RB_LAC,Austin Ekeler,RB,LAC,7,14.3,12.5,10.6
mahomes_QB_KC,Patrick Mahomes II,QB,KC,12,14.5,18.3,18.8
harris_RB_PIT,Najee Harris,RB,PIT,7,14.5,15.0,15.6
diggs_WR_BUF,Stefon Diggs,WR,BUF,7,16.0,14.5,14.0
gibson_RB_WSH,Antonio Gibson,RB,WSH,9,16.8,17.0,18.2
metcalf_WR_SEA,D.K. Metcalf,WR,SEA,9,18.3,19.5,19.0
mixon_RB_CIN,Joe Mixon,RB,CIN,10,19.3,19.0,20.2
hopkins_WR_ARI,DeAndre Hopkins,WR,ARI,12,19.5,17.8,16.8
ridley_WR_ATL,Calvin Ridley,WR,ATL,6,20.3,19.8,19.0
edwardshelaire_RB_KC,Clyde Edwards-Helaire,RB,KC,12,22.0,21.8,23.6
brown_WR_TEN,A.J. Brown,WR,TEN,13,25.3,24.5,24.0
jefferson_WR_MIN,Justin Jefferson,WR,MIN,7,25.8,23.8,23.2
waller_TE_LV,Darren Waller,TE,LV,8,26.0,24.0,22.4
jacobs_RB_LV,Josh Jacobs,RB,LV,8,26.8,32.8,37.0
kittle_TE_SF,George Kittle,TE,SF,6,28.0,27.3,26.6
allen_QB_BUF,Josh Allen,QB,BUF,7,28.0,32.0,30.4
allen_WR_LAC,Keenan Allen,WR,LAC,7,28.8,28.8,27.2
montgomery_RB_CHI,David Montgomery,RB,CHI,10,28.8,28.8,30.6
carson_RB_SEA,Chris Carson,RB,SEA,9,29.5,29.5,33.2
mclaurin_WR_WSH,Terry McLaurin,WR,WSH,9,33.3,30.8,30.2
sanders_RB_PHI,Miles Sanders,RB,PHI,14,34.5,38.3,38.0
evans_WR_TB,Mike Evans,WR,TB,9,34.8,37.0,35.2
robinson_RB_JAX,James Robinson,RB,JAX,7,35.0,39.3,35.4
murray_QB_ARI,Kyler Murray,QB,ARI,12,36.3,40.8,39.2
swift_RB_DET,D'Andre Swift,RB,DET,9,36.8,36.3,35.2
lamb_WR_DAL,CeeDee Lamb,WR,DAL,7,36.8,34.8,32.8
robinson_WR_CHI,Allen Robinson II,WR,CHI,10,38.0,32.8,31.6
jackson_QB_BAL,Lamar Jackson,QB,BAL,8,41.3,45.8,44.4
godwin_WR_TB,Chris Godwin,WR,TB,9,42.3,41.0,41.6
woods_WR_LAR,Robert Woods,WR,LAR,11,43.0,42.0,37.8
jones_WR_TEN,Julio Jones,WR,TEN,13,43.3,45.0,45.4
cooper_WR_DAL,Amari Cooper,WR,DAL,7,45.3,42.8,41.2
gaskin_RB_MIA,Myles Gaskin,RB,MIA,14,46.5,50.8,50.8
thielen_WR_MIN,Adam Thielen,WR,MIN,7,46.5,51.5,51.0
rodgers_QB_GB,Aaron Rodgers,QB,GB,13,48.0,61.3,56.4
