Team,First Name,Last Name,Position,Jersey,Overall,Speed,Acceleration,Strength,Agility,Awareness,Catching,Carrying,Throw Power,Kick Power,Kick Accuracy,Run Block,Pass Block,Tackle,Jumping,Return,Injury,Stamina,Toughness,Trucking,Elusiveness,Ball Carrier Vision,Stiff Arm,Spin Move,Juke Move,Impact Block,Power Move,Finessee Move,Block Shedding,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Spectacular Catch,Catch In Traffic,Route Running,Hit Power,Press,Release,Throw Accuracy Short,Throw Accuracy Medium,Throw Accuracy Deep,Play Action,Throw On The Run
Bears,Brian,De La Puente,C,64,83,56,73,87,59,85,30,40,26,22,22,78,90,21,28,10,88,85,85,10,12,10,10,10,10,91,10,10,10,10,10,12,12,12,10,10,12,10,12,5,5,5,5,5
Bears,Roberto,Garza,C,63,80,49,67,86,54,88,19,40,20,23,21,80,85,21,33,10,87,70,85,10,19,10,10,10,10,74,10,10,21,37,28,11,12,12,10,10,20,10,12,5,5,5,5,5
Bears,Taylor,Boggs,C,60,61,55,64,86,52,57,15,35,10,11,11,77,70,30,72,10,85,81,86,10,21,10,10,10,10,75,10,10,25,33,15,11,12,15,15,15,37,10,15,5,5,5,5,5
Bears,Tim,Jennings,CB,26,88,93,93,45,91,88,74,65,26,8,10,45,45,61,88,45,91,96,65,10,68,45,10,84,82,45,15,23,33,83,89,90,90,35,20,15,60,59,15,5,5,5,5,5
Bears,Charles,Tillman,CB,33,87,87,87,72,88,90,69,60,14,14,16,45,45,76,95,45,84,98,91,40,30,70,33,66,74,45,50,56,55,92,88,81,87,77,45,25,77,93,20,5,5,5,5,5
Bears,Kyle,Fuller,CB,23,75,89,92,52,87,56,69,66,36,19,19,45,45,62,91,50,88,92,87,36,55,65,40,65,66,45,54,68,53,85,67,84,87,59,65,21,73,82,40,5,5,5,5,5
Bears,Kelvin,Hayden,CB,24,74,86,85,64,85,75,62,60,18,17,22,45,45,62,88,42,74,90,80,10,39,60,31,64,85,45,48,66,46,82,75,74,79,42,28,30,75,81,34,5,5,5,5,5
Bears,Isaiah,Frey,CB,31,69,90,85,50,87,63,68,65,25,10,11,45,45,57,85,45,92,90,67,30,70,58,25,72,74,45,39,41,52,71,65,76,83,35,33,20,73,52,22,5,5,5,5,5
Bears,C.J.,Wilson,CB,25,67,94,92,59,88,44,64,63,35,20,20,45,45,50,90,64,90,88,75,25,66,75,25,74,76,45,30,39,40,72,64,75,74,35,33,30,56,67,30,5,5,5,5,5
Bears,Sherrick,McManis,CB,27,66,89,86,55,85,61,55,65,21,22,19,45,45,58,94,74,76,94,75,25,65,62,26,55,75,45,45,35,45,66,62,68,79,40,55,10,67,63,30,5,5,5,5,5
Bears,Stephen,Paea,DT,92,79,63,77,98,54,76,20,40,23,22,17,45,45,85,58,14,85,72,96,10,35,10,10,10,10,45,84,44,88,70,60,12,22,12,10,10,87,22,12,5,5,5,5,5
Bears,Jeremiah,Ratliff,DT,90,79,65,78,81,65,84,35,40,12,19,19,45,45,73,60,10,86,65,75,29,22,15,10,10,15,45,67,79,72,78,83,20,15,12,10,10,70,10,12,5,5,5,5,5
Bears,Ego,Ferguson,DT,95,69,66,84,84,56,51,44,45,19,25,21,45,45,84,75,10,89,79,76,45,15,30,35,30,25,45,74,53,88,82,64,20,25,15,15,15,73,10,25,5,5,5,5,5
Bears,Will,Sutton,DT,93,69,58,84,83,55,50,40,45,14,17,11,45,45,74,77,10,87,77,74,25,19,20,35,20,10,45,85,65,81,74,62,15,23,15,15,15,81,10,15,5,5,5,5,5
Bears,Nate,Collins,DT,98,68,64,71,77,63,67,35,40,26,25,25,45,45,73,64,5,90,73,70,20,12,15,15,10,10,45,82,57,77,72,59,20,21,15,15,15,75,10,15,5,5,5,5,5
Bears,Tony,Fiammetta,FB,43,72,81,74,77,72,66,55,78,19,25,24,68,62,55,65,40,95,85,92,78,50,75,79,74,78,69,10,10,45,40,13,13,20,15,25,39,45,10,50,20,15,10,10,10
Bears,Chris,Conte,FS,47,74,89,84,65,77,71,54,60,25,20,20,45,45,60,83,10,93,85,77,49,45,25,35,55,60,45,48,46,59,69,74,61,77,55,45,15,71,77,12,10,10,10,10,10
Bears,Danny,McCray,FS,29,67,87,92,62,84,57,51,45,25,15,14,45,45,62,86,40,89,85,75,35,54,50,39,55,74,45,47,45,61,70,58,64,71,44,44,22,73,72,20,15,10,10,15,15
Bears,Brock,Vereen,FS,45,66,90,91,76,82,45,54,55,24,22,21,45,45,68,84,60,92,84,69,54,53,60,50,60,62,45,49,45,60,71,49,75,74,35,35,15,78,69,25,5,5,5,5,5
Bears,Matt,Forte,HB,22,95,91,94,74,92,90,84,96,30,25,25,45,52,20,80,20,92,99,85,82,89,97,84,86,90,40,10,10,11,40,20,15,20,70,75,82,20,20,60,35,30,20,15,15
Bears,Ka'Deem,Carey,HB,25,71,81,90,67,82,55,74,80,34,25,25,45,52,29,79,60,90,94,85,84,74,85,70,88,73,40,10,10,29,35,16,13,29,70,72,63,12,20,65,35,30,20,15,15
Bears,Shaun,Draughn,HB,38,70,84,88,72,85,67,66,76,30,25,25,49,42,35,74,77,85,84,79,80,65,75,74,81,83,40,10,10,11,40,20,15,20,46,64,50,20,20,51,35,30,20,15,15
Bears,Michael,Ford,HB,32,65,92,94,73,87,49,58,83,40,20,22,45,50,39,91,73,91,87,75,71,63,68,66,75,78,49,30,30,35,37,35,18,25,52,55,40,35,15,54,40,35,33,33,40
Bears,Robbie,Gould,K,9,93,55,54,25,52,92,15,40,29,96,90,20,16,23,27,10,90,75,65,10,27,10,10,10,10,20,10,10,23,21,19,11,14,12,10,10,12,10,12,35,30,25,20,20
Bears,Lamarr,Houston,LE,99,89,74,84,87,72,82,29,40,20,20,20,45,45,90,75,10,94,91,72,20,10,10,10,10,10,45,87,65,82,89,82,15,69,15,15,15,76,10,15,5,5,5,5,5
Bears,Austen,Lane,LE,73,71,74,83,71,74,68,40,35,35,30,30,45,45,72,82,10,88,76,84,40,37,30,35,33,43,45,62,81,65,74,68,22,32,15,10,10,85,50,12,5,5,5,5,5
Bears,Cornelius,Washington,LE,94,69,85,89,91,75,45,56,65,20,37,30,45,45,74,92,10,87,72,75,65,35,51,45,57,48,45,86,52,77,75,48,55,64,40,35,31,89,54,35,5,5,5,5,5
Bears,Matt,Slauson,LG,68,91,54,71,92,51,85,28,40,24,26,28,92,90,42,27,10,88,81,95,10,20,10,10,10,10,82,10,10,30,35,23,11,13,15,15,15,20,10,15,5,5,5,5,5
Bears,James,Brown,LG,78,65,63,66,85,54,56,19,35,9,24,33,74,73,34,68,10,85,84,88,25,10,11,10,11,10,78,10,10,34,30,10,12,12,12,15,10,12,10,12,5,5,5,5,5
Bears,Khaseem,Greene,LOLB,52,69,79,83,63,85,61,70,63,33,20,19,45,45,79,82,10,85,94,74,66,49,70,55,49,62,45,58,76,66,79,71,68,75,30,25,15,73,65,30,5,5,5,5,5
Bears,Shea,McClellin,LOLB,50,67,82,84,67,73,60,55,45,12,16,17,45,45,67,81,10,91,80,75,40,30,35,39,45,21,45,65,85,66,82,70,50,65,20,20,20,68,50,12,5,5,5,5,5
Bears,Jermon,Bushrod,LT,74,77,69,78,91,66,85,20,40,30,16,16,88,76,27,52,10,92,90,89,25,12,10,30,10,10,87,25,10,27,27,10,12,12,12,10,10,35,10,12,5,5,5,5,5
