key,name,pos,team,pass_tds,pass_yds,pass_ints,rush_tds,rush_yds,receptions,reception_tds,reception_yds,two_pts,fumbles,kick_0_19,kick_20_29,kick_30_39,kick_40_49,kick_50,kick_extra_points,df_points_allowed_per_game,df_sacks,df_safeties,df_fumbles,df_tds,df_ints
allen_QB_BUF,Josh Allen,QB,BUF,35,4697,14,10,516,,,,,5,,,,,,,,,,,,
mahomes_QB_KC,Patrick Mahomes,QB,KC,39,5140,9,2,150,,,,,1,,,,,,,,,,,,
jackson_QB_BAL,Lamar Jackson,QB,BAL,30,3130,16,6,1248,,,,,3,,,,,,,,,,,,
rodgers_QB_GB,Aaron Rodgers,QB,GB,39,4513,8,2,165,,,,,3,,,,,,,,,,,,
herbert_QB_LAC,Justin Herbert,QB,LAC,31,4794,14,7,272,,,,,1,,,,,,,,,,,,
murray_QB_ARI,Kyler Murray,QB,ARI,29,4136,16,7,719,,,,,3,,,,,,,,,,,,
brady_QB_TB,Tom Brady,QB,TB,37,4884,15,3,33,,,,,1,,,,,,,,,,,,
wilson_QB_SEA,Russell Wilson,QB,SEA,35,4319,15,2,444,,,,,3,,,,,,,,,,,,
prescott_QB_DAL,Dak Prescott,QB,DAL,32,4840,15,4,279,,,,,4,,,,,,,,,,,,
tannehill_QB_TEN,Ryan Tannehill,QB,TEN,32,3899,10,5,260,,,,,2,,,,,,,,,,,,
hurts_QB_PHI,Jalen Hurts,QB,PHI,23,3627,18,6,794,,,,,3,,,,,,,,,,,,
cousins_QB_MIN,Kirk Cousins,QB,MIN,32,4442,15,1,115,,,,,4,,,,,,,,,,,,
burrow_QB_CIN,Joe Burrow,QB,CIN,28,4306,15,3,245,,,,,3,,,,,,,,,,,,
carr_QB_LV,Derek Carr,QB,LV,29,4369,12,3,120,,,,,6,,,,,,,,,,,,
lance_QB_SF,Trey Lance,QB,SF,24,3715,15,4,680,,,,,7,,,,,,,,,,,,
fields_QB_CHI,Justin Fields,QB,CHI,27,3933,19,4,642,,,,,14,,,,,,,,,,,,
wentz_QB_IND,Carson Wentz,QB,IND,28,3934,13,4,320,,,,,7,,,,,,,,,,,,
tagovailoa_QB_MIA,Tua Tagovailoa,QB,MIA,28,4225,16,3,198,,,,,1,,,,,,,,,,,,
lawrence_QB_JAX,Trevor Lawrence,QB,JAX,25,4235,15,3,483,,,,,8,,,,,,,,,,,,
stafford_QB_LAR,Matthew Stafford,QB,LAR,28,4737,13,0,144,,,,,3,,,,,,,,,,,,
ryan_QB_ATL,Matt Ryan,QB,ATL,28,4725,17,2,136,,,,,5,,,,,,,,,,,,
bridgewater_QB_DEN,Teddy Bridgewater,QB,DEN,27,4171,18,3,280,,,,,2,,,,,,,,,,,,
winston_QB_NO,Jameis Winston,QB,NO,32,4001,20,1,232,,,,,4,,,,,,,,,,,,
mayfield_QB_CLE,Baker Mayfield,QB,CLE,29,3948,14,2,178,,,,,3,,,,,,,,,,,,
newton_QB_NE,Cam Newton,QB,NE,22,3444,19,8,498,,,,,3,,,,,,,,,,,,
roethlisberger_QB_PIT,Ben Roethlisberger,QB,PIT,30,4201,15,0,32,,,,,1,,,,,,,,,,,,
fitzpatrick_QB_WSH,Ryan Fitzpatrick,QB,WSH,23,3977,21,6,315,,,,,1,,,,,,,,,,,,
darnold_QB_CAR,Sam Darnold,QB,CAR,23,4125,18,6,217,,,,,4,,,,,,,,,,,,
wilson_QB_NYJ,Zach Wilson,QB,NYJ,22,3831,20,3,535,,,,,9,,,,,,,,,,,,
jones_QB_NYG,Daniel Jones,QB,NYG,22,3488,16,2,462,,,,,11,,,,,,,,,,,,
goff_QB_DET,Jared Goff,QB,DET,22,4258,19,2,67,,,,,4,,,,,,,,,,,,
watson_QB_HOU,Deshaun Watson,QB,HOU,15,2713,9,3,252,,,,,2,,,,,,,,,,,,
hill_QB_NO,Taysom Hill,QB,NO,1,184,1,6,467,,,,,4,,,,,,,,,,,,
taylor_QB_HOU,Tyrod Taylor,QB,HOU,10,1776,6,0,29,,,,,0,,,,,,,,,,,,
garoppolo_QB_SF,Jimmy Garoppolo,QB,SF,6,895,3,0,33,,,,,1,,,,,,,,,,,,
dalton_QB_CHI,Andy Dalton,QB,CHI,2,291,1,0,19,,,,,0,,,,,,,,,,,,
jones_QB_NE,Mac Jones,QB,NE,2,370,2,0,7,,,,,0,,,,,,,,,,,,
henne_QB_KC,Chad Henne,QB,KC,1,189,0,0,19,,,,,0,,,,,,,,,,,,
gabbert_QB_TB,Blaine Gabbert,QB,TB,1,183,0,0,16,,,,,0,,,,,,,,,,,,
trubisky_QB_BUF,Mitchell Trubisky,QB,BUF,1,196,1,0,19,,,,,0,,,,,,,,,,,,
daniel_QB_LAC,Chase Daniel,QB,LAC,1,188,1,0,19,,,,,0,,,,,,,,,,,,
gilbert_QB_DAL,Garrett Gilbert,QB,DAL,1,188,1,0,20,,,,,0,,,,,,,,,,,,
smith_QB_SEA,Geno Smith,QB,SEA,1,169,0,0,4,,,,,0,,,,,,,,,,,,
huntley_QB_BAL,Tyler Huntley,QB,BAL,1,128,0,0,33,,,,,0,,,,,,,,,,,,
mcsorley_QB_BAL,Trace McSorley,QB,BAL,1,128,0,0,30,,,,,0,,,,,,,,,,,,
wolford_QB_LAR,John Wolford,QB,LAR,1,171,1,0,18,,,,,0,,,,,,,,,,,,
mariota_QB_LV,Marcus Mariota,QB,LV,1,178,1,0,21,,,,,0,,,,,,,,,,,,
lock_QB_DEN,Drew Lock,QB,DEN,1,211,1,0,14,,,,,0,,,,,,,,,,,,
trask_QB_TB,Kyle Trask,QB,TB,1,150,0,0,3,,,,,0,,,,,,,,,,,,
perkins_QB_LAR,Bryce Perkins,QB,LAR,1,142,0,0,4,,,,,0,,,,,,,,,,,,
eason_QB_IND,Jacob Eason,QB,IND,1,202,1,0,7,,,,,0,,,,,,,,,,,,
