"","name","pos","pts_2018","img_url"
"1","Le'Veon Bell","RB","347.7","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15825.png"
"2","Todd Gurley","RB","325.4","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17683.png"
"3","David Johnson","RB","323.5","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17442.png"
"4","Antonio Brown","WR","321.7","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13934.png"
"5","Tom Brady","QB","313.9","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2330.png"
"6","Aaron Rodgers","QB","313.3","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/8439.png"
"7","Ezekiel Elliott","RB","301.5","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17797.png"
"8","Cam Newton","QB","299.2","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13994.png"
"9","Julio Jones","WR","291.7","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13982.png"
"10","Alvin Kamara","RB","291.2","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18187.png"
"11","Russell Wilson","QB","289.3","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14881.png"
"12","Alex Smith","QB","285.9","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/8416.png"
"13","Andrew Luck","QB","284.4","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14874.png"
"14","DeAndre Hopkins","WR","281.3","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15795.png"
"15","Saquon Barkley","RB","280.8","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18567.png"
"16","Keenan Allen","WR","278.8","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15818.png"
"17","Carson Wentz*","QB","278.7","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17795.png"
"18","Michael Thomas","WR","278.2","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17834.png"
"19","Odell Beckham","WR","275.8","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16733.png"
"20","Deshaun Watson","QB","274.6","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18246.png"
"21","Ben Roethlisberger","QB","274.4","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/5536.png"
"22","Matthew Stafford","QB","273.7","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/12483.png"
"23","Patrick Mahomes","QB","273","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18210.png"
"24","Kirk Cousins","QB","271.5","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14880.png"
"25","Philip Rivers","QB","271.4","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/5529.png"
"26","Matt Ryan","QB","270.4","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/11237.png"
"27","Drew Brees","QB","269.4","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2580.png"
"28","Marcus Mariota","QB","266.8","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17610.png"
