name,pos,team,fpts,each_fumble_recovered,each_interception,each_pass_completed_&_each_pass_attempted,each_reception,each_sack,extra_points_made_,fantasy_points,field_goals_made_,interceptions_thrown,passing_yards,points_allowed,receiving_target,receiving_yards,receiving_yards_per_catch,rushing_attempts,rushing_yards,rushing_yards_per_attempt,td_pass,td_reception,td_rush,total_return_td,yards_allowed
Saquon Barkley,RB,NYG,285.0,,,,86.0,,,285.0,,,,,,697.0,,297.0,1363.0,4.6,,3.0,10.0,,
Ezekiel Elliott,RB,DAL,271.4,,,,74.0,,,271.4,,,,,,581.0,,312.0,1386.0,4.4,,3.0,10.0,,
Christian McCaffrey,RB,CAR,248.5,,,,91.0,,,248.5,,,,,,744.0,,235.0,1058.0,4.5,,4.0,7.0,,
Alvin Kamara,RB,NO,254.0,,,,82.0,,,254.0,,,,,,732.0,,204.0,909.0,4.4,,4.0,10.0,,
Le'Veon Bell,RB,NYJ,229.7,,,,69.0,,,229.7,,,,,,542.0,,270.0,1210.0,4.5,,3.0,6.0,,
Melvin Gordon,RB,LAC,236.5,,,,58.0,,,236.5,,,,,,514.0,,255.0,1115.0,4.4,,3.0,9.0,,
Davante Adams,WR,GB,194.1,,,,102.0,,,194.1,,,,,154.0,1260.0,12.3,0.0,0.0,,,11.0,0.0,,
DeAndre Hopkins,WR,HOU,193.8,,,,102.0,,,193.8,,,,,156.0,1374.0,13.5,0.0,0.0,,,10.0,0.0,,
Michael Thomas,WR,NO,180.7,,,,113.0,,,180.7,,,,,146.0,1314.0,11.6,0.0,0.0,,,8.0,0.0,,
Julio Jones,WR,ATL,196.5,,,,96.0,,,196.5,,,,,149.0,1437.0,14.9,2.0,11.0,,,9.0,0.0,,
David Johnson,RB,ARI,234.1,,,,57.0,,,234.1,,,,,,553.0,,268.0,1070.0,4.0,,3.0,9.0,,
James Conner,RB,PIT,224.4,,,,55.0,,,224.4,,,,,,452.0,,246.0,1073.0,4.4,,2.0,11.0,,
Travis Kelce,TE,KC,182.4,,,,99.0,,,182.4,,,,,144.0,1257.0,12.7,0.0,0.0,,,10.0,0.0,,
Todd Gurley II,RB,LAR,251.3,,,,47.0,,,251.3,,,,,,434.0,,246.0,1139.0,4.6,,3.0,13.0,,
Odell Beckham Jr.,WR,CLE,184.2,,,,90.0,,,184.2,,,,,144.0,1245.0,13.8,4.0,22.0,,,9.0,0.0,,
Antonio Brown,WR,OAK,179.2,,,,104.0,,,179.2,,,,,161.0,1268.0,12.2,0.0,0.0,,,9.0,0.0,,
JuJu Smith-Schuster,WR,PIT,175.3,,,,103.0,,,175.3,,,,,151.0,1283.0,12.5,0.0,0.0,,,8.0,0.0,,
Joe Mixon,RB,CIN,218.4,,,,51.0,,,218.4,,,,,,387.0,,270.0,1213.0,4.5,,1.0,8.0,,
Keenan Allen,WR,LAC,165.3,,,,98.0,,,165.3,,,,,143.0,1234.0,12.6,4.0,26.0,,,7.0,0.0,,
Mike Evans,WR,TB,174.1,,,,84.0,,,174.1,,,,,143.0,1354.0,16.1,0.0,0.0,,,7.0,0.0,,
Dalvin Cook,RB,MIN,205.5,,,,55.0,,,205.5,,,,,,427.0,,258.0,1155.0,4.5,,2.0,6.0,,
T.Y. Hilton,WR,IND,174.7,,,,81.0,,,174.7,,,,,136.0,1285.0,15.8,0.0,0.0,,,8.0,0.0,,
Leonard Fournette,RB,JAX,204.7,,,,59.0,,,204.7,,,,,,475.0,,255.0,961.0,3.8,,1.0,9.0,,
Amari Cooper,WR,DAL,159.2,,,,85.0,,,159.2,,,,,128.0,1143.0,13.4,2.0,12.0,,,7.0,0.0,,
Adam Thielen,WR,MIN,153.2,,,,89.0,,,153.2,,,,,128.0,1111.0,12.4,4.0,28.0,,,7.0,0.0,,
Zach Ertz,TE,PHI,140.7,,,,93.0,,,140.7,,,,,129.0,942.0,10.1,0.0,0.0,,,8.0,0.0,,
George Kittle,TE,SF,143.2,,,,78.0,,,143.2,,,,,119.0,1091.0,13.9,0.0,0.0,,,6.0,0.0,,
Nick Chubb,RB,CLE,200.5,,,,30.0,,,200.5,,,,,,244.0,,249.0,1141.0,4.6,,1.0,9.0,,
Devonta Freeman,RB,ATL,186.7,,,,50.0,,,186.7,,,,,,426.0,,203.0,859.0,4.2,,3.0,7.0,,
Julian Edelman,WR,NE,163.8,,,,94.0,,,163.8,,,,,138.0,1183.0,12.6,9.0,69.0,,,6.0,0.0,,
A.J. Green,WR,CIN,166.3,,,,84.0,,,166.3,,,,,142.0,1229.0,14.6,0.0,0.0,,,7.0,0.0,,
Stefon Diggs,WR,MIN,140.2,,,,87.0,,,140.2,,,,,128.0,943.0,10.8,8.0,48.0,,,7.0,0.0,,
Brandin Cooks,WR,LAR,155.0,,,,76.0,,,155.0,,,,,116.0,1132.0,15.0,9.0,51.0,,,6.0,0.0,,
Derrick Henry,RB,TEN,215.2,,,,18.0,,,215.2,,,,,,154.0,,283.0,1255.0,4.4,,1.0,12.0,,
Marlon Mack,RB,IND,193.0,,,,31.0,,,193.0,,,,,,234.0,,247.0,1102.0,4.5,,2.0,9.0,,
Josh Jacobs,RB,OAK,183.6,,,,40.0,,,183.6,,,,,,323.0,,233.0,1019.0,4.4,,1.0,7.0,,
Aaron Jones,RB,GB,183.6,,,,43.0,,,183.6,,,,,,325.0,,202.0,942.0,4.7,,2.0,8.0,,
Damien Williams,RB,KC,179.9,,,,49.0,,,179.9,,,,,,403.0,,169.0,720.0,4.3,,4.0,8.0,,
Robert Woods,WR,LAR,140.0,,,,74.0,,,140.0,,,,,116.0,981.0,13.3,13.0,86.0,,,5.0,0.0,,
Cooper Kupp,WR,LAR,132.5,,,,69.0,,,132.5,,,,,101.0,904.0,13.1,4.0,22.0,,,7.0,0.0,,
Alshon Jeffery,WR,PHI,136.3,,,,70.0,,,136.3,,,,,106.0,919.0,13.0,0.0,0.0,,,7.0,0.0,,
Chris Godwin,WR,TB,131.8,,,,71.0,,,131.8,,,,,114.0,968.0,13.7,0.0,0.0,,,6.0,0.0,,
Kenny Golladay,WR,DET,135.7,,,,70.0,,,135.7,,,,,118.0,996.0,14.2,2.0,12.0,,,6.0,0.0,,
Kerryon Johnson,RB,DET,178.6,,,,43.0,,,178.6,,,,,,313.0,,224.0,1015.0,4.5,,2.0,6.0,,
James White,RB,NE,141.2,,,,80.0,,,141.2,,,,,,713.0,,56.0,244.0,4.3,,5.0,3.0,,
Sony Michel,RB,NE,204.3,,,,17.0,,,204.3,,,,,,146.0,,272.0,1161.0,4.3,,1.0,12.0,,
Patrick Mahomes,QB,KC,327.3,,,373.0,,,,327.3,,12.0,4681.0,,,,,52.0,224.0,,33.0,,3.0,,
Chris Carson,RB,SEA,189.1,,,,25.0,,,189.1,,,,,,198.0,,253.0,1101.0,4.4,,1.0,9.0,,
Phillip Lindsay,RB,DEN,171.9,,,,42.0,,,171.9,,,,,,308.0,,210.0,952.0,4.5,,1.0,7.0,,
Mark Ingram II,RB,BAL,170.6,,,,29.0,,,170.6,,,,,,219.0,,229.0,1044.0,4.6,,1.0,8.0,,
Tyreek Hill,WR,KC,123.5,,,,52.0,,,123.5,,,,,82.0,796.0,15.3,11.0,79.0,,,5.0,1.0,,
Sammy Watkins,WR,KC,140.8,,,,70.0,,,140.8,,,,,108.0,1027.0,14.7,3.0,22.0,,,6.0,0.0,,
Tyler Lockett,WR,SEA,131.0,,,,64.0,,,131.0,,,,,88.0,891.0,13.9,9.0,57.0,,,5.0,0.0,,
Tyler Boyd,WR,CIN,122.5,,,,78.0,,,122.5,,,,,114.0,978.0,12.6,2.0,12.0,,,4.0,0.0,,
Allen Robinson,WR,CHI,122.5,,,,63.0,,,122.5,,,,,109.0,891.0,14.1,0.0,0.0,,,6.0,0.0,,
DJ Moore,WR,CAR,128.4,,,,67.0,,,128.4,,,,,101.0,879.0,13.1,17.0,131.0,,,4.0,0.0,,
