key,name,pos,team,pass_tds,pass_yds,pass_ints,rush_tds,rush_yds,receptions,reception_tds,reception_yds,two_pts,fumbles,kick_0_19,kick_20_29,kick_30_39,kick_40_49,kick_50,kick_extra_points,df_points_allowed_per_game,df_sacks,df_safeties,df_fumbles,df_tds,df_ints
mccaffrey_RB_CAR,Christian McCaffrey,RB,CAR,,,,10.0,1056.0,86.0,3.0,681.0,,,,,,,,,,,,,,
cook_RB_MIN,Dalvin Cook,RB,MIN,,,,12.0,1380.0,51.0,2.0,401.0,,,,,,,,,,,,,,
kamara_RB_NO,Alvin Kamara,RB,NO,,,,7.0,861.0,77.0,4.0,684.0,,,,,,,,,,,,,,
barkley_RB_NYG,Saquon Barkley,RB,NYG,,,,9.0,1172.0,55.0,2.0,420.0,,,,,,,,,,,,,,
henry_RB_TEN,Derrick Henry,RB,TEN,,,,13.0,1551.0,27.0,1.0,201.0,,,,,,,,,,,,,,
kelce_TE_KC,Travis Kelce,TE,KC,,,,0.0,0.0,108.0,11.0,1328.0,,,,,,,,,,,,,,
adams_WR_GB,Davante Adams,WR,GB,,,,0.0,0.0,113.0,13.0,1339.0,,,,,,,,,,,,,,
elliott_RB_DAL,Ezekiel Elliott,RB,DAL,,,,10.0,1102.0,54.0,2.0,400.0,,,,,,,,,,,,,,
taylor_RB_IND,Jonathan Taylor,RB,IND,,,,10.0,1220.0,42.0,1.0,313.0,,,,,,,,,,,,,,
ekeler_RB_LAC,Austin Ekeler,RB,LAC,,,,5.0,863.0,74.0,3.0,600.0,,,,,,,,,,,,,,
jones_RB_GB,Aaron Jones,RB,GB,,,,9.0,977.0,56.0,3.0,432.0,,,,,,,,,,,,,,
chubb_RB_CLE,Nick Chubb,RB,CLE,,,,11.0,1200.0,37.0,1.0,293.0,,,,,,,,,,,,,,
hill_WR_KC,Tyreek Hill,WR,KC,,,,1.0,96.0,95.0,10.0,1376.0,,,,,,,,,,,,,,
gibson_RB_WSH,Antonio Gibson,RB,WSH,,,,9.0,1090.0,50.0,2.0,378.0,,,,,,,,,,,,,,
harris_RB_PIT,Najee Harris,RB,PIT,,,,8.0,1116.0,49.0,2.0,372.0,,,,,,,,,,,,,,
diggs_WR_BUF,Stefon Diggs,WR,BUF,,,,0.0,11.0,109.0,9.0,1395.0,,,,,,,,,,,,,,
hopkins_WR_ARI,DeAndre Hopkins,WR,ARI,,,,0.0,0.0,112.0,7.0,1368.0,,,,,,,,,,,,,,
ridley_WR_ATL,Calvin Ridley,WR,ATL,,,,0.0,24.0,94.0,8.0,1336.0,,,,,,,,,,,,,,
metcalf_WR_SEA,DK Metcalf,WR,SEA,,,,0.0,0.0,88.0,10.0,1318.0,,,,,,,,,,,,,,
brown_WR_TEN,A.J. Brown,WR,TEN,,,,0.0,0.0,87.0,9.0,1282.0,,,,,,,,,,,,,,
jefferson_WR_MIN,Justin Jefferson,WR,MIN,,,,0.0,0.0,89.0,8.0,1257.0,,,,,,,,,,,,,,
mixon_RB_CIN,Joe Mixon,RB,CIN,,,,7.0,1048.0,48.0,2.0,349.0,,,,,,,,,,,,,,
edwardshelaire_RB_KC,Clyde Edwards-Helaire,RB,KC,,,,7.0,896.0,52.0,2.0,407.0,,,,,,,,,,,,,,
waller_TE_LV,Darren Waller,TE,LV,,,,0.0,0.0,94.0,7.0,1065.0,,,,,,,,,,,,,,
mclaurin_WR_WSH,Terry McLaurin,WR,WSH,,,,0.0,12.0,91.0,6.0,1256.0,,,,,,,,,,,,,,
allen_WR_LAC,Keenan Allen,WR,LAC,,,,0.0,13.0,104.0,7.0,1101.0,,,,,,,,,,,,,,
robinson_WR_CHI,Allen Robinson II,WR,CHI,,,,0.0,0.0,94.0,6.0,1169.0,,,,,,,,,,,,,,
lamb_WR_DAL,CeeDee Lamb,WR,DAL,,,,1.0,79.0,85.0,7.0,1067.0,,,,,,,,,,,,,,
kittle_TE_SF,George Kittle,TE,SF,,,,0.0,20.0,82.0,6.0,1034.0,,,,,,,,,,,,,,
montgomery_RB_CHI,David Montgomery,RB,CHI,,,,6.0,1071.0,45.0,1.0,356.0,,,,,,,,,,,,,,
robinson_RB_JAX,James Robinson,RB,JAX,,,,7.0,987.0,54.0,2.0,398.0,,,,,,,,,,,,,,
sanders_RB_PHI,Miles Sanders,RB,PHI,,,,8.0,1113.0,42.0,1.0,339.0,,,,,,,,,,,,,,
woods_WR_LAR,Robert Woods,WR,LAR,,,,1.0,102.0,92.0,6.0,1042.0,,,,,,,,,,,,,,
evans_WR_TB,Mike Evans,WR,TB,,,,0.0,0.0,76.0,9.0,1107.0,,,,,,,,,,,,,,
cooper_WR_DAL,Amari Cooper,WR,DAL,,,,0.0,24.0,84.0,6.0,1057.0,,,,,,,,,,,,,,
swift_RB_DET,D'Andre Swift,RB,DET,,,,6.0,741.0,65.0,2.0,492.0,,,,,,,,,,,,,,
carson_RB_SEA,Chris Carson,RB,SEA,,,,8.0,1013.0,40.0,2.0,290.0,,,,,,,,,,,,,,
thielen_WR_MIN,Adam Thielen,WR,MIN,,,,0.0,28.0,80.0,9.0,1035.0,,,,,,,,,,,,,,
lockett_WR_SEA,Tyler Lockett,WR,SEA,,,,0.0,12.0,90.0,8.0,1071.0,,,,,,,,,,,,,,
godwin_WR_TB,Chris Godwin,WR,TB,,,,0.0,0.0,80.0,7.0,1044.0,,,,,,,,,,,,,,
kupp_WR_LAR,Cooper Kupp,WR,LAR,,,,0.0,25.0,92.0,6.0,1068.0,,,,,,,,,,,,,,
johnson_WR_PIT,Diontae Johnson,WR,PIT,,,,0.0,25.0,92.0,6.0,997.0,,,,,,,,,,,,,,
jones_WR_TEN,Julio Jones,WR,TEN,,,,0.0,0.0,74.0,7.0,1044.0,,,,,,,,,,,,,,
moore_WR_CAR,DJ Moore,WR,CAR,,,,0.0,27.0,78.0,5.0,1171.0,,,,,,,,,,,,,,
aiyuk_WR_SF,Brandon Aiyuk,WR,SF,,,,0.0,59.0,73.0,7.0,926.0,,,,,,,,,,,,,,
higgins_WR_CIN,Tee Higgins,WR,CIN,,,,0.0,21.0,78.0,6.0,1000.0,,,,,,,,,,,,,,
jacobs_RB_LV,Josh Jacobs,RB,LV,,,,9.0,1063.0,34.0,1.0,259.0,,,,,,,,,,,,,,
edmonds_RB_ARI,Chase Edmonds,RB,ARI,,,,5.0,743.0,54.0,3.0,404.0,,,,,,,,,,,,,,
mahomes_QB_KC,Patrick Mahomes,QB,KC,36.0,4922.0,10.0,4.0,327.0,,,,,,,,,,,,,,,,,
allen_QB_BUF,Josh Allen,QB,BUF,32.0,4545.0,12.0,7.0,528.0,,,,,,,,,,,,,,,,,
edwards_RB_BAL,Gus Edwards,RB,BAL,,,,8.0,1043.0,25.0,1.0,202.0,,,,,,,,,,,,,,
williams_RB_DEN,Javonte Williams,RB,DEN,,,,5.0,904.0,29.0,1.0,217.0,,,,,,,,,,,,,,
hunt_RB_CLE,Kareem Hunt,RB,CLE,,,,6.0,569.0,41.0,3.0,355.0,,,,,,,,,,,,,,
gaskin_RB_MIA,Myles Gaskin,RB,MIA,,,,5.0,708.0,47.0,2.0,351.0,,,,,,,,,,,,,,
golladay_WR_NYG,Kenny Golladay,WR,NYG,,,,0.0,0.0,71.0,6.0,1071.0,,,,,,,,,,,,,,
beckham_WR_CLE,Odell Beckham Jr.,WR,CLE,,,,0.0,32.0,64.0,7.0,890.0,,,,,,,,,,,,,,
anderson_WR_CAR,Robby Anderson,WR,CAR,,,,0.0,20.0,85.0,5.0,1023.0,,,,,,,,,,,,,,
smithschuster_WR_PIT,JuJu Smith-Schuster,WR,PIT,,,,0.0,0.0,87.0,6.0,895.0,,,,,,,,,,,,,,
sutton_WR_DEN,Courtland Sutton,WR,DEN,,,,0.0,14.0,67.0,7.0,968.0,,,,,,,,,,,,,,
andrews_TE_BAL,Mark Andrews,TE,BAL,,,,0.0,0.0,70.0,8.0,829.0,,,,,,,,,,,,,,
hockenson_TE_DET,T.J. Hockenson,TE,DET,,,,0.0,0.0,81.0,6.0,854.0,,,,,,,,,,,,,,
pitts_TE_ATL,Kyle Pitts,TE,ATL,,,,0.0,0.0,72.0,6.0,839.0,,,,,,,,,,,,,,
murray_QB_ARI,Kyler Murray,QB,ARI,25.0,4084.0,12.0,9.0,726.0,,,,,,,,,,,,,,,,,
jeudy_WR_DEN,Jerry Jeudy,WR,DEN,,,,0.0,0.0,76.0,6.0,1037.0,,,,,,,,,,,,,,
claypool_WR_PIT,Chase Claypool,WR,PIT,,,,0.0,41.0,72.0,6.0,946.0,,,,,,,,,,,,,,
cooks_WR_HOU,Brandin Cooks,WR,HOU,,,,0.0,0.0,79.0,4.0,1089.0,,,,,,,,,,,,,,
prescott_QB_DAL,Dak Prescott,QB,DAL,30.0,4802.0,12.0,6.0,258.0,,,,,,,,,,,,,,,,,
jackson_QB_BAL,Lamar Jackson,QB,BAL,26.0,3334.0,11.0,7.0,869.0,,,,,,,,,,,,,,,,,
davis_RB_ATL,Mike Davis,RB,ATL,,,,7.0,913.0,39.0,1.0,263.0,,,,,,,,,,,,,,
henderson_RB_LAR,Darrell Henderson Jr.,RB,LAR,,,,9.0,774.0,33.0,1.0,269.0,,,,,,,,,,,,,,
chase_WR_CIN,Ja'Marr Chase,WR,CIN,,,,0.0,24.0,73.0,6.0,945.0,,,,,,,,,,,,,,
fuller_WR_MIA,William Fuller V,WR,MIA,,,,0.0,0.0,69.0,5.0,935.0,,,,,,,,,,,,,,
boyd_WR_CIN,Tyler Boyd,WR,CIN,,,,0.0,25.0,86.0,5.0,936.0,,,,,,,,,,,,,,
shenault_WR_JAX,Laviska Shenault Jr.,WR,JAX,,,,0.0,70.0,80.0,5.0,885.0,,,,,,,,,,,,,,
gallup_WR_DAL,Michael Gallup,WR,DAL,,,,0.0,0.0,68.0,6.0,978.0,,,,,,,,,,,,,,
thomas_TE_WSH,Logan Thomas,TE,WSH,,,,0.0,18.0,67.0,6.0,708.0,,,,,,,,,,,,,,
smith_WR_PHI,DeVonta Smith,WR,PHI,,,,0.0,13.0,71.0,5.0,945.0,,,,,,,,,,,,,,
samuel_WR_SF,Deebo Samuel,WR,SF,,,,1.0,97.0,70.0,5.0,827.0,,,,,,,,,,,,,,
rodgers_QB_GB,Aaron Rodgers,QB,GB,35.0,4302.0,9.0,2.0,179.0,,,,,,,,,,,,,,,,,
wilson_QB_SEA,Russell Wilson,QB,SEA,31.0,4149.0,11.0,2.0,425.0,,,,,,,,,,,,,,,,,
herbert_QB_LAC,Justin Herbert,QB,LAC,28.0,4368.0,12.0,4.0,248.0,,,,,,,,,,,,,,,,,
fant_TE_DEN,Noah Fant,TE,DEN,,,,0.0,0.0,64.0,4.0,666.0,,,,,,,,,,,,,,
davis_WR_NYJ,Corey Davis,WR,NYJ,,,,0.0,0.0,74.0,4.0,1013.0,,,,,,,,,,,,,,
jones_WR_JAX,Marvin Jones Jr.,WR,JAX,,,,0.0,0.0,69.0,6.0,952.0,,,,,,,,,,,,,,
chark_WR_JAX,DJ Chark Jr.,WR,JAX,,,,0.0,0.0,68.0,6.0,924.0,,,,,,,,,,,,,,
thomas_WR_NO,Michael Thomas,WR,NO,,,,0.0,0.0,65.0,4.0,811.0,,,,,,,,,,,,,,
harris_RB_NE,Damien Harris,RB,NE,,,,6.0,983.0,21.0,1.0,166.0,,,,,,,,,,,,,,
mostert_RB_SF,Raheem Mostert,RB,SF,,,,5.0,783.0,23.0,1.0,193.0,,,,,,,,,,,,,,
landry_WR_CLE,Jarvis Landry,WR,CLE,,,,0.0,28.0,73.0,5.0,839.0,,,,,,,,,,,,,,
brown_WR_BAL,Marquise Brown,WR,BAL,,,,0.0,13.0,64.0,7.0,872.0,,,,,,,,,,,,,,
samuel_WR_WSH,Curtis Samuel,WR,WSH,,,,1.0,119.0,69.0,4.0,823.0,,,,,,,,,,,,,,
williams_WR_LAC,Mike Williams,WR,LAC,,,,0.0,0.0,60.0,6.0,908.0,,,,,,,,,,,,,,
brown_WR_TB,Antonio Brown,WR,TB,,,,0.0,13.0,63.0,6.0,750.0,,,,,,,,,,,,,,
michel_RB_LAR,Sony Michel,RB,LAR,,,,6.0,714.0,23.0,1.0,189.0,,,,,,,,,,,,,,
waddle_WR_MIA,Jaylen Waddle,WR,MIA,,,,0.0,25.0,64.0,5.0,853.0,,,,,,,,,,,,,,
ruggs_WR_LV,Henry Ruggs III,WR,LV,,,,0.0,74.0,54.0,5.0,816.0,,,,,,,,,,,,,,
drake_RB_LV,Kenyan Drake,RB,LV,,,,4.0,480.0,51.0,2.0,379.0,,,,,,,,,,,,,,
fournette_RB_TB,Leonard Fournette,RB,TB,,,,6.0,677.0,24.0,1.0,175.0,,,,,,,,,,,,,,
conner_RB_ARI,James Conner,RB,ARI,,,,6.0,633.0,28.0,1.0,204.0,,,,,,,,,,,,,,
gordon_RB_DEN,Melvin Gordon III,RB,DEN,,,,5.0,735.0,25.0,1.0,176.0,,,,,,,,,,,,,,
