key,name,pos,team,pass_tds,pass_yds,pass_ints,rush_tds,rush_yds,receptions,reception_tds,reception_yds,two_pts,fumbles,kick_0_19,kick_20_29,kick_30_39,kick_40_49,kick_50,kick_extra_points,df_points_allowed_per_game,df_sacks,df_safeties,df_fumbles,df_tds,df_ints
mccaffrey_RB_CAR,Christian McCaffrey,RB,CAR,,,0.01,7.72,1088.89,89.19,5.11,861.88,0.03,0.69,,,,,,,,,,,,
watson_QB_HOU,Deshaun Watson,QB,HOU,27.39,4082.34,11.96,4.04,643.56,,,,1.89,1.05,,,,,,,,,,,,
mahomes_QB_KC,Patrick Mahomes,QB,KC,32.77,4836.34,14.24,2.25,239.15,,,,1.06,0.78,,,,,,,,,,,,
kamara_RB_NO,Alvin Kamara,RB,NO,,,0.01,7.91,953.15,88.07,4.32,732.4,1.57,0.58,,,,,,,,,,,0.1,
jones_WR_ATL,Julio Jones,WR,ATL,,,0.01,0.03,6.3,110.09,10.33,1534.48,,0.01,,,,,,,,,,,,
barkley_RB_NYG,Saquon Barkley,RB,NYG,,,0.01,8.78,1207.03,70.57,2.67,604.74,0.58,,,,,,,,,,,,,
luck_QB_IND,Andrew Luck,QB,IND,31.19,4618.7,15.88,1.94,320.38,,,,1.5,1.91,,,,,,,,,,,,
jackson_QB_BAL,Lamar Jackson,QB,BAL,16.53,2888.45,10.29,7.2,1142.76,,,,1.04,2.76,,,,,,,,,,,,
newton_QB_CAR,Cam Newton,QB,CAR,25.73,3930.47,13.28,3.5,541.05,,,,2,0.43,,,,,,,,,,,,
ryan_QB_ATL,Matt Ryan,QB,ATL,29.92,4659.15,12.54,1.71,149.81,,,,1.5,1.12,,,,,,,,,,,,
winston_QB_TB,Jameis Winston,QB,TB,28.14,4327.79,15.53,2.49,310.42,,,,1.5,1.61,,,,,,,,,,,,
brees_QB_NO,Drew Brees,QB,NO,31.19,4488.49,10.48,1.42,82.8,,,,0.5,0.4,,,,,,,,,,,,
rodgers_QB_GB,Aaron Rodgers,QB,GB,27.3,4158.82,9.9,2.29,270.87,,,,2.07,0.68,,,,,,,,,,,,
elliott_RB_DAL,Ezekiel Elliott,RB,DAL,,,0.01,7.85,1210.43,65.71,2.43,504.84,,0.82,,,,,,,,,,,,
roethlisberger_QB_PIT,Ben Roethlisberger,QB,PIT,29.14,4596.45,13.68,1.48,100.76,,,,3,0.6,,,,,,,,,,,,
garoppolo_QB_SF,Jimmy Garoppolo,QB,SF,30.54,4316.33,12.85,1.74,155.29,,,,1.45,0.83,,,,,,,,,,,,
goff_QB_LAR,Jared Goff,QB,LAR,30.12,4320.82,13.32,1.71,160.78,,,,1.5,0.95,,,,,,,,,,,,
adams_WR_GB,Davante Adams,WR,GB,,,0.01,,0.78,102.84,9.09,1351.38,,,,,,,,,,,,,,
brown_WR_OAK,Antonio Brown,WR,OAK,,,0.01,0.02,2.92,96.86,9.78,1362.73,,,,,,,,,,,,,,
prescott_QB_DAL,Dak Prescott,QB,DAL,26.01,4026.37,12.7,3.28,283.26,,,,1.53,0.66,,,,,,,,,,,,
mayfield_QB_CLE,Baker Mayfield,QB,CLE,28.4,4186.45,15.11,1.72,248.67,,,,2.32,1.39,,,,,,,,,,,,
wentz_QB_PHI,Carson Wentz,QB,PHI,28.48,4139.28,13.71,1.6,198.13,,,,3.5,1,,,,,,,,,,,,
cousins_QB_MIN,Kirk Cousins,QB,MIN,28.89,4211.27,13.36,1.52,168.87,,,,1.5,1.14,,,,,,,,,,,,
hopkins_WR_HOU,DeAndre Hopkins,WR,HOU,,,0.01,,1.24,90.63,8.93,1370.46,,,,,,,,,,,,,,
williams_RB_KC,Damien Williams,RB,KC,,,0.01,7.3,997.81,65.21,3.93,510.29,0.12,1.35,,,,,,,,,,,,
brady_QB_NE,Tom Brady,QB,NE,29.55,4398.67,10.56,0.88,23.83,,,,0.5,0.41,,,,,,,,,,,,
trubisky_QB_CHI,Mitchell Trubisky,QB,CHI,25.26,3798.44,13.58,2.88,333.12,,,,3.24,1.33,,,,,,,,,,,,
smithschuster_WR_PIT,JuJu Smith-Schuster,WR,PIT,,,0.01,,14.71,100.26,8.03,1298.99,,,,,,,,,,,,,0.02,
wilson_QB_SEA,Russell Wilson,QB,SEA,25.16,3667.37,10.83,2.67,346.5,,,,1.5,0.14,,,,,,,,,,,,
rivers_QB_LAC,Philip Rivers,QB,LAC,27.88,4316.56,12.71,0.61,36.67,,,,3.5,0.29,,,,,,,,,,,,
evans_WR_TB,Mike Evans,WR,TB,,,0.01,,1.28,78.55,8.97,1394.61,,,,,,,,,,,,,,
drake_RB_MIA,Kenyan Drake,RB,MIA,,,0.01,4.52,764.3,67.79,3.6,574.37,0.09,2.1,,,,,,,,,,,3.63,
thomas_WR_NO,Michael Thomas,WR,NO,,,0.01,,1.23,98.99,7.44,1232.33,,,,,,,,,,,,,,
allen_WR_LAC,Keenan Allen,WR,LAC,,,0.01,,12.11,96.15,7.08,1255.65,,0.02,,,,,,,,,,,,
edelman_WR_NE,Julian Edelman,WR,NE,,,0.01,0.42,63.35,95.81,7.11,1174.43,,0.04,,,,,,,,,,,,
allen_QB_BUF,Josh Allen,QB,BUF,15.72,3021.84,12.81,6.37,690.81,,,,1.4,2.05,,,,,,,,,,,,
kittle_TE_SF,George Kittle,TE,SF,,,0.01,,6.17,93.17,7.77,1236.84,,,,,,,,,,,,,,
cook_RB_MIN,Dalvin Cook,RB,MIN,,,0.01,6.37,1171.22,56.43,2.25,444.77,0.09,3.6,,,,,,,,,,,,
kelce_TE_KC,Travis Kelce,TE,KC,,,0.01,0.01,1.72,98.53,7.65,1176.61,,,,,,,,,,,,,,
conner_RB_PIT,James Conner,RB,PIT,,,0.01,8.58,1056.11,48.6,1.82,416.16,0.1,0.97,,,,,,,,,,,,
gurley_RB_LAR,Todd Gurley,RB,LAR,,,0.01,8.27,1020.05,45.48,1.96,421.6,1,0.79,,,,,,,,,,,,
carson_RB_SEA,Chris Carson,RB,SEA,,,0.01,9.82,1273.07,29.45,1.31,268.48,0.54,1.95,,,,,,,,,,,,
johnson_RB_ARI,David Johnson,RB,ARI,,,0.01,6.06,1005.81,48.03,2.58,507.54,0.5,2.85,,,,,,,,,,,,
dalton_QB_CIN,Andy Dalton,QB,CIN,25.61,3777.88,12.54,1.22,124.77,,,,,1.22,,,,,,,,,,,,
lockett_WR_SEA,Tyler Lockett,WR,SEA,,,0.01,0.42,74.09,58.5,8.08,1272.91,,0.05,,,,,,,,,,,0.15,
stafford_QB_DET,Matthew Stafford,QB,DET,24.71,3927.93,11.87,0.88,57.05,,,,1,0.59,,,,,,,,,,,,
hilton_WR_IND,T.Y. Hilton,WR,IND,,,0.01,,2.55,83.19,7.14,1165.66,,,,,,,,,,,,,0.19,
bell_RB_NYJ,Le'Veon Bell,RB,NYJ,,,0.01,6.61,903.91,51.85,2.76,470.42,,0.96,,,,,,,,,,,,
foles_QB_JAX,Nick Foles,QB,JAX,24.69,3961.07,14.42,1.24,79.13,,,,0.5,0.98,,,,,,,,,,,,
mixon_RB_CIN,Joe Mixon,RB,CIN,,,0.01,8.5,1144.47,40.24,1.15,304.32,0.06,0.66,,,,,,,,,,,,
cooks_WR_LAR,Brandin Cooks,WR,LAR,,,0.01,0.4,52,77.88,6.59,1153.79,,0.03,,,,,,,,,,,,
fournette_RB_JAX,Leonard Fournette,RB,JAX,,,0.01,6.96,971.51,47.89,1.79,407.83,0.04,,,,,,,,,,,,,
green_WR_CIN,A.J. Green,WR,CIN,,,0.01,0.02,2.31,77.13,7.21,1170.35,,,,,,,,,,,,,,
darnold_QB_NYJ,Sam Darnold,QB,NYJ,20.62,3575.26,15.04,2.28,273.49,,,,0.82,1.48,,,,,,,,,,,,
