name,pos,adp-std,adp-ppr,0.0-rank,0.5-rank,1.0-rank,diff
Tarik Cohen,RB,63.0,58.0,75,55,52,-23
Michael Thomas,WR,12.8,10.6,33,22,16,-17
Zach Ertz,TE,28.5,24.8,41,38,24,-17
James White,RB,63.3,56.0,55,47,40,-15
Travis Kelce,TE,15.8,15.0,21,20,7,-14
Vance McDonald,TE,90.5,96.8,98,99,85,-13
Jarvis Landry,WR,68.0,62.8,74,59,63,-11
JuJu Smith-Schuster,WR,17.3,15.0,28,21,18,-10
Julio Jones,WR,12.3,12.6,14,10,6,-8
Davante Adams,WR,9.5,7.8,16,13,8,-8
Keenan Allen,WR,28.5,24.4,34,31,26,-8
Kenyan Drake,RB,53.8,54.4,29,25,22,-7
Evan Engram,TE,59.3,60.8,61,65,54,-7
George Kittle,TE,34.0,27.6,37,40,30,-7
Antonio Brown,WR,19.8,19.2,24,18,17,-7
Stefon Diggs,WR,35.5,32.6,48,44,41,-7
Odell Beckham Jr.,WR,15.5,13.0,30,30,23,-7
Miles Sanders,RB,78.3,75.8,81,76,75,-6
Adam Thielen,WR,26.5,25.6,43,37,37,-6
DeAndre Hopkins,WR,6.8,5.8,18,14,12,-6
Jared Cook,TE,72.0,79.8,64,71,59,-5
Baker Mayfield,QB,69.3,68.4,102,126,97,-5
Matt Ryan,QB,70.5,71.4,76,89,71,-5
Julian Edelman,WR,41.3,40.6,38,35,33,-5
Allen Robinson,WR,81.0,73.0,79,73,74,-5
Bears,DST,93.8,91.4,93,100,88,-5
Aaron Rodgers,QB,56.5,53.8,71,86,66,-5
Andrew Luck,QB,46.3,48.6,72,87,68,-4
LeSean McCoy,RB,94.0,99.8,69,60,65,-4
Cam Newton,QB,92.8,92.8,73,88,69,-4
Le'Veon Bell,RB,7.5,9.2,8,5,5,-3
Hunter Henry,TE,63.3,65.4,85,94,82,-3
Carson Wentz,QB,98.3,89.0,94,107,91,-3
Mike Evans,WR,17.8,19.6,23,23,21,-2
Kerryon Johnson,RB,37.3,35.2,27,26,25,-2
Calvin Ridley,WR,55.8,54.2,66,62,64,-2
Damien Williams,RB,22.8,28.8,20,15,19,-1
D.J. Moore,WR,69.0,58.4,78,75,77,-1
Alvin Kamara,RB,3.8,4.0,4,3,3,-1
Cooper Kupp,WR,49.5,50.2,50,48,49,-1
Christian McCaffrey,RB,2.8,2.4,3,2,2,-1
Tyler Boyd,WR,68.8,63.4,62,56,61,-1
Chris Godwin,WR,52.5,51.6,53,53,53,0
Kenny Golladay,WR,45.0,44.8,51,51,51,0
David Njoku,TE,91.3,88.4,99,110,99,0
Saquon Barkley,RB,1.3,1.0,1,1,1,0
Dalvin Cook,RB,18.5,19.6,13,11,13,0
David Johnson,RB,6.8,8.0,9,7,9,0
Robert Woods,WR,45.3,44.8,46,46,47,1
Josh Jacobs,RB,36.3,35.2,26,29,27,1
Christian Kirk,WR,91.0,86.2,83,80,84,1
Leonard Fournette,RB,25.3,27.2,19,16,20,1
Amari Cooper,WR,33.3,27.6,45,45,46,1
A.J. Green,WR,32.5,34.4,44,43,45,1
Devonta Freeman,RB,29.0,34.0,32,33,34,2
Brandin Cooks,WR,44.0,39.0,40,42,42,2
Ezekiel Elliott,RB,2.3,2.6,2,4,4,2
T.Y. Hilton,WR,25.3,27.2,36,36,39,3
Sterling Shepard,WR,95.8,87.8,87,84,90,3
Joe Mixon,RB,12.8,13.8,12,12,15,3
O.J. Howard,TE,55.8,58.0,54,66,58,4
Alshon Jeffery,WR,75.5,66.8,56,54,60,4
Sammy Watkins,WR,64.5,58.8,58,57,62,4
Melvin Gordon,RB,5.5,6.6,7,8,11,4
James Conner,RB,10.8,13.0,6,6,10,4
Eric Ebron,TE,71.5,77.6,89,98,93,4
Deshaun Watson,QB,52.0,52.4,52,68,57,5
Phillip Lindsay,RB,43.3,46.0,31,34,36,5
Lamar Miller,RB,71.3,76.0,39,41,44,5
Aaron Jones,RB,32.0,33.6,22,28,28,6
Patrick Mahomes,QB,25.0,25.2,42,50,48,6
Tyler Lockett,WR,53.5,53.6,49,52,56,7
Derrius Guice,RB,68.0,63.2,65,64,72,7
Mark Ingram,RB,42.8,49.8,47,49,55,8
Marvin Jones,WR,98.8,97.8,68,70,76,8
David Montgomery,RB,52.5,51.6,35,39,43,8
Todd Gurley,RB,13.8,14.8,5,9,14,9
Dante Pettis,WR,90.5,82.0,80,78,89,9
Will Fuller,WR,84.3,83.0,82,82,94,12
Marlon Mack,RB,32.5,35.2,25,32,38,13
Robby Anderson,WR,82.3,77.2,70,72,83,13
Mike Williams,WR,61.5,65.4,59,63,73,14
Tevin Coleman,RB,69.5,73.4,63,69,79,16
Chris Carson,RB,48.5,57.6,15,24,31,16
Darrell Henderson,RB,83.3,81.6,86,83,102,16
Derrick Henry,RB,32.5,36.8,11,17,29,18
Nick Chubb,RB,20.0,21.8,17,27,35,18
Jordan Howard,RB,86.0,87.6,77,79,96,19
Tyreek Hill,WR,54.0,48.6,60,67,80,20
Sony Michel,RB,40.0,46.8,10,19,32,22
Rashaad Penny,RB,81.0,81.6,90,92,146,56
