name,pos,adp,0.0-rank,0.5-rank,1.0-rank,diff
Dion Lewis,RB,139.3,152,96,79,-73
Jerick McKinnon,RB,108.8,90,78,69,-21
Tarik Cohen,RB,63.0,64,51,47,-17
Austin Ekeler,RB,126.0,83,68,67,-16
James White,RB,63.3,51,42,36,-15
Michael Thomas,WR,12.8,33,28,19,-14
Tyler Lockett,WR,53.5,49,53,60,11
Chris Carson,RB,48.5,14,19,26,12
Will Fuller,WR,84.5,87,90,99,12
O.J. Howard,TE,55.8,52,60,64,12
Robby Anderson,WR,82.0,74,81,86,12
Nick Chubb,RB,20.0,15,22,28,13
Marvin Jones,WR,99.0,69,79,82,13
Dante Pettis,WR,91.3,81,86,95,14
Derrick Henry,RB,32.5,11,13,25,14
Mike Williams,WR,61.5,65,72,80,15
Eric Ebron,TE,71.3,85,89,102,17
Sony Michel,RB,40.0,10,17,27,17
David Njoku,TE,91.3,94,101,116,22
Tyreek Hill,WR,54.5,84,93,126,42
