"","name","pos","team","vor","adp","pred","replace_value","experts","madden","href","bye"
"119","Todd Gurley","RB","Rams",118,1,205,87,280,92,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17683.png",12
"130","Le'Veon Bell","RB","Steelers",117,2,204,87,274,96,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15825.png",7
"61","David Johnson","RB","Cardinals",109,4,196,87,265,93,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17442.png",9
"279","Antonio Brown","WR","Steelers",109,5,210,101,237,99,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13934.png",7
"75","Ezekiel Elliott","RB","Cowboys",98,3,185,87,248,92,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17797.png",8
"212","Julio Jones","WR","Falcons",89,12,190,101,215,98,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13982.png",8
"124","Alvin Kamara","RB","Saints",87,6,174,87,236,88,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18187.png",6
"182","Keenan Allen","WR","Chargers",83,19,184,101,209,92,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15818.png",8
"69","Kareem Hunt","RB","Chiefs",79,8,167,87,223,89,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18225.png",12
"89","Saquon Barkley","RB","Giants",75,7,163,87,228,82,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18567.png",9
"63","Melvin Gordon","RB","Chargers",74,10,161,87,214,89,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17586.png",8
"92","Leonard Fournette","RB","Jaguars",74,9,161,87,217,87,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18218.png",9
"213","Odell Beckham","WR","Giants",74,14,175,101,199,95,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16733.png",9
"281","DeAndre Hopkins","WR","Texans",74,11,175,101,199,94,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15795.png",10
"138","Dalvin Cook","RB","Vikings",71,13,158,87,216,85,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18260.png",10
"48","LeSean McCoy","RB","Bills",68,24,155,87,203,90,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/12514.png",11
"88","Devonta Freeman","RB","Falcons",68,16,155,87,202,91,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16944.png",8
"25","Aaron Rodgers","QB","Packers",62,17,277,214,321,99,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/8439.png",7
"106","Christian McCaffrey","RB","Panthers",59,15,146,87,193,87,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18279.png",4
"269","Michael Thomas","WR","Saints",59,18,161,101,183,91,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17834.png",6
"346","Rob Gronkowski","TE","Patriots",53,20,133,80,157,99,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13229.png",11
"32","Russell Wilson","QB","Seahawks",51,42,265,214,316,92,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14881.png",7
"152","A.J. Green","WR","Bengals",51,23,152,101,174,93,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13983.png",9
"38","Jerick McKinnon","RB","49ers",48,22,135,87,178,85,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16782.png",11
"172","Mike Evans","WR","Buccaneers",47,29,148,101,170,89,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16737.png",5
"44","Jordan Howard","RB","Bears",46,28,133,87,176,85,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17919.png",5
"27","Tom Brady","QB","Patriots",44,25,259,214,300,99,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2330.png",11
"318","Travis Kelce","TE","Chiefs",42,26,122,80,151,95,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15847.png",12
